583    111    481    4:2:2:1:    4:1:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:H-1:    C[6]-4:C[6]-4:    C[6](C[6]CHO)(O[6]C)(OH)(H)    O(C[6]CHO)(H)    O[6](C[6]CCH)(C[6]CHO)    110.4553    2.819    20    109.8568    2.6411    32    109.6318    40.0000    40    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:3:    4:4:    C[5,6,7]-4:O[6,7]-2:O-2:H-1:    C[6,7]-4:C-3:    C[5,6,7]-4:C[6,7]-4:    C[6,7](C[5,6,7]CHO)(O[6,7]C)(OC)(H)    O(C[6,7]CHO)(CCO)    O[6,7](C[5,6,7]CHO)(C[6,7]CHO)    110.4513    1.359    4    110.4513    1.3590    4    108.9026    71.0000    71    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:3:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C-3:    C[6]-4:C[6]-4:    C[6](C[6]CHO)(O[6]C)(OC)(H)    O(C[6]CHO)(CCO)    O[6](C[6]CCH)(C[6]CHO)    108.4221    3.048    13    108.4815    2.6934    23    108.9026    71.0000    71    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:3:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C[6]-3:    C[6]-4:C[6]-4:    C[6](C[6]CHO)(O[6]C)(OC)(H)    O(C[6]CHO)(C[6]CC)    O[6](C[6]CCH)(C[6]CHO)    108.4147    2.199    29    108.7765    2.2936    33    108.9026    71.0000    71    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    3:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6,6]-3:C[6]-4:    C[6](C[6]CHH)(O[6]C)(OC)(H)    O(C[6]CHO)(CCHH)    O[6](C[6,6]CC)(C[6]CHO)    109.3982    1.208    6    108.9934    1.7893    10    109.2864    14.0000    14    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[5,6]-4:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6,6]-4:C[6]-4:    C[6](C[5,6]CHO)(O[6]C)(OC)(H)    O(C[6]CHO)(CH3)    O[6](C[6,6]CCH)(C[6]CHO)    112.4798    0.986    4    112.4798    0.9860    4    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[5,6]-4:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6]-4:C[6]-4:    C[6](C[5,6]CHO)(O[6]C)(OC)(H)    O(C[6]CHO)(CH3)    O[6](C[6]CCH)(C[6]CHO)    112.0892    0.646    11    112.1621    0.6657    12    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[5,6]-4:O[6]-2:O-2:H-1:    C[6]-4:C[6]-4:    C[6]-4:C[6]-4:    C[6](C[5,6]CHO)(O[6]C)(OC)(H)    O(C[6]CCH)(C[6]CHO)    O[6](C[6]CCH)(C[6]CHO)    111.9343    2.815    25    111.9343    2.8150    25    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[5]-4:C[6]-4:    C[6]-4:C[6]-4:    C[6](C[6]CHO)(O[6]C)(OC)(H)    O(C[5]CCO)(C[6]CHO)    O[6](C[6]CCH)(C[6]CHO)    111.4062    1.337    8    111.1366    1.6942    10    110.5469    449.0000    449    109.9639    2.3880    855
583    111    481    4:2:2:1:    4:4:    4:4:    C[6]-4:O[6]-2:O-2:H-1:    C[6]-4:C-4:    C[6,6,7]-4:C[6]-4:    C[6](C[6]CCH)(O[6]C)(OC)(H)    O(C[6]CHO)(CCHH)    O[6](C[6,6,7]CHO)(C[6]CHO)    111.4725    0.629    4    110.5632    2.1049    5    110.5469    449.0000    449    109.9639    2.3880    855
