29    29    699    3:2:3:    3:3:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:N-3:O-1:    C[6](C[6]CH)(N[6]C)(CNO)    C[6](C[6]CC)(C[6]CN)(H)    C(C[6]CN)(NCC)(O)    119.4882    1.266    5    119.1771    2.0775    468    119.7505    2.3349    671    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:N-3:O-1:    C[6](C[6]CH)(N[6]C)(CNO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(NCC)(O)    120.1660    1.751    14    119.1771    2.0775    468    119.7505    2.3349    671    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:N-3:O-1:    C[6](C[6]CH)(N[6]C)(CNO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(NHN)(O)    119.4978    0.834    35    119.1771    2.0775    468    119.7505    2.3349    671    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:N-3:O-1:    C[6](C[6]CH)(N[6]C)(CNO)    C[6](C[6]CN)(C[6]CO)(H)    C(C[6]CN)(NCH)(O)    117.7734    3.083    96    119.1771    2.0775    468    119.7505    2.3349    671    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:N-3:O-1:    C[6](C[6]CH)(N[6]C)(CNO)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(NCH)(O)    119.5349    1.612    297    119.1771    2.0775    468    119.7505    2.3349    671    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:N-3:S-1:    C[6](C[6]CH)(N[6]C)(CNS)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(NCH)(S)    121.2426    0.892    12    121.2426    0.8920    12    119.7505    2.3349    671    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    N[5]-3:C[6]-3:H-1:    C[6](C[6]CH)(N[6]C)(CHN)    C[6](C[6]CH)(C[6]CN)(H)    C(N[5]MnC)(C[6]CN)(H)    120.7722    0.879    13    121.4409    1.7740    20    119.7505    2.3349    671    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:1:    C[6]-3:O[6]-2:C-3:    C[6]-3:C[6]-3:O-1:    C[6]-3:C[6]-3:H-1:    C[6](C[6]CO)(O[6]C)(CCH)    C[6](C[6]CO)2(O)    C(C[6]CC)(C[6]CO)(H)    122.2516    0.698    4    122.2516    0.6980    4    119.7505    2.3349    671    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:2:    C[6]-3:C[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:C-3:O-2:    C[6](C[6]CH)(C[6]C)(CCO)    C[6](C[6]CC)(C[6]CH)(H)    C(C[6]CC)(COO)(OH)    129.1258    0.740    4    129.1258    0.7400    4    122.1255    2.3157    56    120.6728    2.3595    65794
29    29    699    3:2:3:    3:3:1:    3:3:2:    C[6]-3:N[6]-2:C-3:    C[6]-3:C[6]-3:H-1:    C[6]-3:C-3:N-2:    C[6](C[6]CH)(N[6]C)(CCN)    C[6](C[6]CH)(C[6]CN)(H)    C(C[6]CN)(CHH)(NC)    123.9773    1.048    4    123.8970    0.8232    6    122.1255    2.3157    56    120.6728    2.3595    65794
