981    269    979    4:4:2:    3:3:    3:3:3:1:    P-4:C-4:N-2:    N-3:C-3:    C[6]-3:N-3:N-3:O-1:    N(PCNO)(CH3)(NC)    N(NCP)(CCH)    P(C[6]CC)(NCN)2(O)    111.9756    2.436    4    112.1775    2.1574    5    113.9983    20.0000    20    114.2777    2.4150    26
981    269    979    4:4:2:    3:3:    3:3:3:1:    P-4:C-4:N-2:    N-3:C-3:    N-3:N-3:N-3:S-1:    N(PNNS)(CH3)(NC)    N(NCP)(CCH)    P(NCN)2(NCN)(S)    115.7886    1.404    4    114.5306    1.9768    11    113.9983    20.0000    20    114.2777    2.4150    26
981    269    979    4:4:2:    3:3:    3:3:3:1:    P-4:C-4:N-2:    N-3:C-3:    N-3:N-3:N-3:S-1:    N(PNNS)(CH3)(NC)    N(NCP)(CCH)    P(NCN)3(S)    113.8117    1.967    7    114.5306    1.9768    11    113.9983    20.0000    20    114.2777    2.4150    26
981    269    981    3:2:1:    3:2:    4:4:3:    N-3:N-2:O-1:    N-3:O-2:    C-4:C-4:N-3:    N(NCC)(NO)(O)    N(NNO)(OC)    N(CCHH)(CH3)(NNO)    114.8544    0.000    1    114.8544    0.0000    1    114.8544    0.0000    1    114.8544    0.0000    1
981    269    983    3:2:1:    3:2:    4:4:3:    N[6]-3:N-2:O-1:    N-3:O-2:    C[6]-4:C[6]-4:N-3:    N(N[6]CC)(NO)(O)    N(NNO)(OC)    N[6](C[6]CHH)2(NNO)    117.0020    2.678    2    117.0020    2.6780    2    117.0020    2.6780    2    117.0020    2.6780    2
981    411    411    1:1:1:    3:    3:    F-1:F-1:O-1:    N-3:    N-3:    N(F)2(O)    F(NFO)    F(NFO)    119.5058    0.000    1    119.5058    0.0000    1    119.5058    0.0000    1    110.1772    13.1926    2
981    411    601    4:4:1:    3:    3:3:1:1:    C-4:S-4:F-1:    N-3:    C[6]-3:N-3:O-1:O-1:    N(CCHH)(SCOO)(F)    F(NCS)    S(C[6]CC)(NCF)(O)2    105.1535    0.077    2    105.1535    0.0770    2    105.1535    0.0770    2    108.1369    3.4667    4
981    411    673    4:1:1:    3:    4:3:1:1:    C-4:F-1:F-1:    N-3:    C[4]-4:N-3:H-1:H-1:    N(CCHH)(F)2    F(NCF)    C(C[4]C3)(NFF)(H)2    104.1784    0.366    2    104.1784    0.3660    2    104.1784    0.3660    2    104.6248    0.5670    4
981    417    583    4:2:1:    3:3:    4:2:3:1:    C[6]-4:S-2:H-1:    C[6]-3:N-3:    C[6]-4:O[6]-2:N-3:H-1:    N(C[6]CHO)(SC)(H)    S(C[6]CC)(NCH)    C[6](C[6]CHO)(O[6]C)(NHS)(H)    120.0728    0.000    1    120.0728    0.0000    1    120.0728    0.0000    1    120.0728    0.0000    1
981    417    673    4:4:2:    3:3:    3:3:1:1:    C-4:C-4:S-2:    C[6]-3:N-3:    C[6]-3:N-3:H-1:H-1:    N(CCHH)2(SC)    S(C[6]CC)(NCC)    C(C[6]CC)(NCS)(H)2    114.6725    0.722    2    114.6725    0.7220    2    114.6725    0.7220    2    116.8496    1.5630    8
981    417    699    3:3:2:    3:3:    3:3:1:    N-3:C-3:S-2:    N[5]-3:N-3:    C[6]-3:N-3:O-1:    N(NCC)(CCO)(SN)    S(N[5]CC)(NCN)    C(C[6]CC)(NNS)(O)    124.0628    0.000    1    125.3654    0.0000    1    123.4372    2.3055    3    123.2951    2.3525    7
981    417    887    3:2:1:    3:3:    3:    C[6]-3:S-2:H-1:    C[6]-3:N-3:    N-3:    N(C[6]CC)(SC)(H)    S(C[6]CC)(NCH)    H(NCS)    118.2721    1.006    2    118.2721    1.0060    2    117.8103    1.0704    3    114.7190    3.8384    7
981    417    981    3:3:2:    3:3:    4:3:3:    N-3:C-3:S-2:    N[5]-3:N-3:    C-4:C-3:N-3:    N(NCC)(CCO)(SN)    S(N[5]CC)(NCN)    N(CC3)(CCO)(NCS)    118.7956    0.000    1    119.2917    0.0000    1    118.8287    0.4474    3    118.5784    0.6196    4
981    433    673    4:4:1:    4:4:3:1:    3:1:1:1:    N[4]-4:C-4:H-1:    Ga[4]-4:Ga[4]-4:N-3:H-1:    N-3:H-1:H-1:H-1:    N(N[4]Ga2H)(CH3)(H)    N[4](Ga[4]CCN)2(NCH)(H)    C(NHN)(H)3    109.1676    1.961    2    109.1676    1.9610    2    109.1676    1.9610    2    108.8621    1.1963    4
981    433    887    4:4:1:    4:4:3:1:    3:    N[4]-4:C-4:H-1:    Ga[4]-4:Ga[4]-4:N-3:H-1:    N-3:    N(N[4]Ga2H)(CH3)(H)    N[4](Ga[4]CCN)2(NCH)(H)    H(NCN)    95.6635    8.369    2    95.6635    8.3690    2    95.6635    8.3690    2    95.6635    8.3690    2
981    455    583    4:4:4:    6:3:3:3:    4:4:3:1:    C[3,3]-4:C[6]-4:C[6]-4:    Eu[4x3]-6:N[3]-3:N[3]-3:N-3:    C[6]-4:C[6]-4:N-3:H-1:    N(C[3,3]EuNN)(C[6]CCH)2    C[3,3](Eu[4x3]CN4)(N[3]EuC)2(NCC)    C[6](C[6]CHH)2(NCC)(H)    118.4179    0.733    4    118.4179    0.7330    4    118.6128    6.0000    6    120.1507    2.2897    10
981    455    601    4:4:4:    4:4:3:1:    3:3:1:1:    C[3]-4:C-4:S-4:    C[3]-4:C[3]-4:N-3:H-1:    C[6]-3:N-3:O-1:O-1:    N(C[3]CCH)(CCHH)(SCOO)    C[3](C[3]CHH)2(NCS)(H)    S(C[6]CC)(NCC)(O)2    115.8504    0.360    2    116.9015    0.0000    1    116.2008    0.6581    3    116.2008    0.6581    3
981    455    673    4:4:1:    4:3:3:3:    4:4:3:1:    C[3,3]-4:C-4:H-1:    Yb[12x3]-4:N[3]-3:N[3]-3:N-3:    C-4:C-4:N-3:H-1:    N(C[3,3]YbNN)(CCCH)(H)    C[3,3](Yb[12x3]C10NN)(N[3]YbC)2(NCH)    C(CH3)2(NCH)(H)    124.2868    0.000    1    125.7550    0.0000    1    125.2608    0.6675    4    119.6145    4.3592    121
981    455    673    4:4:4:    12:2:2:3:    4:4:3:1:    C[3,3]-4:C-4:C-4:    Ti[8x3]-12:O[3]-2:O[3]-2:N-3:    C-4:C-4:N-3:H-1:    N(C[3,3]TiOO)(CCCH)2    C[3,3](Ti[8x3]C3O8)(O[3]Ti)2(NCC)    C(CH3)2(NCC)(H)    119.6919    1.042    8    119.6919    1.0420    8    119.6919    8.0000    8    119.6145    4.3592    121
981    455    673    4:4:4:    4:4:10:3:    3:1:1:1:    C[3,3,5]-4:C-4:C-4:    C[3,3,5]-4:C[3,3,5]-4:Ru[10x3]-10:N-3:    N-3:H-1:H-1:H-1:    N(C[3,3,5]RuCC)(CH3)2    C[3,3,5](C[3,3,5]RuCH)(C[3,3,5]RuCP)(Ru[10x3]C9)(NCC)    C(NCC)(H)3    112.4688    2.398    4    112.4688    2.3980    4    112.2034    8.0000    8    119.6145    4.3592    121
