653    563    563    3:3:    2:2:1:    3:2:4:    C[5]-3:C[5]-3:    N[5]-2:S[5]-2:H-1:    C[5]-3:N[5]-2:C-4:    N[5](C[5]CC)(C[5]HS)    C[5](N[5]C)(S[5]C)(H)    C[5](C[5]CS)(N[5]C)(CH3)    110.5290    0.408    4    110.5290    0.4080    4    107.8848    3.2479    8
653    563    563    3:3:    2:2:1:    3:3:2:    C[5,6]-3:C[5]-3:    N[5]-2:N[5]-2:H-1:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5,6]CC)(C[5]HN)    C[5](N[5]C)2(H)    C[5,6](C[5,6]NN)(C[6]NN)(N[5]C)    101.7761    0.435    4    101.8933    0.4304    8    103.9552    3.5003    31
653    563    563    3:3:    2:2:1:    3:3:2:    C[5,6]-3:C[5]-3:    N[5]-2:N[5]-2:H-1:    C[5,6]-3:N[6]-3:N[5]-2:    N[5](C[5,6]CN)(C[5]HN)    C[5](N[5]C)2(H)    C[5,6](C[5,6]CN)(N[6]CC)(N[5]C)    101.2840    0.472    6    101.2840    0.4720    6    103.9552    3.5003    31
653    563    563    3:3:    2:2:1:    3:3:2:    C[5,6]-3:C[5]-3:    N[5]-2:N[5]-2:H-1:    N[5,6]-3:N[6]-3:N[5]-2:    N[5](C[5,6]NN)(C[5]HN)    C[5](N[5]C)(N[5]N)(H)    C[5,6](N[5,6]CN)(N[6]CH)(N[5]C)    101.6298    0.334    4    101.6298    0.3340    4    103.9552    3.5003    31
653    563    563    3:3:    2:2:2:    3:2:2:    C[5,6]-3:C[5]-3:    N[5]-2:N[5]-2:S-2:    N[5,6]-3:N[5]-2:N[6]-2:    N[5](C[5,6]NN)(C[5]NS)    C[5](N[5]C)(N[5]N)(SC)    C[5,6](N[5,6]CN)(N[5]C)(N[6]C)    102.5401    0.291    5    102.5401    0.2910    5    102.8498    2.3097    11
653    563    563    3:3:    2:2:2:    3:3:2:    C[5,6]-3:C[5]-3:    N[5]-2:O[5]-2:S-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5,6]CC)(C[5]OS)    C[5](N[5]C)(O[5]C)(SC)    C[5,6](C[5,6]CO)(C[6]CH)(N[5]C)    103.7288    0.615    4    105.2555    2.9883    7    109.0059    2.7527    85
653    563    563    3:3:    2:2:2:    3:3:2:    C[5,6]-3:C[5]-3:    N[5]-2:S[5]-2:N-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5,6]CC)(C[5]NS)    C[5](N[5]C)(S[5]C)(NC)    C[5,6](C[5,6]CS)(C[6]CH)(N[5]C)    110.2469    0.644    14    110.1784    0.6349    16    109.0059    2.7527    85
653    563    563    3:3:    2:2:2:    3:3:2:    C[5,6]-3:C[5]-3:    N[5]-2:S[5]-2:O-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5,6]CC)(C[5]OS)    C[5](N[5]C)(S[5]C)(OC)    C[5,6](C[5,6]CS)(C[6]CH)(N[5]C)    108.4309    0.568    4    108.4309    0.5680    4    109.0059    2.7527    85
653    563    563    3:3:    2:2:2:    3:3:2:    C[5,6]-3:C[5]-3:    N[5]-2:S[5]-2:S-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5,6]CC)(C[5]SS)    C[5](N[5]C)(S[5]C)(SFe)    C[5,6](C[5,6]CS)(C[6]CH)(N[5]C)    110.2511    0.934    6    110.0129    0.5069    31    109.0059    2.7527    85
653    563    563    3:3:    2:2:2:    3:3:2:    C[5,6]-3:C[5]-3:    N[5]-2:S[5]-2:S-2:    C[5,6]-3:C[6]-3:N[5]-2:    N[5](C[5,6]CC)(C[5]SS)    C[5](N[5]C)(S[5]C)(SC)    C[5,6](C[5,6]CS)(C[6]CH)(N[5]C)    109.9788    0.365    22    110.0129    0.5069    31    109.0059    2.7527    85
653    563    563    3:3:    2:2:2:    3:3:2:    C[5]-3:C[5]-3:    N[5]-2:S[5]-2:S-2:    C[5]-3:C[6]-3:N[5]-2:    N[5](C[5]CC)(C[5]SS)    C[5](N[5]C)(S[5]C)(SS)    C[5](C[5]HS)(C[6]CC)(N[5]C)    110.7104    0.264    6    110.5949    0.3892    7    109.0059    2.7527    85
653    563    563    3:3:    2:2:3:    3:2:2:    C[5]-3:C[5]-3:    N[5]-2:O[5]-2:C-3:    C[6]-3:N[5]-2:N[5]-2:    N[5](C[5]CN)(C[5]CO)    C[5](N[5]C)(O[5]N)(CCO)    C[5](C[6]CC)(N[5]C)(N[5]O)    102.6907    0.542    8    102.6907    0.5420    8    102.7335    0.5230    9
653    563    563    3:3:    2:2:3:    3:2:3:    C[5]-3:C[5]-3:    N[5]-2:S[5]-2:N-3:    C[5]-3:N[5]-2:C-3:    N[5](C[5]CC)(C[5]NS)    C[5](N[5]C)(S[5]C)(NHH)    C[5](C[5]HS)(N[5]C)(CCN)    109.7849    0.285    4    110.1035    0.4699    9    107.8900    3.6392    13
