29    699    3:2:3:    3:4:2:    C[6]-3:N[6]-2:C-3:    C[6]-3:C-4:N-2:    C[6](C[6]CH)(N[6]C)(CCN)    C(C[6]CN)(CH3)(NC)    1.4974    0.011    47    1.4903    0.0134    99    1.4910    0.0145    102
29    699    3:2:3:    4:3:1:    C[6]-3:N[6]-2:C-3:    C[6]-4:C[6]-3:O-1:    C[6](C[6]CH)(N[6]C)(CCO)    C(C[6]CCH)(C[6]CN)(O)    1.5037    0.008    6    1.5037    0.0080    6    1.5016    0.0091    7
29    699    3:3:3:    3:1:1:    C[5,6]-3:C[6]-3:C-3:    C[6]-3:H-1:O-1:    C[6](C[5,6]CO)(C[6]CH)(CHO)    C(C[6]CC)(H)(O)    1.4562    0.009    6    1.4633    0.0163    9    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[5,6]-3:C[6]-3:C-3:    C[6]-3:O-1:O-1:    C[6](C[5,6]CN)(C[6]CH)(COO)    C(C[6]CC)(O)2    1.5271    0.009    8    1.5155    0.0175    13    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6,6]-3:C[6]-3:C-3:    C[6]-3:H-1:O-1:    C[6](C[6,6]CC)(C[6]CO)(CHO)    C(C[6]CC)(H)(O)    1.4610    0.006    17    1.4626    0.0279    45    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6,6]-3:C[6]-3:C-3:    C[6]-3:O-1:O-1:    C[6](C[6,6]CC)(C[6]CH)(COO)    C(C[6]CC)(O)2    1.5122    0.007    31    1.5103    0.0127    32    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:Cl-1:O-1:    C[6](C[6]CH)2(CClO)    C(C[6]CC)(Cl)(O)    1.4798    0.008    6    1.4811    0.0081    7    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:H-1:H-1:    C[6](C[6]CH)2(CHH)    C(C[6]CC)(H)2    1.4810    0.058    20    1.4794    0.0699    32    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:H-1:O-1:    C[6](C[6]CH)(C[6]CN)(CHO)    C(C[6]CC)(H)(O)    1.4688    0.008    13    1.4652    0.0182    520    1.4974    0.0302    2841
29    699    3:3:3:    3:1:1:    C[6]-3:C[6]-3:C-3:    C[6]-3:H-1:O-1:    C[6](C[6]ClN)(C[6]NN)(CHO)    C(C[6]CC)(H)(O)    1.4521    0.014    14    1.4652    0.0182    520    1.4974    0.0302    2841
