466	690	762	2:3:1:1:	4:	3:4:1:	O[6]-2:C[6]-3:H-1:H-1:	C[6]-4:	C[6]-3:C[6]-4:I-1:	C[6](O[6]C[6,6a])(C[6]C[6]I)(H)2	H(C[6]C[6]O[6]H)	C[6](C[6]C[6,6a]Se)(C[6]O[6]HH)(I)	C[6](O[6]C[6,6a])(C[6]C[6]I)(H)2{1|Se<2>,2|C<3>}	H(C[6]C[6]O[6]H)	C[6](C[6]C[6,6a]Se)(C[6]O[6]HH)(I){2|C<3>}	109.1680	0.000	1	109.1680	0.000	1     109.1680       0.000      1      108.9874     0.713     54
466	690	762	2:3:1:1:	4:	3:4:1:	O[6]-2:C[6]-3:H-1:H-1:	C[6]-4:	N[6]-3:C[6]-4:O-1:	C[6](O[6]C[6,6])(C[6]N[6]O)(H)2	H(C[6]C[6]O[6]H)	C[6](N[6]C[5]C[6])(C[6]O[6]HH)(O)	C[6](O[6]C[6,6])(C[6]N[6]O)(H)2{1|C<3>,1|O<2>,2|C<4>}	H(C[6]C[6]O[6]H)	C[6](N[6]C[5]C[6])(C[6]O[6]HH)(O){1|C<4>,2|C<3>,3|H<1>}	108.2335	0.006	2	108.2335	0.006	2     108.5005       0.826      20      108.9874     0.713     54
466	690	762	2:3:1:1:	4:	3:4:1:	O[6]-2:C[6]-3:H-1:H-1:	C[6]-4:	N[6]-3:C[6]-4:O-1:	C[6](O[6]C[6,6])(C[6]N[6]O)(H)2	H(C[6]C[6]O[6]H)	C[6](N[6]C[6,6]H)(C[6]O[6]HH)(O)	C[6](O[6]C[6,6])(C[6]N[6]O)(H)2{2|C<4>,2|H<1>}	H(C[6]C[6]O[6]H)	C[6](N[6]C[6,6]H)(C[6]O[6]HH)(O){1|C<4>,1|H<1>,1|O<2>}	108.5280	0.000	1	108.5280	0.000	1     108.5005       0.826      20      108.9874     0.713     54
466	690	762	2:3:1:1:	4:	3:4:1:	O[6]-2:C[6]-3:H-1:H-1:	C[6]-4:	N[6]-3:C[6]-4:O-1:	C[6](O[6]C[6,6])(C[6]N[6]O)(H)2	H(C[6]C[6]O[6]H)	C[6](N[6]C[6a]C[6])(C[6]O[6]HH)(O)	C[6](O[6]C[6,6])(C[6]N[6]O)(H)2{1|C<4>,1|O<2>,2|C<3>}	H(C[6]C[6]O[6]H)	C[6](N[6]C[6a]C[6])(C[6]O[6]HH)(O){1|C<4>,2|C<3>,2|H<1>}	108.0570	0.000	1	108.0570	0.000	1     108.5005       0.826      20      108.9874     0.713     54
466	690	762	2:3:1:1:	4:	3:4:1:	O[6]-2:C[6]-3:H-1:H-1:	C[6]-4:	N[6]-3:C[6]-4:O-1:	C[6](O[6]C[6,6a])(C[6]N[6]O)(H)2	H(C[6]C[6]O[6]H)	C[6](N[6]C[6,6a]C)(C[6]O[6]HH)(O)	C[6](O[6]C[6,6a])(C[6]N[6]O)(H)2{1|C<4>,2|C<3>}	H(C[6]C[6]O[6]H)	C[6](N[6]C[6,6a]C)(C[6]O[6]HH)(O){2|C<3>}	107.8481	0.552	8	107.8481	0.552	8     108.5005       0.826      20      108.9874     0.713     54
466	690	762	2:3:1:1:	4:	3:4:1:	O[6]-2:C[6]-3:H-1:H-1:	C[6]-4:	N[6]-3:C[6]-4:O-1:	C[6](O[6]C[6,6a])(C[6]N[6]O)(H)2	H(C[6]C[6]O[6]H)	C[6](N[6]C[6,6a]C[6])(C[6]O[6]HH)(O)	C[6](O[6]C[6,6a])(C[6]N[6]O)(H)2{1|C<4>,2|C<3>}	H(C[6]C[6]O[6]H)	C[6](N[6]C[6,6a]C[6])(C[6]O[6]HH)(O){1|H<1>,2|C<3>,2|C<4>}	109.1220	0.042	2	109.1220	0.042	2     108.5005       0.826      20      108.9874     0.713     54
466	690	762	2:3:1:1:	4:	3:4:1:	O[6]-2:C[6]-3:H-1:H-1:	C[6]-4:	N[6]-3:C[6]-4:O-1:	C[6](O[6]C[6,6a])(C[6]N[6]O)(H)2	H(C[6]C[6]O[6]H)	C[6](N[6]C[6,6a]C[6a])(C[6]O[6]HH)(O)	C[6](O[6]C[6,6a])(C[6]N[6]O)(H)2{3|C<3>}	H(C[6]C[6]O[6]H)	C[6](N[6]C[6,6a]C[6a])(C[6]O[6]HH)(O){4|C<3>}	109.6175	0.640	4	109.6175	0.640	4     108.5005       0.826      20      108.9874     0.713     54
466	690	762	2:3:1:1:	4:	3:4:1:	O[6]-2:C[6]-3:H-1:H-1:	C[6]-4:	N[6]-3:C[6]-4:O-1:	C[6](O[6]C[6,6a])(C[6]N[6]O)(H)2	H(C[6]C[6]O[6]H)	C[6](N[6]C[6,6a]H)(C[6]O[6]HH)(O)	C[6](O[6]C[6,6a])(C[6]N[6]O)(H)2{1|H<1>,2|C<3>}	H(C[6]C[6]O[6]H)	C[6](N[6]C[6,6a]H)(C[6]O[6]HH)(O){2|C<3>}	108.7295	0.009	2	108.7295	0.009	2     108.5005       0.826      20      108.9874     0.713     54
466	690	762	2:3:1:1:	4:	3:4:1:	S[6]-2:C[6]-3:H-1:H-1:	C[6]-4:	N[6]-3:C[6]-4:H-1:	C[6](S[6]C[6,6a])(C[6]N[6]H)(H)2	H(C[6]C[6]S[6]H)	C[6](N[6]C[6,6a]Ni)(C[6]S[6]HH)(H)	C[6](S[6]C[6,6a])(C[6]N[6]H)(H)2{1|Ni<4>,2|C<3>}	H(C[6]C[6]S[6]H)	C[6](N[6]C[6,6a]Ni)(C[6]S[6]HH)(H){2|C<3>}	109.1480	0.059	2	109.1480	0.059	2     109.1480       0.059      2      108.9874     0.713     54
466	690	762	2:3:1:1:	4:	3:4:1:	S[6]-2:C[6]-3:H-1:H-1:	C[6]-4:	N[6]-3:C[6]-4:O-1:	C[6](S[6]C[6,6a])(C[6]N[6]O)(H)2	H(C[6]C[6]S[6]H)	C[6](N[6]C[6,6a]C)(C[6]S[6]HH)(O)	C[6](S[6]C[6,6a])(C[6]N[6]O)(H)2{1|C<4>,2|C<3>}	H(C[6]C[6]S[6]H)	C[6](N[6]C[6,6a]C)(C[6]S[6]HH)(O){2|C<3>}	109.4861	0.328	21	109.4861	0.328	21     109.4861       0.328      21      108.9874     0.713     54
