930	490	974	3:4:1:	3:1:1:1:	4:4:3:	N[6]-3:C-4:O-1:	C-3:Br-1:H-1:H-1:	C[6]-4:C[6]-4:C-3:	C(N[6]C[6]2)(CBrHH)(O)	C(CN[6]O)(Br)(H)2	N[6](C[6]C[6a]C[6]H)2(CCO)	C(N[6]C[6]2)(CBrHH)(O)	C(CN[6]O)(Br)(H)2	N[6](C[6]C[6a]C[6]H)2(CCO){1|C<4>,3|H<1>,5|C<3>}	119.5200	0.000	1	119.0710	0.635	2     119.0710       0.635      2      117.7708     1.426     72
930	490	974	3:4:1:	3:1:1:1:	4:4:3:	N[6]-3:C-4:O-1:	C-3:Br-1:H-1:H-1:	C[6]-4:C[6]-4:C-3:	C(N[6]C[6]2)(CBrHH)(O)	C(CN[6]O)(Br)(H)2	N[6](C[6]C[6a]C[6]H)2(CCO)	C(N[6]C[6]2)(CBrHH)(O)	C(CN[6]O)(Br)(H)2	N[6](C[6]C[6a]C[6]H)2(CCO){2|C<4>,2|H<1>,5|C<3>}	118.6220	0.000	1	119.0710	0.635	2     119.0710       0.635      2      117.7708     1.426     72
930	490	974	3:4:1:	3:1:1:1:	4:4:3:	N[6]-3:C-4:O-1:	C-3:Cl-1:Cl-1:H-1:	C[5,6]-4:C[6]-4:C-3:	C(N[6]C[5,6]C[6])(CCl2H)(O)	C(CN[6]O)(Cl)2(H)	N[6](C[5,6]N[5,6]C[5]C)(C[6]C[6]HH)(CCO)	C(N[6]C[5,6]C[6])(CCl2H)(O)	C(CN[6]O)(Cl)2(H)	N[6](C[5,6]N[5,6]C[5]C)(C[6]C[6]HH)(CCO){1|C<3>,2|C<4>,4|H<1>}	115.9150	0.000	1	116.2230	0.436	2     116.2230       0.436      2      117.7708     1.426     72
930	490	974	3:4:1:	3:1:1:1:	4:4:3:	N[6]-3:C-4:O-1:	C-3:Cl-1:Cl-1:H-1:	C[5,6]-4:C[6]-4:C-3:	C(N[6]C[5,6]C[6])(CCl2H)(O)	C(CN[6]O)(Cl)2(H)	N[6](C[5,6]N[5,6]C[5]C)(C[6]C[6]HH)(CCO)	C(N[6]C[5,6]C[6])(CCl2H)(O)	C(CN[6]O)(Cl)2(H)	N[6](C[5,6]N[5,6]C[5]C)(C[6]C[6]HH)(CCO){1|C<3>,2|H<1>,4|C<4>}	116.5310	0.000	1	116.2230	0.436	2     116.2230       0.436      2      117.7708     1.426     72
930	490	974	3:4:1:	3:1:1:1:	4:4:3:	N[6]-3:C-4:O-1:	C-3:Cl-1:Cl-1:H-1:	C[6]-4:C[6]-4:C-3:	C(N[6]C[6]2)(CCl2H)(O)	C(CN[6]O)(Cl)2(H)	N[6](C[6]C[6]HH)2(CCO)	C(N[6]C[6]2)(CCl2H)(O)	C(CN[6]O)(Cl)2(H)	N[6](C[6]C[6]HH)2(CCO){1|C<4>,4|H<1>}	121.0820	0.000	1	121.0820	0.000	1     117.7317       1.517      9      117.7708     1.426     72
930	490	974	3:4:1:	3:1:1:1:	4:4:3:	N[6]-3:C-4:O-1:	C-3:Cl-1:Cl-1:H-1:	C[6]-4:C[6]-4:C-3:	C(N[6]C[6]2)(CCl2H)(O)	C(CN[6]O)(Cl)2(H)	N[6](C[6]C[6a]C[6]H)2(CCO)	C(N[6]C[6]2)(CCl2H)(O)	C(CN[6]O)(Cl)2(H)	N[6](C[6]C[6a]C[6]H)2(CCO){1|C<4>,3|H<1>,5|C<3>}	117.0238	1.093	4	117.3129	0.908	8     117.7317       1.517      9      117.7708     1.426     72
930	490	974	3:4:1:	3:1:1:1:	4:4:3:	N[6]-3:C-4:O-1:	C-3:Cl-1:Cl-1:H-1:	C[6]-4:C[6]-4:C-3:	C(N[6]C[6]2)(CCl2H)(O)	C(CN[6]O)(Cl)2(H)	N[6](C[6]C[6a]C[6]H)2(CCO)	C(N[6]C[6]2)(CCl2H)(O)	C(CN[6]O)(Cl)2(H)	N[6](C[6]C[6a]C[6]H)2(CCO){2|C<4>,2|H<1>,5|C<3>}	117.6020	0.711	4	117.3129	0.908	8     117.7317       1.517      9      117.7708     1.426     72
930	490	974	3:4:1:	3:1:1:1:	4:4:3:	N[6]-3:C-4:O-1:	C-3:Cl-1:H-1:H-1:	C[6]-4:C[6]-4:C-3:	C(N[6]C[6]2)(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]C[5,6]HH)(C[6]C[6]HH)(CCO)	C(N[6]C[6]2)(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]C[5,6]HH)(C[6]C[6]HH)(CCO){2|C<3>,2|H<1>}	114.4140	0.000	1	114.4140	0.000	1     116.9562       1.585      26      117.7708     1.426     72
930	490	974	3:4:1:	3:1:1:1:	4:4:3:	N[6]-3:C-4:O-1:	C-3:Cl-1:H-1:H-1:	C[6]-4:C[6]-4:C-3:	C(N[6]C[6]2)(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]C[6,6a]CH)(C[6]C[6]HH)(CCO)	C(N[6]C[6]2)(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]C[6,6a]CH)(C[6]C[6]HH)(CCO){2|C<3>,2|H<1>}	116.3193	1.368	3	116.3193	1.368	3     116.9562       1.585      26      117.7708     1.426     72
930	490	974	3:4:1:	3:1:1:1:	4:4:3:	N[6]-3:C-4:O-1:	C-3:Cl-1:H-1:H-1:	C[6]-4:C[6]-4:C-3:	C(N[6]C[6]2)(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]C[6,6a]HH)(C[6]C[6]HH)(CCO)	C(N[6]C[6]2)(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]C[6,6a]HH)(C[6]C[6]HH)(CCO){2|C<3>,2|H<1>}	115.8220	0.000	1	115.8220	0.000	1     116.9562       1.585      26      117.7708     1.426     72
930	490	974	3:4:1:	3:1:1:1:	4:4:3:	N[6]-3:C-4:O-1:	C-3:Cl-1:H-1:H-1:	C[6]-4:C[6]-4:C-3:	C(N[6]C[6]2)(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]C[6]HH)2(CCO)	C(N[6]C[6]2)(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]C[6]HH)2(CCO){1|N<3>,4|H<1>}	117.7658	1.322	5	117.7658	1.322	5     116.9562       1.585      26      117.7708     1.426     72
930	490	974	3:4:1:	3:1:1:1:	4:4:3:	N[6]-3:C-4:O-1:	C-3:Cl-1:H-1:H-1:	C[6]-4:C[6]-4:C-3:	C(N[6]C[6]2)(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]C[6a]C[6]H)2(CCO)	C(N[6]C[6]2)(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]C[6a]C[6]H)2(CCO){1|C<4>,3|H<1>,5|C<3>}	116.6677	1.689	6	117.0524	1.626	16     116.9562       1.585      26      117.7708     1.426     72
930	490	974	3:4:1:	3:1:1:1:	4:4:3:	N[6]-3:C-4:O-1:	C-3:Cl-1:H-1:H-1:	C[6]-4:C[6]-4:C-3:	C(N[6]C[6]2)(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]C[6a]C[6]H)2(CCO)	C(N[6]C[6]2)(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]C[6a]C[6]H)2(CCO){2|C<4>,2|H<1>,5|C<3>}	116.8262	1.736	6	117.0524	1.626	16     116.9562       1.585      26      117.7708     1.426     72
930	490	974	3:4:1:	3:1:1:1:	4:4:3:	N[6]-3:C-4:O-1:	C-3:Cl-1:H-1:H-1:	C[6]-4:C[6]-4:C-3:	C(N[6]C[6]2)(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]C[6a]C[6]H)2(CCO)	C(N[6]C[6]2)(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]C[6a]C[6]H)2(CCO){2|C<4>,3|H<1>,4|C<3>}	118.4450	0.471	2	117.0524	1.626	16     116.9562       1.585      26      117.7708     1.426     72
930	490	974	3:4:1:	3:1:1:1:	4:4:3:	N[6]-3:C-4:O-1:	C-3:Cl-1:H-1:H-1:	C[6]-4:C[6]-4:C-3:	C(N[6]C[6]2)(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]C[6a]C[6]H)2(CCO)	C(N[6]C[6]2)(CClHH)(O)	C(CN[6]O)(Cl)(H)2	N[6](C[6]C[6a]C[6]H)2(CCO){2|H<1>,3|C<4>,4|C<3>}	119.0200	0.000	1	117.0524	1.626	16     116.9562       1.585      26      117.7708     1.426     72
