490	310	988	4:4:1:1:	4:4:4:1:	4:2:2:2:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-2:O-2:	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OCd)2(OH)	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OCd)2(OH)	114.9620	0.000	1	114.9620	0.000	1     115.0973       2.602      12      115.0973     2.602     12
490	310	988	4:4:1:1:	4:4:4:1:	4:2:2:2:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-2:O-2:	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OMg)2(OH)	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OMg)2(OH)	117.6705	3.492	2	117.6705	3.492	2     115.0973       2.602      12      115.0973     2.602     12
490	310	988	4:4:1:1:	4:4:4:1:	4:2:2:2:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-2:O-2:	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OZn)3	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OZn)3	114.0090	2.164	2	114.0090	2.164	2     115.0973       2.602      12      115.0973     2.602     12
490	310	988	4:4:1:1:	4:4:4:1:	4:2:2:2:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-2:O-2:	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OZr)(OH)2	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OZr)(OH)2	116.2660	0.000	1	116.2660	0.000	1     115.0973       2.602      12      115.0973     2.602     12
490	310	988	4:4:1:1:	4:4:4:1:	4:2:2:2:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-2:O-2:	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OZr)2(OH)	C(NCCH)(PO3)(H)2	N(CCHH)(CHHP)2(H)	P(CHHN)(OZr)2(OH)	117.6560	0.000	1	117.6560	0.000	1     115.0973       2.602      12      115.0973     2.602     12
490	310	988	4:4:1:1:	4:4:4:1:	4:2:2:2:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-2:O-2:	C(NCCH)(PO3)(H)2	N(CHHP)2(CH3)(H)	P(CHHN)(OCd)2(OH)	C(NCCH)(PO3)(H)2	N(CHHP)2(CH3)(H)	P(CHHN)(OCd)2(OH)	112.5925	0.056	2	112.5925	0.056	2     115.0973       2.602      12      115.0973     2.602     12
490	310	988	4:4:1:1:	4:4:4:1:	4:2:2:2:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-2:O-2:	C(NCCH)(PO3)(H)2	N(CHHP)2(CH3)(H)	P(CHHN)(OMn)2(OH)	C(NCCH)(PO3)(H)2	N(CHHP)2(CH3)(H)	P(CHHN)(OMn)2(OH)	112.7255	0.231	2	112.7255	0.231	2     115.0973       2.602      12      115.0973     2.602     12
490	310	988	4:4:1:1:	4:4:4:1:	4:2:2:2:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-2:O-2:O-2:	C(NCCH)(PO3)(H)2	N(CHHP)3(H)	P(CHHN)(OMg)2(OH)	C(NCCH)(PO3)(H)2	N(CHHP)3(H)	P(CHHN)(OMg)2(OH)	118.2890	0.000	1	118.2890	0.000	1     115.0973       2.602      12      115.0973     2.602     12
490	310	988	4:4:1:1:	4:4:4:1:	4:3:3:2:	N-4:P-4:H-1:H-1:	C-4:C-4:C-4:H-1:	C-4:O-3:O-3:O-2:	C(NCCH)(PO3)(H)2	N(CC[6a]HH)(CHHP)2(H)	P(CHHN)(OPb2)2(OPb)	C(NCCH)(PO3)(H)2	N(CC[6a]HH)(CHHP)2(H)	P(CHHN)(OPb2)2(OPb)	114.5300	0.000	1	114.5300	0.000	1     114.5300       0.000      1      114.5300     0.000     1
490	310	988	4:4:4:1:	3:4:1:1:	4:2:2:1:	N-4:P-4:P-4:H-1:	C[6a]-3:C-4:H-1:H-1:	C-4:O-2:O-2:O-1:	C(NC[6a]HH)(PO3)2(H)	N(C[6a]C[6a]N[6a])(CHPP)(H)2	P(CHNP)(OEu)(OH)(O)	C(NC[6a]HH)(PO3)2(H)	N(C[6a]C[6a]N[6a])(CHPP)(H)2	P(CHNP)(OEu)(OH)(O)	110.4250	0.000	1	110.4250	0.000	1     110.4250       0.000      1      110.4250     0.000     1
490	310	988	4:4:4:1:	4:4:1:1:	4:2:1:1:	C-4:N-4:P-4:H-1:	C-4:C-4:H-1:H-1:	C-4:O-2:O-1:O-1:	C(CCHH)(NCHH)(PO3)(H)	N(CCHH)(CCHP)(H)2	P(CCHN)(OH)(O)2	C(CCHH)(NCHH)(PO3)(H)	N(CCHH)(CCHP)(H)2	P(CCHN)(OH)(O)2	109.2420	0.000	1	109.2420	0.000	1     109.2420       0.000      1      111.5785     3.304     2
490	310	988	4:4:4:1:	4:4:1:1:	4:2:1:1:	N-4:P-4:P-4:H-1:	C-4:C-4:H-1:H-1:	C-4:O-2:O-1:O-1:	C(NCHH)(PO3)2(H)	N(CCCH)(CHPP)(H)2	P(CHNP)(OH)(O)2	C(NCHH)(PO3)2(H)	N(CCCH)(CHPP)(H)2	P(CHNP)(OH)(O)2	113.9150	0.000	1	113.9150	0.000	1     113.9150       0.000      1      111.5785     3.304     2
490	310	988	4:4:4:1:	4:4:1:1:	4:2:2:1:	N-4:P-4:P-4:H-1:	C-4:C-4:H-1:H-1:	C-4:O-2:O-2:O-1:	C(NCHH)(PO3)2(H)	N(CCCH)(CHPP)(H)2	P(CHNP)(OH)2(O)	C(NCHH)(PO3)2(H)	N(CCCH)(CHPP)(H)2	P(CHNP)(OH)2(O)	107.4400	0.000	1	107.4400	0.000	1     107.4400       0.000      1      107.4400     0.000     1
490	310	988	4:4:4:4:	4:1:1:1:	4:1:1:1:	C-4:N-4:P-4:P-4:	C-4:H-1:H-1:H-1:	C-4:O-1:O-1:O-1:	C(CH3)(NH3)(PO3)2	N(CCPP)(H)3	P(CCNP)(O)3	C(CH3)(NH3)(PO3)2	N(CCPP)(H)3	P(CCNP)(O)3	108.1640	0.000	1	108.1640	0.000	1     108.1640       0.000      1      108.1640     0.000     1
490	310	988	4:4:4:4:	4:1:1:1:	4:2:1:1:	C-4:N-4:P-4:P-4:	C-4:H-1:H-1:H-1:	C-4:O-2:O-1:O-1:	C(CCHH)(NH3)(PO3)2	N(CCPP)(H)3	P(CCNP)(OH)(O)2	C(CCHH)(NH3)(PO3)2	N(CCPP)(H)3	P(CCNP)(OH)(O)2	104.5940	3.031	2	104.5940	3.031	2     106.4642       1.632      9      106.4642     1.632     9
490	310	988	4:4:4:4:	4:1:1:1:	4:2:1:1:	C-4:N-4:P-4:P-4:	C-4:H-1:H-1:H-1:	C-4:O-2:O-1:O-1:	C(CH3)(NH3)(PO3)2	N(CCPP)(H)3	P(CCNP)(OH)(O)2	C(CH3)(NH3)(PO3)2	N(CCPP)(H)3	P(CCNP)(OH)(O)2	106.9986	0.722	7	106.9986	0.722	7     106.4642       1.632      9      106.4642     1.632     9
490	310	988	4:4:4:4:	4:1:1:1:	4:2:2:1:	C-4:N-4:P-4:P-4:	C-4:H-1:H-1:H-1:	C-4:O-2:O-2:O-1:	C(CCHH)(NH3)(PO3)2	N(CCPP)(H)3	P(CCNP)(OCu)(OH)(O)	C(CCHH)(NH3)(PO3)2	N(CCPP)(H)3	P(CCNP)(OCu)(OH)(O)	107.9790	0.611	2	107.9790	0.611	2     107.9790       0.611      2      107.9790     0.611     2
490	310	996	4:2:1:1:	4:1:1:1:	4:1:	N-4:C-2:H-1:H-1:	C-4:H-1:H-1:H-1:	C-4:N-1:	C(NH3)(CN)(H)2	N(CCHH)(H)3	C(CHHN)(N)	C(NH3)(CN)(H)2	N(CCHH)(H)3	C(CHHN)(N)	112.1570	0.000	1	112.1570	0.000	1     112.1570       0.000      1      112.1570     0.000     1
490	362	490	6:4:4:4:	6:6:6:6:6:4:	4:1:1:1:	C[5x3,5x5,20x6]-6:C-4:C-4:C-4:	B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C-4:	C-4:H-1:H-1:H-1:	C(C[5x3,5x5,20x6]B[5x3,5x5,20x6]4C[5x3,5x5,20x6])(CH3)3	C[5x3,5x5,20x6](B[5x3,5x5,20x6]B[5x3,5x5,20x6]3C[5x3,5x5,20x6]H)2(C[5x3,5x5,20x6]B[5x3,5x5,20x6]4B[5a])(B[5x3,5x5,20x6]B[5x3,5x5,20x6]4H)2(CC3)	C(CC[5x3,5x5,20x6]CC)(H)3	C(C[5x3,5x5,20x6]B[5x3,5x5,20x6]4C[5x3,5x5,20x6])(CH3)3	C[5x3,5x5,20x6](B[5x3,5x5,20x6]B[5x3,5x5,20x6]3C[5x3,5x5,20x6]H)2(C[5x3,5x5,20x6]B[5x3,5x5,20x6]4B[5a])(B[5x3,5x5,20x6]B[5x3,5x5,20x6]4H)2(CC3){1|B<6>,2|N<3>,5|H<1>}	C(CC[5x3,5x5,20x6]CC)(H)3	110.6570	1.805	3	110.6570	1.805	3     110.6570       1.805      3      110.6570     1.805     3
490	362	690	6:1:1:1:	6:6:6:6:6:4:	4:	C[5x3,5,5,6,6]-6:H-1:H-1:H-1:	B[5x3,5,5,6,6]-6:B[4x3,4,5,5,5x6]-6:B[5x3,5,5,4x6]-6:B[3x3,5,5x6]-6:B[3x3,5,5,5x6]-6:C-4:	C-4:	C(C[5x3,5,5,6,6]B[4x3,4,5,5,5x6]B[3x3,5,5,5x6]B[5x3,5,5,4x6]B[5x3,5,5,6,6]B[3x3,5,5x6])(H)3	C[5x3,5,5,6,6](B[5x3,5,5,6,6]B[4x3,4,5,5,5x6]B[3x3,5,5,5x6]B[5x3,5,5,4x6]B[3x3,5,5x6]H)(B[4x3,4,5,5,5x6]B[3,3,4,4,5,5x6]B[5x3,5,5,4x6]B[3x3,5,5x6]B[3,4,3x6]H)(B[5x3,5,5,4x6]B[3,3,4,4,5,5x6]B[4x3,4,5,5,5x6]2B[5x3,5,5,6,6]H)(B[3x3,5,5x6]B[4x3,4,5,5,5x6]B[3x3,5,5,5x6]B[3,4,3x6]CoH)(B[3x3,5,5,5x6]B[5x3,5,5,6,6]B[3x3,5,5x6]2CoH)(CH3)	H(CC[5x3,5,5,6,6]HH)	C(C[5x3,5,5,6,6]B[4x3,4,5,5,5x6]B[3x3,5,5,5x6]B[5x3,5,5,4x6]B[5x3,5,5,6,6]B[3x3,5,5x6])(H)3	C[5x3,5,5,6,6](B[5x3,5,5,6,6]B[4x3,4,5,5,5x6]B[3x3,5,5,5x6]B[5x3,5,5,4x6]B[3x3,5,5x6]H)(B[4x3,4,5,5,5x6]B[3,3,4,4,5,5x6]B[5x3,5,5,4x6]B[3x3,5,5x6]B[3,4,3x6]H)(B[5x3,5,5,4x6]B[3,3,4,4,5,5x6]B[4x3,4,5,5,5x6]2B[5x3,5,5,6,6]H)(B[3x3,5,5x6]B[4x3,4,5,5,5x6]B[3x3,5,5,5x6]B[3,4,3x6]CoH)(B[3x3,5,5,5x6]B[5x3,5,5,6,6]B[3x3,5,5x6]2CoH)(CH3){1|B<5>,1|C<5>,4|H<1>}	H(CC[5x3,5,5,6,6]HH)	109.4303	0.030	3	109.4303	0.030	3     109.4303       0.030      3      109.9215     1.535     20
