930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(CC[6]O)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	C(CC[6]O)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	115.4980	0.000	1	115.4980	0.000	1	114.6302	0.904	48	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(CC[6a]2)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	C(CC[6a]2)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	114.3780	0.164	2	114.3780	0.164	2	114.6302	0.904	48	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(CC[6a]C[5])(CH3)2	C(CCC)(H)3	C(CCC)(H)3	C(CC[6a]C[5])(CH3)2	C(CCC)(H)3	C(CCC)(H)3	113.6440	0.000	1	113.6440	0.000	1	114.6302	0.904	48	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(CC[6a]H)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	C(CC[6a]H)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	114.0790	0.000	1	114.0790	0.000	1	114.6302	0.904	48	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(CC[6a]N)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	C(CC[6a]N)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	113.9840	0.000	1	113.9840	0.000	1	114.6302	0.904	48	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(CN[6]H)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	C(CN[6]H)(CH3)2	C(CCC)(H)3	C(CCC)(H)3	115.3580	0.000	1	115.3580	0.000	1	114.6302	0.904	48	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C[3]-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(C[3]C[3]N[3])(CH3)2	C(CC[3]C)(H)3	C(CC[3]C)(H)3	C(C[3]C[3]N[3])(CH3)2	C(CC[3]C)(H)3	C(CC[3]C)(H)3	115.9830	0.000	2	115.9830	0.000	2	115.9830	0.000	2	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C[4]-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(C[4]C[4,5]C[4])(CH3)2	C(CC[4]C)(H)3	C(CC[4]C)(H)3	C(C[4]C[4,5]C[4])(CH3)2	C(CC[4]C)(H)3	C(CC[4]C)(H)3	116.5420	0.000	1	116.5420	0.000	1	116.2785	0.373	2	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C[4]-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(C[4]C[4]2)(CH3)2	C(CC[4]C)(H)3	C(CC[4]C)(H)3	C(C[4]C[4]2)(CH3)2	C(CC[4]C)(H)3	C(CC[4]C)(H)3	116.0150	0.000	1	116.0150	0.000	1	116.2785	0.373	2	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
930	490	490	0:SP2_SP3_SP3	C	C	C	3:4:4:	3:1:1:1:	3:1:1:1:	C[5,5]-3:C-4:C-4:	C-3:H-1:H-1:H-1:	C-3:H-1:H-1:H-1:	C(C[5,5]C[3,5,5]2)(CH3)2	C(CC[5,5]C)(H)3	C(CC[5,5]C)(H)3	C(C[5,5]C[3,5,5]2)(CH3)2	C(CC[5,5]C)(H)3	C(CC[5,5]C)(H)3	114.8283	0.089	3	114.8283	0.089	3	114.8192	0.552	12	114.4888	2.425	172	116.7117	2.571	2420	116.7117	2.571	2420
