490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[6a]-3:C-4:	C(SC[6a])(H)3	H(CHHS)	S(C[6a]C[6a,6a]C[6a])(CH3)	C(SC[6a])(H)3	H(CHHS)	S(C[6a]C[6a,6a]C[6a])(CH3)	109.4639	0.040	27	109.4639	0.040	27     109.4729       0.060      802      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[6a]-3:C-4:	C(SC[6a])(H)3	H(CHHS)	S(C[6a]C[6a,6a]N[6a])(CH3)	C(SC[6a])(H)3	H(CHHS)	S(C[6a]C[6a,6a]N[6a])(CH3)	109.4583	0.028	10	109.4583	0.028	10     109.4729       0.060      802      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[6a]-3:C-4:	C(SC[6a])(H)3	H(CHHS)	S(C[6a]C[6a]2)(CH3)	C(SC[6a])(H)3	H(CHHS)	S(C[6a]C[6a]2)(CH3)	109.4702	0.039	442	109.4702	0.039	442     109.4729       0.060      802      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[6a]-3:C-4:	C(SC[6a])(H)3	H(CHHS)	S(C[6a]C[6a]N[6a])(CH3)	C(SC[6a])(H)3	H(CHHS)	S(C[6a]C[6a]N[6a])(CH3)	109.4684	0.037	33	109.4684	0.037	33     109.4729       0.060      802      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[6a]-3:C-4:	C(SC[6a])(H)3	H(CHHS)	S(C[6a]N[6a,6a]N[6a])(CH3)	C(SC[6a])(H)3	H(CHHS)	S(C[6a]N[6a,6a]N[6a])(CH3)	109.4553	0.029	3	109.4553	0.029	3     109.4729       0.060      802      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	C[6a]-3:C-4:	C(SC[6a])(H)3	H(CHHS)	S(C[6a]N[6a]2)(CH3)	C(SC[6a])(H)3	H(CHHS)	S(C[6a]N[6a]2)(CH3)	109.4748	0.036	231	109.4748	0.036	231     109.4729       0.060      802      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	3:4:	S-2:H-1:H-1:H-1:	C-4:	S-3:C-4:	C(SS)(H)3	H(CHHS)	S(SRuC)(CH3)	C(SS)(H)3	H(CHHS)	S(SRuC)(CH3)	109.4523	0.021	3	109.4523	0.021	3     109.4523       0.021      3      109.4671     0.269     1640
490	690	980	2:1:1:1:	4:	4:3:	S-2:H-1:H-1:H-1:	C-4:	C-4:C-3:	C(SC)(H)3	H(CHHS)	S(CH3)(CCC)	C(SC)(H)3	H(CHHS)	S(CH3)(CCC)	109.4709	0.026	22	109.4709	0.026	22     109.4243       0.755      383      109.4243     0.755     383
490	690	980	2:1:1:1:	4:	4:3:	S-2:H-1:H-1:H-1:	C-4:	C-4:C-3:	C(SC)(H)3	H(CHHS)	S(CH3)(CCH)	C(SC)(H)3	H(CHHS)	S(CH3)(CCH)	108.7237	2.623	3	108.7237	2.623	3     109.4243       0.755      383      109.4243     0.755     383
490	690	980	2:1:1:1:	4:	4:3:	S-2:H-1:H-1:H-1:	C-4:	C-4:C-3:	C(SC)(H)3	H(CHHS)	S(CH3)(CCN)	C(SC)(H)3	H(CHHS)	S(CH3)(CCN)	109.4794	0.027	20	109.4794	0.027	20     109.4243       0.755      383      109.4243     0.755     383
490	690	980	2:1:1:1:	4:	4:3:	S-2:H-1:H-1:H-1:	C-4:	C-4:C-3:	C(SC)(H)3	H(CHHS)	S(CH3)(CCO)	C(SC)(H)3	H(CHHS)	S(CH3)(CCO)	110.9019	2.951	9	110.9019	2.951	9     109.4243       0.755      383      109.4243     0.755     383
490	690	980	2:1:1:1:	4:	4:3:	S-2:H-1:H-1:H-1:	C-4:	C-4:C-3:	C(SC)(H)3	H(CHHS)	S(CH3)(CCS)	C(SC)(H)3	H(CHHS)	S(CH3)(CCS)	109.4776	0.047	66	109.4776	0.047	66     109.4243       0.755      383      109.4243     0.755     383
490	690	980	2:1:1:1:	4:	4:3:	S-2:H-1:H-1:H-1:	C-4:	C-4:C-3:	C(SC)(H)3	H(CHHS)	S(CH3)(CNN)	C(SC)(H)3	H(CHHS)	S(CH3)(CNN)	109.4724	0.038	58	109.4724	0.038	58     109.4243       0.755      383      109.4243     0.755     383
490	690	980	2:1:1:1:	4:	4:3:	S-2:H-1:H-1:H-1:	C-4:	C-4:C-3:	C(SC)(H)3	H(CHHS)	S(CH3)(CNO)	C(SC)(H)3	H(CHHS)	S(CH3)(CNO)	107.3670	3.988	3	107.3670	3.988	3     109.4243       0.755      383      109.4243     0.755     383
490	690	980	2:1:1:1:	4:	4:3:	S-2:H-1:H-1:H-1:	C-4:	C-4:C-3:	C(SC)(H)3	H(CHHS)	S(CH3)(CNS)	C(SC)(H)3	H(CHHS)	S(CH3)(CNS)	109.4701	0.034	175	109.4701	0.034	175     109.4243       0.755      383      109.4243     0.755     383
490	690	980	2:1:1:1:	4:	4:3:	S-2:H-1:H-1:H-1:	C-4:	C-4:C-3:	C(SC)(H)3	H(CHHS)	S(CH3)(COO)	C(SC)(H)3	H(CHHS)	S(CH3)(COO)	108.2114	1.552	18	108.2114	1.552	18     109.4243       0.755      383      109.4243     0.755     383
490	690	980	2:1:1:1:	4:	4:3:	S-2:H-1:H-1:H-1:	C-4:	C-4:C-3:	C(SC)(H)3	H(CHHS)	S(CH3)(COS)	C(SC)(H)3	H(CHHS)	S(CH3)(COS)	109.4632	0.019	6	109.4632	0.019	6     109.4243       0.755      383      109.4243     0.755     383
490	690	980	2:1:1:1:	4:	4:3:	S-2:H-1:H-1:H-1:	C-4:	C-4:C-3:	C(SC)(H)3	H(CHHS)	S(CH3)(CSS)	C(SC)(H)3	H(CHHS)	S(CH3)(CSS)	109.4640	0.179	3	109.4640	0.179	3     109.4243       0.755      383      109.4243     0.755     383
490	690	980	2:1:1:1:	4:	4:4:	S-2:H-1:H-1:H-1:	C-4:	C-4:C-4:	C(SC)(H)3	H(CHHS)	S(CCCH)(CH3)	C(SC)(H)3	H(CHHS)	S(CCCH)(CH3)	109.4696	0.038	7	109.4696	0.038	7     109.4906       0.181      282      109.4968     0.343     407
490	690	980	2:1:1:1:	4:	4:4:	S-2:H-1:H-1:H-1:	C-4:	C-4:C-4:	C(SC)(H)3	H(CHHS)	S(CCHH)(CH3)	C(SC)(H)3	H(CHHS)	S(CCHH)(CH3)	109.4734	0.043	192	109.4734	0.043	192     109.4906       0.181      282      109.4968     0.343     407
490	690	980	2:1:1:1:	4:	4:4:	S-2:H-1:H-1:H-1:	C-4:	C-4:C-4:	C(SC)(H)3	H(CHHS)	S(CCHS)(CH3)	C(SC)(H)3	H(CHHS)	S(CCHS)(CH3)	109.4680	0.025	3	109.4680	0.025	3     109.4906       0.181      282      109.4968     0.343     407
490	690	980	2:1:1:1:	4:	4:4:	S-2:H-1:H-1:H-1:	C-4:	C-4:C-4:	C(SC)(H)3	H(CHHS)	S(CC[5]HH)(CH3)	C(SC)(H)3	H(CHHS)	S(CC[5]HH)(CH3)	109.4494	0.034	9	109.4494	0.034	9     109.4906       0.181      282      109.4968     0.343     407
