988	210	210	2:2:2:2:	4:4:	4:4:	N-2:N-2:N-2:N-2:	P-4:P-4:	P-4:P-4:	P(NP)4	N(PCl3)(PN3)	N(PCl3)(PN3)	P(NP)4	N(PCl3)(PN3)	N(PCl3)(PN3)	108.6930	3.107	4	108.6930	3.107	4     107.5542       2.823      7      115.4475     6.482     22
988	210	210	2:2:2:2:	4:4:	4:4:	N-2:N-2:O-2:O-2:	P-4:P-4:	P-4:P-4:	P(NP)2(OC)2	N(PFFN)(PNOO)	N(PFFN)(PNOO)	P(NP)2(OC)2	N(PFFN)(PNOO)	N(PFFN)(PNOO)	120.1430	0.000	1	120.1430	0.000	1     120.3355       0.272      2      115.4475     6.482     22
988	210	210	2:2:2:2:	4:4:	4:4:	N-2:N-2:O-2:O-2:	P-4:P-4:	P-4:P-4:	P(NP)2(OC)2	N(PNOO)2	N(PNOO)2	P(NP)2(OC)2	N(PNOO)2	N(PNOO)2	120.5280	0.000	1	120.5280	0.000	1     120.3355       0.272      2      115.4475     6.482     22
988	210	210	2:2:2:2:	4:4:	4:4:	O-2:O-2:N-2:N-2:	P-4:P-4:	P-4:P-4:	P(OC[6])2(NP)2	N(PNOO)2	N(PNOO)2	P(OC[6])2(NP)2	N(PNOO)2	N(PNOO)2	122.5770	0.000	1	122.5770	0.000	1     120.8107       1.213      10      115.4475     6.482     22
988	210	210	2:2:2:2:	4:4:	4:4:	O-2:O-2:N-2:N-2:	P-4:P-4:	P-4:P-4:	P(OC[6a])(OC[6])(NP)2	N(PNOO)2	N(PNOO)2	P(OC[6a])(OC[6])(NP)2	N(PNOO)2	N(PNOO)2	120.7940	0.231	2	120.7940	0.231	2     120.8107       1.213      10      115.4475     6.482     22
988	210	210	2:2:2:2:	4:4:	4:4:	O-2:O-2:N-2:N-2:	P-4:P-4:	P-4:P-4:	P(OC[6a])2(NP)2	N(PCl2N)(PNOO)	N(PCl2N)(PNOO)	P(OC[6a])2(NP)2	N(PCl2N)(PNOO)	N(PCl2N)(PNOO)	119.2930	0.000	1	119.2930	0.000	1     120.8107       1.213      10      115.4475     6.482     22
988	210	210	2:2:2:2:	4:4:	4:4:	O-2:O-2:N-2:N-2:	P-4:P-4:	P-4:P-4:	P(OC[6a])2(NP)2	N(PCl2N)(PNOO)	N(PNOO)2	P(OC[6a])2(NP)2	N(PCl2N)(PNOO)	N(PNOO)2	120.6335	0.213	2	120.6335	0.213	2     120.8107       1.213      10      115.4475     6.482     22
988	210	210	2:2:2:2:	4:4:	4:4:	O-2:O-2:N-2:N-2:	P-4:P-4:	P-4:P-4:	P(OC[6a])2(NP)2	N(PNOO)2	N(PNOO)2	P(OC[6a])2(NP)2	N(PNOO)2	N(PNOO)2	120.8455	1.598	4	120.8455	1.598	4     120.8107       1.213      10      115.4475     6.482     22
988	210	210	2:2:3:3:	3:4:	3:4:	N-2:N-2:N-3:N-3:	C[5]-3:P-4:	C[5]-3:P-4:	P(NC[5])2(NCH)2	N(C[5]N[5]2)(PN3)	N(C[5]N[5]2)(PN3)	P(NC[5])2(NCH)2	N(C[5]N[5]2)(PN3)	N(C[5]N[5]2)(PN3)	106.8390	0.000	1	106.8390	0.000	1     106.8390       0.000      1      106.8390     0.000     1
988	210	210	2:3:3:2:	3:4:	4:4:	N-2:N-3:N-3:N-2:	C[6a]-3:P-4:	P-4:P-4:	P(NC[6a])(NCC)2(NP)	N(C[6a]C[6a]2)(PN3)	N(PN3)2	P(NC[6a])(NCC)2(NP)	N(C[6a]C[6a]2)(PN3)	N(PN3)2	121.2710	1.669	2	121.2710	1.669	2     121.2710       1.669      2      121.2710     1.669     2
