474  727  951  0:SP3_SP-NON_SP2  C[5,5,6]  C[5,5a,6]  H  3:4:4:1:  3:4:3:  4:  C[5,5a,6]-3:C[5,5]-4:C[5,6]-4:H-1:  C[5,5a,6]-3:C[5,5,6]-4:C[5a]-3:  C[5,5,6]-4:  405_1299_2  408_7_1  567_3624_0  115.8960  0.291  4  115.8960  0.085  4  116.0135  0.268  13  116.0135  0.268  13  116.4328  0.897  19  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,5,6]  C[5,5a,6]  H  3:4:4:1:  3:4:3:  4:  C[5,5a,6]-3:C[5,5]-4:C[5,6]-4:H-1:  C[5,5a,6]-3:C[5,5,6]-4:C[5a]-3:  C[5,5,6]-4:  405_1299_1  408_8_1  567_3624_0  116.1055  0.755  6  116.0689  0.412  8  116.0135  0.268  13  116.0135  0.268  13  116.4328  0.897  19  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,5,6]  C[5,5a,6]  H  3:4:4:1:  3:4:3:  4:  C[5,5a,6]-3:C[5,5]-4:C[5,6]-4:H-1:  C[5,5a,6]-3:C[5,5,6]-4:C[5a]-3:  C[5,5,6]-4:  405_1299_1  408_8_2  567_3624_0  115.9590  0.066  2  116.0689  0.412  8  116.0135  0.268  13  116.0135  0.268  13  116.4328  0.897  19  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,5,6]  C[5,5a,6]  H  3:4:4:1:  3:4:3:  4:  C[5,5a,6]-3:C[5,5]-4:C[5,6]-4:H-1:  C[5,5a,6]-3:C[5,5,6]-4:C[5a]-3:  C[5,5,6]-4:  405_1300_1  408_6_2  567_3624_0  116.0400  0.000  1  116.0400  0.000  1  116.0135  0.268  13  116.0135  0.268  13  116.4328  0.897  19  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,5,6]  C[5,5a,6]  H  3:4:4:1:  4:3:3:  4:  C[5,5a,6]-3:C[5,5,6]-4:C[5,5]-4:H-1:  C[5,5,6]-4:C[5,5a,6]-3:C[5a]-3:  C[5,5,6]-4:  405_1298_1  408_2_1  567_3623_0  116.1725  0.064  2  116.1725  0.004  2  116.1725  0.004  2  116.1725  0.004  2  116.4328  0.897  19  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,5,6]  C[5,6,6a]  H  3:2:3:1:  3:4:3:  4:  C[5,6,6a]-3:O[5,5]-2:C[5,6]-3:H-1:  C[5,6,6a]-3:C[5,5,6]-4:C[6a]-3:  C[5,5,6]-4:  405_1517_1  413_294_1  567_3654_0  115.9990  0.000  1  116.1356  0.015  5  116.1356  0.015  5  116.1356  0.015  5  116.0389  1.233  344  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,5,6]  C[5,6,6a]  H  3:2:3:1:  3:4:3:  4:  C[5,6,6a]-3:O[5,5]-2:C[5,6]-3:H-1:  C[5,6,6a]-3:C[5,5,6]-4:C[6a]-3:  C[5,5,6]-4:  405_1517_2  413_294_10  567_3654_0  116.1795  0.093  2  116.1356  0.015  5  116.1356  0.015  5  116.1356  0.015  5  116.0389  1.233  344  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,5,6]  C[5,6,6a]  H  3:2:3:1:  3:4:3:  4:  C[5,6,6a]-3:O[5,5]-2:C[5,6]-3:H-1:  C[5,6,6a]-3:C[5,5,6]-4:C[6a]-3:  C[5,5,6]-4:  405_1517_3  413_294_2  567_3654_0  116.1600  0.163  2  116.1356  0.015  5  116.1356  0.015  5  116.1356  0.015  5  116.0389  1.233  344  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,5,6]  C[5,6,6a]  H  3:3:2:1:  3:3:4:  4:  C[5,6,6a]-3:C[5,6]-3:O[5,5]-2:H-1:  C[5,6,6a]-3:C[6a,6a]-3:C[5,5,6]-4:  C[5,5,6]-4:  405_1425_1  413_274_1  567_3654_0  115.7807  0.364  4  115.7807  0.132  4  115.7807  0.132  4  115.7807  0.132  4  116.0389  1.233  344  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,5,6]  C[5,6,6a]  H  3:3:2:1:  3:4:3:  4:  C[5,6,6a]-3:C[5,6,6a]-3:O[5,5]-2:H-1:  C[5,6,6a]-3:C[5,5,6]-4:C[6a,6a]-3:  C[5,5,6]-4:  405_1424_1  413_273_1  567_3636_0  116.0075  0.664  2  116.0075  0.441  2  116.0075  0.441  2  116.0075  0.441  2  116.0389  1.233  344  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,5,6]  C[5,6,6a]  H  3:3:2:1:  4:3:3:  4:  C[5,6,6a]-3:C[5,6,6]-3:O[5,5]-2:H-1:  C[5,5,6]-4:C[5,6,6a]-3:C[6a]-3:  C[5,5,6]-4:  405_1470_1  413_145_1  567_3651_0  116.0710  0.117  2  116.0710  0.014  2  116.0710  0.014  2  116.0555  0.141  4  116.0389  1.233  344  110.8175  3.411  8466  
474  727  951  0:SP3_SP-NON_SP2  C[5,5,6]  C[5,6,6a]  H  3:3:2:1:  4:3:3:  4:  C[5,6,6a]-3:C[5,6,6a]-3:O[5,5]-2:H-1:  C[5,5,6]-4:C[5,6,6a]-3:C[6a]-3:  C[5,5,6]-4:  405_1424_1  413_165_1  567_3636_0  116.0400  0.639  2  116.0400  0.409  2  116.0400  0.409  2  116.0555  0.141  4  116.0389  1.233  344  110.8175  3.411  8466  
