454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]2)(C[5]C[5]H)	C[5](C[5]C[6a]C[5])(C[5]N[5]S[5])(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]2)(C[5]C[5]H){1|C<3>,1|H<1>,1|N<2>,1|S<2>}	C[5](C[5]C[6a]C[5])(C[5]N[5]S[5])(S[5]C[5]){1|N<2>,2|H<1>,3|C<3>}	C[5](C[5]C[5]H)(S[5]C[5])(H){2|C<3>}	91.6338	0.352	10	91.6338	0.352	10     92.0002       0.622      112      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]2)(C[5]C[5]H)	C[5](C[5]N[5]S[5])(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]C)(S[5]C[5])(H)	S[5](C[5]C[5]2)(C[5]C[5]H){1|C<4>,1|H<1>,1|N<2>,1|S<2>}	C[5](C[5]N[5]S[5])(C[5]C[5]H)(S[5]C[5]){1|C<3>,1|C<4>,1|H<1>,1|N<2>}	C[5](C[5]C[5]C)(S[5]C[5])(H){1|C<3>,1|H<1>}	90.8113	0.022	2	90.8113	0.022	2     92.0002       0.622      112      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]2)(C[5]C[5]H)	C[5](C[5]N[5]S[5])(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]2)(C[5]C[5]H){1|N<2>,1|S<2>,2|H<1>}	C[5](C[5]N[5]S[5])(C[5]C[5]H)(S[5]C[5]){2|C<3>,2|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|H<1>}	91.6970	0.000	1	91.6970	0.000	1     92.0002       0.622      112      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]2)(C[5]C[5]H)	C[5](C[5]Se[5]N[5])(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]2)(C[5]C[5]H){1|Se<2>,1|N<2>,2|H<1>}	C[5](C[5]Se[5]N[5])(C[5]C[5]H)(S[5]C[5]){1|C<3>,1|N<2>,2|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|H<1>}	91.2030	0.096	2	91.2030	0.096	2     92.0002       0.622      112      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:O-1:	S[5](C[5]C[5]2)(C[5]C[5]O)	C[5](C[5]C[5]S[5])(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]2)(S[5]C[5])(O)	S[5](C[5]C[5]2)(C[5]C[5]O){1|H<1>,1|S<2>,2|C<3>}	C[5](C[5]C[5]S[5])(C[5]C[5]H)(S[5]C[5]){1|H<1>,1|O<1>,3|C<3>}	C[5](C[5]C[5]2)(S[5]C[5])(O){1|H<1>,3|C<3>}	91.4931	0.103	2	91.4931	0.103	2     91.4931       0.103      2      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:C[5]-3:S[5]-2:	N[5]-3:S[5]-2:S-1:	S[5](C[5]C[5]2)(C[5]N[5]S)	C[5](C[5]C[5,6a]C[5])(C[5]N[5]O)(S[5]C[5])	C[5](N[5]C[5]C)(S[5]C[5])(S)	S[5](C[5]C[5]2)(C[5]N[5]S){1|C<4>,1|O<1>,2|C<3>}	C[5](C[5]C[5,6a]C[5])(C[5]N[5]O)(S[5]C[5]){1|C<4>,1|O<1>,1|S<1>,3|C<3>}	C[5](N[5]C[5]C)(S[5]C[5])(S){1|C<3>,1|O<1>}	92.5983	0.000	1	92.5983	0.000	1     91.6886       0.503      6      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:C[5]-3:S[5]-2:	N[5]-3:S[5]-2:S-1:	S[5](C[5]C[5]2)(C[5]N[5]S)	C[5](C[5]C[5]S[5])(C[5]N[5]S)(S[5]C[5])	C[5](N[5]C[5]C)(S[5]C[5])(S)	S[5](C[5]C[5]2)(C[5]N[5]S){1|C<3>,1|C<4>,1|S<1>,1|S<2>}	C[5](C[5]C[5]S[5])(C[5]N[5]S)(S[5]C[5]){1|C<3>,1|C<4>,1|N<3>,2|S<1>}	C[5](N[5]C[5]C)(S[5]C[5])(S){1|C<3>,1|S<1>}	91.5066	0.261	5	91.5066	0.261	5     91.6886       0.503      6      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:C[6]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]C[6])(C[5]C[5]H)	C[5](C[5]C[5]Br)(C[6]C[6]2)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]C[6])(C[5]C[5]H){1|Br<1>,1|C<3>,1|C<4>,1|H<1>}	C[5](C[5]C[5]Br)(C[6]C[6]2)(S[5]C[5]){1|C<3>,1|C<4>,5|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|Br<1>,1|C<3>}	92.9590	0.359	3	92.9590	0.359	3     92.1441       0.890      10      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:C[6]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]C[6])(C[5]C[5]H)	C[5](C[5]C[5]H)(C[6]C[6]2)(S[5]C[5])	C[5](C[5]C[5]Br)(S[5]C[5])(H)	S[5](C[5]C[5]C[6])(C[5]C[5]H){1|Br<1>,1|H<1>,2|C<3>}	C[5](C[5]C[5]H)(C[6]C[6]2)(S[5]C[5]){1|Br<1>,2|C<3>,3|H<1>}	C[5](C[5]C[5]Br)(S[5]C[5])(H){1|C<3>,1|H<1>}	92.3658	0.462	4	92.3658	0.462	4     92.1441       0.890      10      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:C[6]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]C[6])(C[5]C[5]H)	C[5](C[5]C[5]H)(C[6]N[6]2)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]C[6])(C[5]C[5]H){1|N<2>,1|N<3>,2|H<1>}	C[5](C[5]C[5]H)(C[6]N[6]2)(S[5]C[5]){1|C<3>,1|S<2>,3|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|H<1>}	91.5073	0.000	1	91.0336	0.410	3     92.1441       0.890      10      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:C[6]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]C[6])(C[5]C[5]H)	C[5](C[5]C[5]H)(C[6]N[6]2)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]C[6])(C[5]C[5]H){2|H<1>,2|N<2>}	C[5](C[5]C[5]H)(C[6]N[6]2)(S[5]C[5]){1|C<3>,1|S<2>,2|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|H<1>}	90.7967	0.000	2	91.0336	0.410	3     92.1441       0.890      10      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:C[6]-3:S[5]-2:	N[5]-3:S[5]-2:S-1:	S[5](C[5]C[5]C[6])(C[5]N[5]S)	C[5](C[5]N[5]O)(C[6]C[6]2)(S[5]C[5])	C[5](N[5]C[5]H)(S[5]C[5])(S)	S[5](C[5]C[5]C[6])(C[5]N[5]S){1|H<1>,1|O<1>,2|C<4>}	C[5](C[5]N[5]O)(C[6]C[6]2)(S[5]C[5]){1|S<1>,2|C<4>,5|H<1>}	C[5](N[5]C[5]H)(S[5]C[5])(S){1|C<3>,1|O<1>}	93.4183	0.000	1	93.4183	0.000	1     93.4183       0.000      1      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:N[5]-3:S[5]-2:	C[5]-3:S[5]-2:Br-1:	S[5](C[5]C[5]N[5])(C[5]C[5]Br)	C[5](C[5]C[5]H)(N[5]C[5]2)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(Br)	S[5](C[5]C[5]N[5])(C[5]C[5]Br){2|C<3>,2|H<1>}	C[5](C[5]C[5]H)(N[5]C[5]2)(S[5]C[5]){1|Br<1>,1|H<1>,2|C<4>,2|O<1>}	C[5](C[5]C[5]H)(S[5]C[5])(Br){1|H<1>,1|N<3>}	89.6994	0.000	1	89.6994	0.000	1     88.8958       1.136      2      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5]-3:N[5]-3:S[5]-2:	C[5]-3:S[5]-2:Br-1:	S[5](C[5]C[5]N[5])(C[5]C[5]Br)	C[5](C[5]N[5]S[5])(N[5]C[5]Re)(S[5]C[5])	C[5](C[5]N[5]C)(S[5]C[5])(Br)	S[5](C[5]C[5]N[5])(C[5]C[5]Br){1|Re<6>,1|C<4>,1|N<3>,1|S<2>}	C[5](C[5]N[5]S[5])(N[5]C[5]Re)(S[5]C[5]){1|Br<1>,1|C<4>,2|C<3>}	C[5](C[5]N[5]C)(S[5]C[5])(Br){1|Re<6>,1|C<3>}	88.0922	0.000	1	88.0922	0.000	1     88.8958       1.136      2      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:Br-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]Br)	C[5](C[5a]C[5,5a]C[5a])(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(Br)	S[5](C[5]C[5a]C[5])(C[5]C[5]Br){2|C<3>,2|H<1>}	C[5](C[5a]C[5,5a]C[5a])(C[5]C[5]H)(S[5]C[5]){1|Br<1>,1|C<3>,1|H<1>,1|O<1>,2|N<3>}	C[5](C[5]C[5]H)(S[5]C[5])(Br){1|C<3>,1|H<1>}	91.1883	0.000	1	91.1883	0.000	1     90.7465       0.446      11      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:Br-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]Br)	C[5](C[5a]N[5a,6]C[5a])(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(Br)	S[5](C[5]C[5a]C[5])(C[5]C[5]Br){1|C<3>,1|N<3>,2|H<1>}	C[5](C[5a]N[5a,6]C[5a])(C[5]C[5]H)(S[5]C[5]){1|Br<1>,1|B<4>,2|C<3>,2|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(Br){1|C<3>,1|H<1>}	91.1226	0.091	4	91.1226	0.091	4     90.7465       0.446      11      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:Br-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]Br)	C[5](C[5a]N[5a]2)(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(Br)	S[5](C[5]C[5a]C[5])(C[5]C[5]Br){1|N<2>,1|N<3>,2|H<1>}	C[5](C[5a]N[5a]2)(C[5]C[5]H)(S[5]C[5]){1|Br<1>,1|C<4>,1|H<1>,2|C<3>}	C[5](C[5]C[5]H)(S[5]C[5])(Br){1|C<3>,1|H<1>}	90.9170	0.000	1	90.4792	0.345	5     90.7465       0.446      11      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:Br-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]Br)	C[5](C[5a]N[5a]2)(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(Br)	S[5](C[5]C[5a]C[5])(C[5]C[5]Br){1|N<2>,1|N<3>,2|H<1>}	C[5](C[5a]N[5a]2)(C[5]C[5]H)(S[5]C[5]){1|Br<1>,2|C<3>,2|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(Br){1|C<3>,1|H<1>}	90.3698	0.281	4	90.4792	0.345	5     90.7465       0.446      11      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:Br-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]Br)	C[5](C[5a]N[5a]O[5a])(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(Br)	S[5](C[5]C[5a]C[5])(C[5]C[5]Br){1|N<2>,1|O<2>,2|H<1>}	C[5](C[5a]N[5a]O[5a])(C[5]C[5]H)(S[5]C[5]){1|Br<1>,1|C<3>,1|H<1>,1|N<2>}	C[5](C[5]C[5]H)(S[5]C[5])(Br){1|C<3>,1|H<1>}	90.1363	0.000	1	90.1363	0.000	1     90.7465       0.446      11      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]H)	C[5](C[5a]C[5,5a]N[5a])(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5a]C[5])(C[5]C[5]H){1|C<3>,1|N<3>,2|H<1>}	C[5](C[5a]C[5,5a]N[5a])(C[5]C[5]H)(S[5]C[5]){1|C<4>,2|H<1>,3|C<3>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|H<1>}	91.7408	0.000	1	91.7408	0.000	1     92.0977       1.044      20      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]H)	C[5](C[5a]C[5a,6a]C[5a])(C[5]C[5]C)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5a]C[5])(C[5]C[5]H){1|C<4>,1|H<1>,2|C<3>}	C[5](C[5a]C[5a,6a]C[5a])(C[5]C[5]C)(S[5]C[5]){1|O<2>,2|H<1>,3|C<3>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|C<4>}	91.6693	0.000	1	91.6693	0.000	1     92.0977       1.044      20      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]H)	C[5](C[5a]C[5a]2)(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5a]C[5])(C[5]C[5]H){2|C<3>,2|H<1>}	C[5](C[5a]C[5a]2)(C[5]C[5]H)(S[5]C[5]){1|N<3>,2|C<3>,3|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|H<1>}	92.3173	0.000	1	92.3173	0.000	1     92.0977       1.044      20      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]H)	C[5](C[5a]C[5a]N[5a])(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5a]C[5])(C[5]C[5]H){1|C<3>,1|N<2>,2|H<1>}	C[5](C[5a]C[5a]N[5a])(C[5]C[5]H)(S[5]C[5]){1|N<3>,2|C<3>,2|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|H<1>}	91.7668	0.000	1	92.2464	0.349	6     92.0977       1.044      20      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]H)	C[5](C[5a]C[5a]N[5a])(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5a]C[5])(C[5]C[5]H){1|C<3>,1|N<3>,2|H<1>}	C[5](C[5a]C[5a]N[5a])(C[5]C[5]H)(S[5]C[5]){1|C<4>,2|C<3>,3|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|H<1>}	92.4292	0.247	4	92.2464	0.349	6     92.0977       1.044      20      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]H)	C[5](C[5a]C[5a]N[5a])(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5a]C[5])(C[5]C[5]H){1|C<3>,1|N<3>,2|H<1>}	C[5](C[5a]C[5a]N[5a])(C[5]C[5]H)(S[5]C[5]){1|N<3>,2|C<3>,3|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|H<1>}	91.9943	0.000	1	92.2464	0.349	6     92.0977       1.044      20      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]H)	C[5](C[5a]C[5a]O[5a])(C[5]C[5]C)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5a]C[5])(C[5]C[5]H){1|C<3>,1|C<4>,1|H<1>,1|O<2>}	C[5](C[5a]C[5a]O[5a])(C[5]C[5]C)(S[5]C[5]){2|H<1>,3|C<3>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|C<4>}	91.1811	0.000	1	91.1811	0.000	1     92.0977       1.044      20      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]H)	C[5](C[5a]C[5a]O[5a])(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5a]C[5])(C[5]C[5]H){1|C<3>,1|O<2>,2|H<1>}	C[5](C[5a]C[5a]O[5a])(C[5]C[5]H)(S[5]C[5]){1|N<2>,2|C<3>,2|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|H<1>}	91.6803	0.000	1	91.6033	0.109	2     92.0977       1.044      20      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]H)	C[5](C[5a]C[5a]O[5a])(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5a]C[5])(C[5]C[5]H){1|C<3>,1|O<2>,2|H<1>}	C[5](C[5a]C[5a]O[5a])(C[5]C[5]H)(S[5]C[5]){2|C<3>,3|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|H<1>}	91.5262	0.000	1	91.6033	0.109	2     92.0977       1.044      20      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]H)	C[5](C[5a]N[5a]2)(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5a]C[5])(C[5]C[5]H){1|N<2>,1|N<3>,2|H<1>}	C[5](C[5a]N[5a]2)(C[5]C[5]H)(S[5]C[5]){1|C<4>,2|C<3>,2|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|H<1>}	91.5473	0.355	3	91.5887	0.396	5     92.0977       1.044      20      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]H)	C[5](C[5a]N[5a]2)(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5a]C[5])(C[5]C[5]H){1|N<2>,1|N<3>,2|H<1>}	C[5](C[5a]N[5a]2)(C[5]C[5]H)(S[5]C[5]){2|C<3>,3|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|H<1>}	91.6508	0.602	2	91.5887	0.396	5     92.0977       1.044      20      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]H)	C[5](C[5a]N[5a]O[5a])(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5a]C[5])(C[5]C[5]H){1|N<2>,1|O<2>,2|H<1>}	C[5](C[5a]N[5a]O[5a])(C[5]C[5]H)(S[5]C[5]){1|C<3>,1|N<2>,2|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|H<1>}	96.1376	0.000	1	96.1376	0.000	1     92.0977       1.044      20      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[5a]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5a]C[5])(C[5]C[5]H)	C[5](C[5a]N[5a]O[5a])(C[5]C[5]S)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5a]C[5])(C[5]C[5]H){1|H<1>,1|N<2>,1|O<2>,1|S<4>}	C[5](C[5a]N[5a]O[5a])(C[5]C[5]S)(S[5]C[5]){1|C<3>,1|N<2>,2|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|S<4>}	92.1401	0.058	2	92.1401	0.058	2     92.0977       1.044      20      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[6]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:Br-1:	S[5](C[5]C[5]C[6])(C[5]C[5]Br)	C[5](C[6]C[5a,6]2)(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(Br)	S[5](C[5]C[5]C[6])(C[5]C[5]Br){2|C<3>,2|H<1>}	C[5](C[6]C[5a,6]2)(C[5]C[5]H)(S[5]C[5]){1|Br<1>,1|H<1>,2|C<3>,2|N<3>}	C[5](C[5]C[5]H)(S[5]C[5])(Br){1|C<3>,1|H<1>}	91.1832	0.382	3	91.1832	0.382	3     91.1832       0.382      3      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[6]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:Cl-1:	S[5](C[5]C[5]C[6])(C[5]C[5]Cl)	C[5](C[6]C[6]N[6])(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(Cl)	S[5](C[5]C[5]C[6])(C[5]C[5]Cl){1|C<4>,1|N<2>,2|H<1>}	C[5](C[6]C[6]N[6])(C[5]C[5]H)(S[5]C[5]){1|Cl<1>,1|N<2>,1|S<2>,3|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(Cl){1|C<3>,1|H<1>}	90.1001	0.274	2	90.1001	0.274	2     90.1001       0.274      2      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[6]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]C[6])(C[5]C[5]H)	C[5](C[6]C[5,6]N[6])(C[5]C[5]Pt)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]C[6])(C[5]C[5]H){1|Pt<4>,1|C<3>,1|H<1>,1|N<3>}	C[5](C[6]C[5,6]N[6])(C[5]C[5]Pt)(S[5]C[5]){1|C<4>,2|C<3>,2|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|Pt<4>,1|C<3>}	90.2419	0.153	2	90.2419	0.153	2     90.8681       0.739      28      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[6]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]C[6])(C[5]C[5]H)	C[5](C[6]C[5a,6]2)(C[5]C[5]H)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]C[6])(C[5]C[5]H){2|C<3>,2|H<1>}	C[5](C[6]C[5a,6]2)(C[5]C[5]H)(S[5]C[5]){2|C<3>,2|H<1>,2|N<3>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|C<3>,1|H<1>}	92.0912	0.000	1	92.0912	0.000	1     90.8681       0.739      28      91.3473     0.989     690
454	818	818	3:3:	3:3:2:	3:2:1:	C[5]-3:C[5]-3:	C[6]-3:C[5]-3:S[5]-2:	C[5]-3:S[5]-2:H-1:	S[5](C[5]C[5]C[6])(C[5]C[5]H)	C[5](C[6]C[6]N[6])(C[5]C[5]Au)(S[5]C[5])	C[5](C[5]C[5]H)(S[5]C[5])(H)	S[5](C[5]C[5]C[6])(C[5]C[5]H){1|Au<4>,1|C<3>,1|H<1>,1|N<3>}	C[5](C[6]C[6]N[6])(C[5]C[5]Au)(S[5]C[5]){2|C<3>,3|H<1>}	C[5](C[5]C[5]H)(S[5]C[5])(H){1|Au<4>,1|C<3>}	90.9925	0.000	1	90.9925	0.000	1     90.8681       0.739      28      91.3473     0.989     690
