362  362  951  0:SPD6_SP-NON_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  H  6:6:6:6:6:1:  6:6:6:6:6:1:  6:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:  434_19_1  434_19_1  567_5359_0  120.6910  0.000  1  120.6910  0.000  1  119.1659  9.516  107  119.2187  9.260  111  118.7293  10.699  302  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  H  6:6:6:6:6:1:  6:6:6:6:6:1:  6:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:  434_27_1  434_27_1  567_5359_0  115.6070  1.137  4  115.6070  1.292  4  119.1659  9.516  107  119.2187  9.260  111  118.7293  10.699  302  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  H  6:6:6:6:6:1:  6:6:6:6:6:1:  6:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:  434_34_1  434_34_1  567_5359_0  110.2570  0.000  1  110.2570  0.000  1  119.1659  9.516  107  119.2187  9.260  111  118.7293  10.699  302  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  H  6:6:6:6:6:1:  6:6:6:6:6:1:  6:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:  434_35_1  434_35_1  567_5359_0  121.0405  0.120  2  121.0405  0.014  2  119.1659  9.516  107  119.2187  9.260  111  118.7293  10.699  302  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  H  6:6:6:6:6:1:  6:6:6:6:6:1:  6:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:  434_40_1  434_40_1  567_5359_0  121.1520  0.133  4  118.2915  9.831  22  119.1659  9.516  107  119.2187  9.260  111  118.7293  10.699  302  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  H  6:6:6:6:6:1:  6:6:6:6:6:1:  6:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:  434_40_2  434_40_2  567_5359_0  117.6558  3.129  18  118.2915  9.831  22  119.1659  9.516  107  119.2187  9.260  111  118.7293  10.699  302  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  H  6:6:6:6:6:1:  6:6:6:6:6:1:  6:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:  434_44_1  434_44_1  567_5359_0  115.4800  1.516  2  115.4800  2.298  2  119.1659  9.516  107  119.2187  9.260  111  118.7293  10.699  302  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  H  6:6:6:6:6:1:  6:6:6:6:6:1:  6:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:  434_51_1  434_127_2  567_5359_0  121.1335  0.769  2  121.1335  0.591  2  119.1659  9.516  107  119.2187  9.260  111  118.7293  10.699  302  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  H  6:6:6:6:6:1:  6:6:6:6:6:1:  6:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:  434_57_1  434_127_2  567_5359_0  121.8500  0.000  1  121.8500  0.000  1  119.1659  9.516  107  119.2187  9.260  111  118.7293  10.699  302  117.5772  103.967  352  
362  362  951  0:SPD6_SP-NON_SPD6  C[5x3,5x5,20x6]  C[5x3,5x5,20x6]  H  6:6:6:6:6:1:  6:6:6:6:6:1:  6:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,20x6]-6:H-1:  C[5x3,5x5,20x6]-6:  434_58_1  434_58_1  567_5359_0  114.1520  0.030  2  114.1520  0.001  2  119.1659  9.516  107  119.2187  9.260  111  118.7293  10.699  302  117.5772  103.967  352  
