474	690	930	3:3:3:1:	4:	4:2:1:	C[5,6a]-3:N[5]-3:C-3:H-1:	C[5]-4:	C[5]-4:O-2:O-1:	C[5](C[5,6a]C[5,6a]C[6a])(N[5]C[5]H)(COO)(H)	H(C[5]C[5,6a]N[5]C)	C(C[5]C[5,6a]N[5]H)(OC)(O)	C[5](C[5,6a]C[5,6a]C[6a])(N[5]C[5]H)(COO)(H){1|H<1>,1|O<1>,2|C<3>}	H(C[5]C[5,6a]N[5]C)	C(C[5]C[5,6a]N[5]H)(OC)(O)	109.7370	0.000	1	109.7370	0.000	1     109.7370       0.000      1      109.4669     2.771     12
474	690	930	3:3:3:1:	4:	4:2:1:	C[5]-3:C[5]-3:C-3:H-1:	C[5]-4:	C[5]-4:O-2:O-1:	C[5](C[5]C[5,5a]C[5])(C[5]C[5,5a]O)(COO)(H)	H(C[5]C[5]2C)	C(C[5]C[5]2H)(OC)(O)	C[5](C[5]C[5,5a]C[5])(C[5]C[5,5a]O)(COO)(H){1|C<3>,1|C<4>,1|N<2>,1|N<3>}	H(C[5]C[5]2C)	C(C[5]C[5]2H)(OC)(O)	109.9990	0.000	1	109.9990	0.000	1     109.9990       0.000      1      109.4669     2.771     12
474	690	930	3:3:3:1:	4:	4:2:1:	C[5]-3:N[5]-3:C-3:H-1:	C[5]-4:	C[5]-4:O-2:O-1:	C[5](C[5]C[5,6]C[6a])(N[5]C[5,6]C)(COO)(H)	H(C[5]C[5]N[5]C)	C(C[5]C[5]N[5]H)(OC)(O)	C[5](C[5]C[5,6]C[6a])(N[5]C[5,6]C)(COO)(H){1|C<4>,1|H<1>,3|C<3>}	H(C[5]C[5]N[5]C)	C(C[5]C[5]N[5]H)(OC)(O)	108.2340	0.000	1	108.2340	0.000	1     108.7785       0.770      2      109.4669     2.771     12
474	690	930	3:3:3:1:	4:	4:2:1:	C[5]-3:N[5]-3:C-3:H-1:	C[5]-4:	C[5]-4:O-2:O-1:	C[5](C[5]C[5,6]H)(N[5]C[5,6]S)(COO)(H)	H(C[5]C[5]N[5]C)	C(C[5]C[5]N[5]H)(OC)(O)	C[5](C[5]C[5,6]H)(N[5]C[5,6]S)(COO)(H){1|H<1>,2|C<4>}	H(C[5]C[5]N[5]C)	C(C[5]C[5]N[5]H)(OC)(O)	109.3230	0.000	1	109.3230	0.000	1     108.7785       0.770      2      109.4669     2.771     12
474	690	930	3:3:3:1:	4:	4:2:1:	N[5,5a]-3:C[5]-3:C-3:H-1:	C[5]-4:	C[5]-4:O-2:O-1:	C[5](N[5,5a]N[5,5a]C[5a])(C[5]C[5]C)(COO)(H)	H(C[5]N[5,5a]C[5]C)	C(C[5]N[5,5a]C[5]H)(OC)(O)	C[5](N[5,5a]N[5,5a]C[5a])(C[5]C[5]C)(COO)(H){1|N<3>,3|C<3>}	H(C[5]N[5,5a]C[5]C)	C(C[5]N[5,5a]C[5]H)(OC)(O)	110.2940	0.000	1	110.2940	0.000	1     110.2940       0.000      1      109.4669     2.771     12
474	690	930	3:3:3:1:	4:	4:2:1:	N[5]-3:C[5]-3:C-3:H-1:	C[5]-4:	C[5]-4:O-2:O-1:	C[5](N[5]C[6a]C[5])(C[5]C[5]C)(COO)(H)	H(C[5]C[5]N[5]C)	C(C[5]C[5]N[5]H)(OC)(O)	C[5](N[5]C[6a]C[5])(C[5]C[5]C)(COO)(H){1|H<1>,4|C<3>}	H(C[5]C[5]N[5]C)	C(C[5]C[5]N[5]H)(OC)(O)	110.9720	0.000	1	110.9720	0.000	1     110.9720       0.000      1      109.4669     2.771     12
474	690	930	3:3:3:1:	4:	4:2:1:	N[5]-3:N[5]-3:C-3:H-1:	C[5]-4:	C[5]-4:O-2:O-1:	C[5](N[5]C[5]C)2(COO)(H)	H(C[5]N[5]2C)	C(C[5]N[5]2H)(OC)(O)	C[5](N[5]C[5]C)2(COO)(H){4|H<1>}	H(C[5]N[5]2C)	C(C[5]N[5]2H)(OC)(O)	111.2745	0.209	2	111.2745	0.209	2     111.2745       0.209      2      109.4669     2.771     12
474	690	930	3:3:3:1:	4:	4:3:1:	C[5]-3:N[5]-3:C-3:H-1:	C[5]-4:	C[5]-4:C-3:H-1:	C[5](C[5]C[5]C)(N[5]C[5]H)(CCH)(H)	H(C[5]C[5]N[5]C)	C(C[5]C[5]N[5]H)(CCH)(H)	C[5](C[5]C[5]C)(N[5]C[5]H)(CCH)(H){1|C<3>,1|O<1>}	H(C[5]C[5]N[5]C)	C(C[5]C[5]N[5]H)(CCH)(H)	111.6710	0.000	1	111.6710	0.000	1     111.6710       0.000      1      111.2395     0.610     2
474	690	930	3:3:3:1:	4:	4:3:1:	N[5]-3:C[5]-3:C-3:H-1:	C[5]-4:	C[5]-4:N[6]-3:O-1:	C[5](N[5]C[5]C[6])(C[5]C[5]H)(CN[6]O)(H)	H(C[5]C[5]N[5]C)	C(C[5]C[5]N[5]H)(N[6]C[6]2)(O)	C[5](N[5]C[5]C[6])(C[5]C[5]H)(CN[6]O)(H){1|N<3>,2|C<3>,2|H<1>}	H(C[5]C[5]N[5]C)	C(C[5]C[5]N[5]H)(N[6]C[6]2)(O)	110.8080	0.000	1	110.8080	0.000	1     110.8080       0.000      1      111.2395     0.610     2
474	690	930	3:3:3:1:	4:	4:3:3:	C[5,6a]-3:C[5]-3:C-3:H-1:	C[5]-4:	C[5]-4:C[6a]-3:C-3:	C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]H)(CC[6a]C)(H)	H(C[5]C[5,6a]C[5]C)	C(C[5]C[5,6a]C[5]H)(C[6a]C[6a]2)(CCC)	C[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]H)(CC[6a]C)(H){1|H<1>,3|C<3>}	H(C[5]C[5,6a]C[5]C)	C(C[5]C[5,6a]C[5]H)(C[6a]C[6a]2)(CCC)	107.8710	0.000	1	107.8710	0.000	1     107.8710       0.000      1      107.8710     0.000     1
