930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:C-3:H-1:	C-4:C-3:	C(NCH)(OC)(O)	N(CC[6a]C)(COO)(H)	O(CH3)(CNO)	C(NCH)(OC)(O)	N(CC[6a]C)(COO)(H)	O(CH3)(CNO)	109.9120	0.000	1	109.9120	0.000	1     108.8426       1.196      81      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:C-3:H-1:	C-4:C-3:	C(NCH)(OC)(O)	N(CNN)(COO)(H)	O(CC3)(CNO)	C(NCH)(OC)(O)	N(CNN)(COO)(H)	O(CC3)(CNO)	108.1110	0.056	3	108.1110	0.056	3     108.8426       1.196      81      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:C-3:H-1:	C-4:C-3:	C(NCH)(OC)(O)	N(CNN)(COO)(H)	O(CC[6a]HH)(CNO)	C(NCH)(OC)(O)	N(CNN)(COO)(H)	O(CC[6a]HH)(CNO)	109.1010	0.000	1	109.1010	0.000	1     108.8426       1.196      81      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:C-3:H-1:	C-4:C-3:	C(NCH)(OC)(O)	N(CNN)(COO)(H)	O(CH3)(CNO)	C(NCH)(OC)(O)	N(CNN)(COO)(H)	O(CH3)(CNO)	108.6665	0.016	2	108.6665	0.016	2     108.8426       1.196      81      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:C-3:H-1:	C-4:C-3:	C(NCH)(OC)(O)	N(CNS)(COO)(H)	O(CC3)(CNO)	C(NCH)(OC)(O)	N(CNS)(COO)(H)	O(CC3)(CNO)	106.3497	1.428	3	106.3497	1.428	3     108.8426       1.196      81      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:C-3:H-1:	C-4:C-3:	C(NCH)(OC)(O)	N(CNS)(COO)(H)	O(CCHH)(CNO)	C(NCH)(OC)(O)	N(CNS)(COO)(H)	O(CCHH)(CNO)	108.7583	0.764	22	108.7583	0.764	22     108.8426       1.196      81      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:C-3:H-1:	C-4:C-3:	C(NCH)(OC)(O)	N(CNS)(COO)(H)	O(CH3)(CNO)	C(NCH)(OC)(O)	N(CNS)(COO)(H)	O(CH3)(CNO)	109.1326	0.827	38	109.1326	0.827	38     108.8426       1.196      81      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:C-3:H-1:	C-4:C-3:	C(NCH)(OC)(O)	N(COO)(COS)(H)	O(CCHH)(CNO)	C(NCH)(OC)(O)	N(COO)(COS)(H)	O(CCHH)(CNO)	106.6450	0.000	1	106.6450	0.000	1     108.8426       1.196      81      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:C-3:H-1:	C-4:C-3:	C(NCH)(OC)(O)	N(COO)2(H)	O(CC[6]CH)(CNO)	C(NCH)(OC)(O)	N(COO)2(H)	O(CC[6]CH)(CNO)	107.0453	1.290	3	107.0453	1.290	3     108.8426       1.196      81      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:N-3:H-1:	C-4:C-3:	C(NHN)(OC)(O)	N(COO)(NCC)(H)	O(CC3)(CNO)	C(NHN)(OC)(O)	N(COO)(NCC)(H)	O(CC3)(CNO)	107.5750	1.130	6	107.5750	1.130	6     107.8218       1.480      18      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:N-3:H-1:	C-4:C-3:	C(NHN)(OC)(O)	N(COO)(NCC)(H)	O(CCHH)(CNO)	C(NHN)(OC)(O)	N(COO)(NCC)(H)	O(CCHH)(CNO)	108.5080	0.000	1	108.5080	0.000	1     107.8218       1.480      18      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:N-3:H-1:	C-4:C-3:	C(NHN)(OC)(O)	N(COO)(NCC)(H)	O(CC[6a]HH)(CNO)	C(NHN)(OC)(O)	N(COO)(NCC)(H)	O(CC[6a]HH)(CNO)	106.5135	1.579	2	106.5135	1.579	2     107.8218       1.480      18      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:N-3:H-1:	C-4:C-3:	C(NHN)(OC)(O)	N(COO)(NCH)(H)	O(CC3)(CNO)	C(NHN)(OC)(O)	N(COO)(NCH)(H)	O(CC3)(CNO)	108.2870	0.000	1	108.2870	0.000	1     107.8218       1.480      18      109.1414     1.669     300
930	670	973	3:2:1:	3:3:1:	4:3:	N-3:O-2:O-1:	C-3:N-3:H-1:	C-4:C-3:	C(NHN)(OC)(O)	N(COO)(NCH)(H)	O(CCCH)(CNO)	C(NHN)(OC)(O)	N(COO)(NCH)(H)	O(CCCH)(CNO)	109.5547	0.557	3	109.5547	0.557	3     107.8218       1.480      18      109.1414     1.669     300
