610	490	762	3:3:3:4:	4:4:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	P-4:B-4:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CHHP)	C(PC[6a]2C)(BC[6a]3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CHHP)	C(PC[6a]2C)(BC[6a]3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	109.4640	6.095	3	109.4640	6.095	3     109.6675       5.440      6      109.9248     4.472     46
610	490	762	3:3:3:4:	4:4:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C[6a]-3:C-4:	P-4:B-4:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)3(CHHP)	C(PC[6a]2Zr)(BC[6a]3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C)	B(C[6a]C[6a]2)3(CHHP)	C(PC[6a]2Zr)(BC[6a]3)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]2C){1|C<3>,2|F<1>}	109.8710	6.059	3	109.8710	6.059	3     109.6675       5.440      6      109.9248     4.472     46
610	490	762	3:3:3:4:	4:4:1:1:	3:3:4:	N[5]-3:N[5]-3:C[6a]-3:C-4:	B-4:P-4:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(N[5]C[5]N[5])2(C[6a]C[6a]2)(CHHP)	C(BC[6a]N[5]2)(PC[6a]2O)(H)2	C[6a](C[6a]C[6a]H)2(BN[5]2C)	B(N[5]C[5]N[5])2(C[6a]C[6a]2)(CHHP)	C(BC[6a]N[5]2)(PC[6a]2O)(H)2	C[6a](C[6a]C[6a]H)2(BN[5]2C){1|C<3>,2|H<1>}	112.7560	0.000	1	112.7560	0.000	1     112.7560       0.000      1      109.9248     4.472     46
610	490	762	3:3:3:4:	4:4:1:1:	4:3:3:	C[6a]-3:C[6a]-3:N[5]-3:C-4:	B-4:C-4:H-1:H-1:	B-4:C[6a]-3:C[6a]-3:	B(C[6a]C[6a]2)2(N[5]C[5]2)(CCHH)	C(BC[6a]2N[5])(CCHH)(H)2	C[6a](BC[6a]N[5]C)(C[6a]C[6a]F)2	B(C[6a]C[6a]2)2(N[5]C[5]2)(CCHH)	C(BC[6a]2N[5])(CCHH)(H)2	C[6a](BC[6a]N[5]C)(C[6a]C[6a]F)2{1|C<3>,2|F<1>}	111.8857	4.252	6	111.8857	4.252	6     111.8857       4.252      6      110.8606     4.369     14
610	490	762	3:3:3:4:	4:4:1:1:	4:3:3:	C[6a]-3:C[6a]-3:N[6]-3:C-4:	B-4:C-4:H-1:H-1:	B-4:C[6a]-3:C[6a]-3:	B(C[6a]C[6a]2)2(N[6]C[6]2)(CCHH)	C(BC[6a]2N[6])(CCHP)(H)2	C[6a](BC[6a]N[6]C)(C[6a]C[6a]F)2	B(C[6a]C[6a]2)2(N[6]C[6]2)(CCHH)	C(BC[6a]2N[6])(CCHP)(H)2	C[6a](BC[6a]N[6]C)(C[6a]C[6a]F)2{1|C<3>,2|F<1>}	110.6250	9.369	2	110.6250	9.369	2     110.3225       6.282      4      110.8606     4.369     14
610	490	762	3:3:3:4:	4:4:1:1:	4:3:3:	C[6a]-3:C[6a]-3:N[6]-3:C-4:	B-4:C-4:H-1:H-1:	B-4:C[6a]-3:C[6a]-3:	B(C[6a]C[6a]2)2(N[6]C[6]2)(CCHH)	C(BC[6a]2N[6])(CHHP)(H)2	C[6a](BC[6a]N[6]C)(C[6a]C[6a]F)2	B(C[6a]C[6a]2)2(N[6]C[6]2)(CCHH)	C(BC[6a]2N[6])(CHHP)(H)2	C[6a](BC[6a]N[6]C)(C[6a]C[6a]F)2{1|C<3>,2|F<1>}	110.0200	5.500	2	110.0200	5.500	2     110.3225       6.282      4      110.8606     4.369     14
610	490	762	3:3:3:4:	4:4:1:1:	4:3:3:	N[5]-3:C[6a]-3:C[6a]-3:C-4:	B-4:C-4:H-1:H-1:	B-4:C[6a]-3:C[6a]-3:	B(N[5]C[5,6a]C[5])(C[6a]C[6a]2)2(CCHH)	C(BC[6a]2N[5])(CCHH)(H)2	C[6a](BC[6a]N[5]C)(C[6a]C[6a]F)2	B(N[5]C[5,6a]C[5])(C[6a]C[6a]2)2(CCHH)	C(BC[6a]2N[5])(CCHH)(H)2	C[6a](BC[6a]N[5]C)(C[6a]C[6a]F)2{1|C<3>,2|F<1>}	109.8612	3.051	4	109.8612	3.051	4     109.8612       3.051      4      110.8606     4.369     14
610	490	762	3:3:3:4:	4:4:4:4:	3:3:4:	N[5]-3:N[5]-3:C[6a]-3:C-4:	B-4:C-4:C-4:C-4:	C[6a]-3:C[6a]-3:B-4:	B(N[5]C[5]N[5])2(C[6a]C[6a]2)(CC3)	C(BC[6a]N[5]2)(CH3)3	C[6a](C[6a]C[6a]H)2(BN[5]2C)	B(N[5]C[5]N[5])2(C[6a]C[6a]2)(CC3)	C(BC[6a]N[5]2)(CH3)3	C[6a](C[6a]C[6a]H)2(BN[5]2C){1|B<4>,1|C<3>,1|H<1>}	112.8610	0.249	2	112.8610	0.249	2     112.8610       0.249      2      112.8610     0.249     2
610	490	762	3:3:4:1:	4:3:3:3:	3:3:4:	C[6a]-3:N[6]-3:C-4:Cl-1:	B-4:C[6a]-3:C[6a]-3:C[6a]-3:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)(N[6]C[6]2)(CC[6a]3)(Cl)	C(BC[6a]N[6]Cl)(C[6a]C[6a]2)3	C[6a](C[6a]C[6a]F)2(BN[6]ClC)	B(C[6a]C[6a]2)(N[6]C[6]2)(CC[6a]3)(Cl)	C(BC[6a]N[6]Cl)(C[6a]C[6a]2)3	C[6a](C[6a]C[6a]F)2(BN[6]ClC){1|C<3>,2|F<1>}	121.7710	0.000	1	121.7710	0.000	1     121.7710       0.000      1      121.7710     0.000     1
610	490	762	3:3:4:1:	4:4:1:1:	3:3:4:	C[6a]-3:C[6a]-3:C-4:Cl-1:	B-4:P-4:H-1:H-1:	C[6a]-3:C[6a]-3:B-4:	B(C[6a]C[6a]2)2(CHHP)(Cl)	C(BC[6a]2Cl)(PCCN)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]ClC)	B(C[6a]C[6a]2)2(CHHP)(Cl)	C(BC[6a]2Cl)(PCCN)(H)2	C[6a](C[6a]C[6a]F)2(BC[6a]ClC){1|C<3>,2|F<1>}	113.3305	1.580	2	113.3305	1.580	2     113.3305       1.580      2      112.5462     2.280     9
