930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CCC)(O)2	O(CCO)	O(CCO)	C(CCC)(O)2	O(CCO)	O(CCO)	125.4278	0.987	5	125.4278	0.987	5	125.3251	1.619	455	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CCH)(O)2	O(CCO)	O(CCO)	C(CCH)(O)2	O(CCO)	O(CCO)	123.8698	0.984	202	123.8698	0.984	202	125.3251	1.619	455	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CCN)(O)2	O(CCO)	O(CCO)	C(CCN)(O)2	O(CCO)	O(CCO)	125.8040	0.000	1	125.8040	0.000	1	125.3251	1.619	455	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CCO)(O)2	O(CCO)	O(CCO)	C(CCO)(O)2	O(CCO)	O(CCO)	126.4250	0.000	1	126.4250	0.000	1	125.3251	1.619	455	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CC[5]N)(O)2	O(CCO)	O(CCO)	C(CC[5]N)(O)2	O(CCO)	O(CCO)	128.3200	0.000	1	128.3200	0.000	1	125.3251	1.619	455	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CC[6]O)(O)2	O(CCO)	O(CCO)	C(CC[6]O)(O)2	O(CCO)	O(CCO)	126.8595	0.671	2	126.8595	0.671	2	125.3251	1.619	455	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CC[6a]N)(O)2	O(CCO)	O(CCO)	C(CC[6a]N)(O)2	O(CCO)	O(CCO)	127.7405	0.944	2	127.7405	0.944	2	125.3251	1.619	455	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CNO)(O)2	O(CCO)	O(CCO)	C(CNO)(O)2	O(CCO)	O(CCO)	127.5065	0.555	8	127.5065	0.555	8	125.3251	1.619	455	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(COO)(O)2	O(CCO)	O(CCO)	C(COO)(O)2	O(CCO)	O(CCO)	126.4522	0.923	231	126.4522	0.923	231	125.3251	1.619	455	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C-3:O-1:O-1:	C-3:	C-3:	C(CPP)(O)2	O(CCO)	O(CCO)	C(CPP)(O)2	O(CCO)	O(CCO)	127.7070	0.000	1	127.7070	0.000	1	125.3251	1.619	455	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
930	954	954	0:SP2_SP2_SP2	C	O	O	3:1:1:	3:	3:	C[5,6]-3:O-1:O-1:	C-3:	C-3:	C(C[5,6]C[5,5,6]C[5,6])(O)2	O(CC[5,6]O)	O(CC[5,6]O)	C(C[5,6]C[5,5,6]C[5,6])(O)2	O(CC[5,6]O)	O(CC[5,6]O)	126.4550	0.000	1	126.4550	0.000	1	126.4550	0.000	1	124.8334	1.578	2593	125.0700	1.813	4658	125.0700	1.813	4658
