973	988	988	4:4:	2:2:1:1:	2:2:1:1:	P-4:P-4:	O-2:O-2:O-1:O-1:	O-2:O-2:O-1:O-1:	O(PO3)2	P(OP)2(O)2	P(OP)2(O)2	O(PO3)2	P(OP)2(O)2	P(OP)2(O)2	132.4158	2.745	108	132.4158	2.745	108     132.4157       2.794      117      132.4157     2.794     117
973	988	988	4:4:	2:2:2:1:	2:2:1:1:	P-4:P-4:	O-2:O-2:O-2:O-1:	O-2:O-2:O-1:O-1:	O(PO3)2	P(OMn)(OP)2(O)	P(OP)2(O)2	O(PO3)2	P(OMn)(OP)2(O)	P(OP)2(O)2	132.0580	0.000	1	132.0580	0.000	1     132.8880       0.690      5      132.8880     0.690     5
973	988	988	4:4:	2:2:2:1:	2:2:1:1:	P-4:P-4:	O-2:O-2:O-2:O-1:	O-2:O-2:O-1:O-1:	O(PO3)2	P(ONi)(OP)2(O)	P(OP)2(O)2	O(PO3)2	P(ONi)(OP)2(O)	P(OP)2(O)2	133.0955	0.589	4	133.0955	0.589	4     132.8880       0.690      5      132.8880     0.690     5
973	988	988	4:4:	2:2:2:1:	2:2:2:1:	P-4:P-4:	O-2:O-2:O-2:O-1:	O-2:O-2:O-2:O-1:	O(PO3)2	P(OCa)(OP)2(O)	P(OCa)(OP)2(O)	O(PO3)2	P(OCa)(OP)2(O)	P(OCa)(OP)2(O)	132.6130	1.717	3	132.6130	1.717	3     133.6122       5.120      25      133.6122     5.120     25
973	988	988	4:4:	2:2:2:1:	2:2:2:1:	P-4:P-4:	O-2:O-2:O-2:O-1:	O-2:O-2:O-2:O-1:	O(PO3)2	P(OCo)(OH)(OP)(O)	P(OCo)(OH)(OP)(O)	O(PO3)2	P(OCo)(OH)(OP)(O)	P(OCo)(OH)(OP)(O)	132.8985	0.023	2	132.8985	0.023	2     133.6122       5.120      25      133.6122     5.120     25
973	988	988	4:4:	2:2:2:1:	2:2:2:1:	P-4:P-4:	O-2:O-2:O-2:O-1:	O-2:O-2:O-2:O-1:	O(PO3)2	P(OCo)(OP)2(O)	P(OCo)(OP)2(O)	O(PO3)2	P(OCo)(OP)2(O)	P(OCo)(OP)2(O)	135.8300	2.007	2	135.8300	2.007	2     133.6122       5.120      25      133.6122     5.120     25
973	988	988	4:4:	2:2:2:1:	2:2:2:1:	P-4:P-4:	O-2:O-2:O-2:O-1:	O-2:O-2:O-2:O-1:	O(PO3)2	P(OCo)2(OP)(O)	P(OCo)2(OP)(O)	O(PO3)2	P(OCo)2(OP)(O)	P(OCo)2(OP)(O)	122.7300	0.000	1	122.7300	0.000	1     133.6122       5.120      25      133.6122     5.120     25
973	988	988	4:4:	2:2:2:1:	2:2:2:1:	P-4:P-4:	O-2:O-2:O-2:O-1:	O-2:O-2:O-2:O-1:	O(PO3)2	P(OCu)2(OP)(O)	P(OCu)2(OP)(O)	O(PO3)2	P(OCu)2(OP)(O)	P(OCu)2(OP)(O)	121.3190	0.000	1	121.3190	0.000	1     133.6122       5.120      25      133.6122     5.120     25
973	988	988	4:4:	2:2:2:1:	2:2:2:1:	P-4:P-4:	O-2:O-2:O-2:O-1:	O-2:O-2:O-2:O-1:	O(PO3)2	P(OIr)(OP)2(O)	P(OIr)(OP)2(O)	O(PO3)2	P(OIr)(OP)2(O)	P(OIr)(OP)2(O)	135.7950	2.276	5	135.7950	2.276	5     133.6122       5.120      25      133.6122     5.120     25
973	988	988	4:4:	2:2:2:1:	2:2:2:1:	P-4:P-4:	O-2:O-2:O-2:O-1:	O-2:O-2:O-2:O-1:	O(PO3)2	P(OMn)(OH)(OP)(O)	P(OMn)(OH)(OP)(O)	O(PO3)2	P(OMn)(OH)(OP)(O)	P(OMn)(OH)(OP)(O)	134.6760	0.000	1	134.6760	0.000	1     133.6122       5.120      25      133.6122     5.120     25
973	988	988	4:4:	2:2:2:1:	2:2:2:1:	P-4:P-4:	O-2:O-2:O-2:O-1:	O-2:O-2:O-2:O-1:	O(PO3)2	P(OMn)(OP)2(O)	P(OMn)(OP)2(O)	O(PO3)2	P(OMn)(OP)2(O)	P(OMn)(OP)2(O)	129.1160	0.000	1	129.1160	0.000	1     133.6122       5.120      25      133.6122     5.120     25
973	988	988	4:4:	2:2:2:1:	2:2:2:1:	P-4:P-4:	O-2:O-2:O-2:O-1:	O-2:O-2:O-2:O-1:	O(PO3)2	P(ONi)(OP)2(O)	P(ONi)(OP)2(O)	O(PO3)2	P(ONi)(OP)2(O)	P(ONi)(OP)2(O)	134.1050	0.000	2	134.1050	0.000	2     133.6122       5.120      25      133.6122     5.120     25
973	988	988	4:4:	2:2:2:1:	2:2:2:1:	P-4:P-4:	O-2:O-2:O-2:O-1:	O-2:O-2:O-2:O-1:	O(PO3)2	P(OP)3(O)	P(OP)3(O)	O(PO3)2	P(OP)3(O)	P(OP)3(O)	141.8205	2.720	2	141.8205	2.720	2     133.6122       5.120      25      133.6122     5.120     25
973	988	988	4:4:	2:2:2:1:	2:2:2:1:	P-4:P-4:	O-2:O-2:O-2:O-1:	O-2:O-2:O-2:O-1:	O(PO3)2	P(OPd)2(OP)(O)	P(OPd)2(OP)(O)	O(PO3)2	P(OPd)2(OP)(O)	P(OPd)2(OP)(O)	123.8280	0.000	1	123.8280	0.000	1     133.6122       5.120      25      133.6122     5.120     25
973	988	988	4:4:	2:2:2:1:	2:2:2:1:	P-4:P-4:	O-2:O-2:O-2:O-1:	O-2:O-2:O-2:O-1:	O(PO3)2	P(ORh)(OP)2(O)	P(ORh)(OP)2(O)	O(PO3)2	P(ORh)(OP)2(O)	P(ORh)(OP)2(O)	135.6283	2.256	4	135.6283	2.256	4     133.6122       5.120      25      133.6122     5.120     25
973	988	988	4:4:	2:2:2:2:	2:2:2:2:	P-4:P-4:	O-2:O-2:O-2:O-2:	O-2:O-2:O-2:O-2:	O(PO3)2	P(OCr)2(OB)(OP)	P(OCr)2(OB)(OP)	O(PO3)2	P(OCr)2(OB)(OP)	P(OCr)2(OB)(OP)	125.0350	0.000	1	125.0350	0.000	1     137.6459       14.775      12      137.6459     14.775     12
