965	410	973	2:3:	2:1:1:	3:2:	O-2:O-3:	H-2:H-1:H-1:	C[6]-3:H-2:	H(OC[6])(OHH)	O(HO)(H)2	O(C[6]C[6]N[6])(HO)	H(OC[6])(OHH)	O(HO)(H)2	O(C[6]C[6]N[6])(HO)	173.0560	0.000	1	173.0560	0.000	1     175.3855       3.294      2      175.3855     3.294     2
965	410	973	2:3:	4:2:1:	3:2:	O-2:O-3:	C-4:H-2:H-1:	C[6]-3:H-2:	H(OC[6])(OCH)	O(CH3)(HO)(H)	O(C[6]C[6]2)(HO)	H(OC[6])(OCH)	O(CH3)(HO)(H)	O(C[6]C[6]2)(HO)	170.0300	0.000	1	170.0300	0.000	1     170.0300       0.000      1      172.8830     4.749     5
965	410	973	2:3:	4:2:1:	3:2:	O-2:O-3:	C-4:H-2:H-1:	C[6a]-3:H-2:	H(OC[6a])(OCH)	O(CCCH)(HO)(H)	O(C[6a]C[6a]2)(HO)	H(OC[6a])(OCH)	O(CCCH)(HO)(H)	O(C[6a]C[6a]2)(HO)	170.7270	0.000	1	170.7270	0.000	1     172.5187       5.749      3      172.8830     4.749     5
965	410	973	2:3:	4:2:1:	3:2:	O-2:O-3:	C-4:H-2:H-1:	C[6a]-3:H-2:	H(OC[6a])(OCH)	O(CH3)(HO)(H)	O(C[6a]C[6a]2)(HO)	H(OC[6a])(OCH)	O(CH3)(HO)(H)	O(C[6a]C[6a]2)(HO)	173.4145	7.828	2	173.4145	7.828	2     172.5187       5.749      3      172.8830     4.749     5
965	410	973	2:3:	4:2:1:	3:2:	O-2:O-3:	C-4:H-2:H-1:	N[5a]-3:H-2:	H(ON[5a])(OCH)	O(CH3)(HO)(H)	O(N[5a]C[5a]N[5a])(HO)	H(ON[5a])(OCH)	O(CH3)(HO)(H)	O(N[5a]C[5a]N[5a])(HO)	176.8290	0.000	1	176.8290	0.000	1     176.8290       0.000      1      172.8830     4.749     5
965	410	973	3:2:	2:1:1:	2:1:	O-3:O-2:	H-2:H-1:H-1:	H-2:H-1:	H(OHH)(OH)	O(HO)(H)2	O(HO)(H)	H(OHH)(OH)	O(HO)(H)2	O(HO)(H)	166.3909	10.938	7	166.3909	10.938	7     166.3909       10.938      7      166.3909     10.938     7
965	410	973	3:2:	2:1:1:	3:2:	O-3:O-2:	H-2:H-1:H-1:	C-3:H-2:	H(OHH)(OC)	O(HO)(H)2	O(CCO)(HO)	H(OHH)(OC)	O(HO)(H)2	O(CCO)(HO)	168.6690	6.206	10	168.6690	6.206	10     170.8762       5.366      20      170.8762     5.366     20
965	410	973	3:2:	2:1:1:	3:2:	O-3:O-2:	H-2:H-1:H-1:	C-3:H-2:	H(OHH)(OC)	O(HO)(H)2	O(CC[5,5]O)(HO)	H(OHH)(OC)	O(HO)(H)2	O(CC[5,5]O)(HO)	173.5120	0.000	1	173.5120	0.000	1     170.8762       5.366      20      170.8762     5.366     20
965	410	973	3:2:	2:1:1:	3:2:	O-3:O-2:	H-2:H-1:H-1:	C-3:H-2:	H(OHH)(OC)	O(HO)(H)2	O(CC[6a]O)(HO)	H(OHH)(OC)	O(HO)(H)2	O(CC[6a]O)(HO)	173.0357	3.584	9	173.0357	3.584	9     170.8762       5.366      20      170.8762     5.366     20
965	410	973	3:2:	2:1:1:	4:2:	O-3:O-2:	H-2:H-1:H-1:	C-4:H-2:	H(OHH)(OC)	O(HO)(H)2	O(CH3)(HO)	H(OHH)(OC)	O(HO)(H)2	O(CH3)(HO)	163.3090	0.000	1	163.3090	0.000	1     163.3090       0.000      1      168.9033     5.726     6
965	410	973	3:2:	2:1:1:	4:2:	O-3:O-2:	H-2:H-1:H-1:	P-4:H-2:	H(OHH)(OP)	O(HO)(H)2	O(PCOO)(HO)	H(OHH)(OP)	O(HO)(H)2	O(PCOO)(HO)	173.9570	0.000	1	173.9570	0.000	1     167.5053       5.697      3      168.9033     5.726     6
965	410	973	3:2:	2:1:1:	4:2:	O-3:O-2:	H-2:H-1:H-1:	P-4:H-2:	H(OHH)(OP)	O(HO)(H)2	O(PC[5]CC)(HO)	H(OHH)(OP)	O(HO)(H)2	O(PC[5]CC)(HO)	163.1660	0.000	1	163.1660	0.000	1     167.5053       5.697      3      168.9033     5.726     6
965	410	973	3:2:	2:1:1:	4:2:	O-3:O-2:	H-2:H-1:H-1:	P-4:H-2:	H(OHH)(OP)	O(HO)(H)2	O(PO3)(HO)	H(OHH)(OP)	O(HO)(H)2	O(PO3)(HO)	165.3930	0.000	1	165.3930	0.000	1     167.5053       5.697      3      168.9033     5.726     6
965	410	973	3:2:	2:1:1:	4:2:	O-3:O-2:	H-2:H-1:H-1:	S-4:H-2:	H(OHH)(OS)	O(HO)(H)2	O(SO3)(HO)	H(OHH)(OS)	O(HO)(H)2	O(SO3)(HO)	173.7975	3.736	2	173.7975	3.736	2     173.7975       3.736      2      168.9033     5.726     6
965	410	973	3:2:	2:1:1:	5:2:	O-3:O-2:	H-2:H-1:H-1:	P-5:H-2:	H(OHH)(OP)	O(HO)(H)2	O(PDyCOO)(HO)	H(OHH)(OP)	O(HO)(H)2	O(PDyCOO)(HO)	175.3700	0.000	1	175.3700	0.000	1     175.3700       0.000      1      175.3700     0.000     1
965	410	973	3:2:	2:2:1:	3:2:	O-3:O-2:	H-2:H-2:H-1:	C-3:H-2:	H(OHH)(OC)	O(HO)2(H)	O(CC[6a]O)(HO)	H(OHH)(OC)	O(HO)2(H)	O(CC[6a]O)(HO)	171.1110	0.000	1	171.1110	0.000	1     171.1110       0.000      1      171.1110     0.000     1
965	410	973	3:2:	3:2:1:	2:1:	O-3:O-2:	C-3:H-2:H-1:	H-2:H-1:	H(OCH)(OH)	O(CCO)(HO)(H)	O(HO)(H)	H(OCH)(OH)	O(CCO)(HO)(H)	O(HO)(H)	153.3140	0.000	1	153.3140	0.000	1     153.3140       0.000      1      151.3855     2.727     2
965	410	973	3:2:	3:2:1:	2:1:	O-3:O-2:	C[6a]-3:H-2:H-1:	H-2:H-1:	H(OC[6a]H)(OH)	O(C[6a]C[6a]2)(HO)(H)	O(HO)(H)	H(OC[6a]H)(OH)	O(C[6a]C[6a]2)(HO)(H)	O(HO)(H)	149.4570	0.000	1	149.4570	0.000	1     149.4570       0.000      1      151.3855     2.727     2
965	410	973	3:2:	3:2:1:	3:2:	O-3:O-2:	C-3:H-2:H-1:	C-3:H-2:	H(OCH)(OC)	O(CC[6a]O)(HO)(H)	O(CC[6a]O)(HO)	H(OCH)(OC)	O(CC[6a]O)(HO)(H)	O(CC[6a]O)(HO)	167.9600	0.000	1	167.9600	0.000	1     167.9600       0.000      1      168.8465     1.254     2
965	410	973	3:2:	3:2:1:	3:2:	O-3:O-2:	C[6a]-3:H-2:H-1:	C[6a]-3:H-2:	H(OC[6a]H)(OC[6a])	O(C[6a]C[6a]2)(HO)(H)	O(C[6a]C[6a]2)(HO)	H(OC[6a]H)(OC[6a])	O(C[6a]C[6a]2)(HO)(H)	O(C[6a]C[6a]2)(HO)	169.7330	0.000	1	169.7330	0.000	1     169.7330       0.000      1      168.8465     1.254     2
965	410	973	3:2:	3:2:2:	3:2:	O-3:O-2:	C-3:H-2:H-2:	C-3:H-2:	H(OCH)(OC)	O(CC[6a]O)(HN[5])(HO)	O(CC[6a]O)(HO)	H(OCH)(OC)	O(CC[6a]O)(HN[5])(HO)	O(CC[6a]O)(HO)	164.6950	0.000	1	164.6950	0.000	1     164.6950       0.000      1      170.7413     5.301     7
