82  542  542  5:SPD5_SP2_SP2  Ga[5,5]  N[5,6]  N[5]  3:3:3:3:3:  5:3:3:  5:3:3:  N[5,6]-3:N[5,6]-3:N[5]-3:N[5]-3:O-3:  Ga[5,5]-5:C[5,6]-3:C[6]-3:  Ga[5,5]-5:C[5]-3:C[6a]-3:  495_16_1  643_1124_1  646_7566_1  87.5806  10.239  2  87.5806  104.845  2  87.5806  104.845  2  87.5806  104.845  2  85.1411  59.612  6  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,5]  N[5]  N[5]  3:3:3:3:1:  5:3:3:  5:3:3:  N[5,6]-3:N[5,6]-3:N[5]-3:N[5]-3:Cl-1:  Ga[5,5]-5:C[5]-3:C[6a]-3:  Ga[5,5]-5:C[5]-3:C[6a]-3:  495_15_1  646_7565_1  646_7565_1  126.2190  0.000  1  126.2190  0.000  1  126.2190  0.000  1  126.2190  0.000  1  124.7725  4.185  2  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,5]  N[5]  N[5]  3:3:3:3:3:  5:3:3:  5:3:3:  N[5,6]-3:N[5,6]-3:N[5]-3:N[5]-3:O-3:  Ga[5,5]-5:C[5]-3:C[6a]-3:  Ga[5,5]-5:C[5]-3:C[6a]-3:  495_16_1  646_7566_1  646_7566_1  123.3260  0.000  1  123.3260  0.000  1  123.3260  0.000  1  123.3260  0.000  1  124.7725  4.185  2  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,6,6]  N[5,6]  N[5,6]  3:3:2:2:1:  5:4:3:  5:4:3:  N[5,6]-3:N[5,6]-3:O[6]-2:O[6]-2:Cl-1:  Ga[5,6,6]-5:C[5,6]-4:C[6]-3:  Ga[5,6,6]-5:C[5,6]-4:C[6]-3:  496_1_1  643_1127_1  643_1127_1  79.8854  0.000  1  79.8854  0.000  1  79.8854  0.000  1  79.8854  0.000  1  79.5426  0.750  4  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,6,6]  N[5,6]  N[5,6]  3:3:2:2:2:  5:3:4:  5:3:4:  N[5,6]-3:N[5,6]-3:O[6]-2:O[6]-2:O-2:  Ga[5,6,6]-5:C[6]-3:C[5]-4:  Ga[5,6,6]-5:C[6]-3:C[5]-4:  496_2_1  643_1129_1  643_1129_1  78.6864  0.000  1  78.6864  0.000  1  78.6864  0.000  1  78.8447  0.050  2  79.5426  0.750  4  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,6,6]  N[5,6]  N[5,6]  3:3:2:2:2:  5:3:4:  5:3:4:  N[5,6]-3:N[5,6]-3:O[6]-2:O[6]-2:P-2:  Ga[5,6,6]-5:C[6]-3:C[5]-4:  Ga[5,6,6]-5:C[6]-3:C[5]-4:  496_3_1  643_1130_1  643_1130_1  79.0030  0.000  1  79.0030  0.000  1  79.0030  0.000  1  78.8447  0.050  2  79.5426  0.750  4  90.5043  818.422  32  
82  542  542  5:SPD5_SP2_SP2  Ga[5,6,6]  N[5,6]  N[5,6]  3:3:2:2:4:  5:4:3:  5:4:3:  N[5,6]-3:N[5,6]-3:O[6]-2:O[6]-2:C-4:  Ga[5,6,6]-5:C[5]-4:C[6]-3:  Ga[5,6,6]-5:C[5]-4:C[6]-3:  496_4_1  643_1126_1  643_1126_1  80.5954  0.000  1  80.5954  0.000  1  80.5954  0.000  1  80.5954  0.000  1  79.5426  0.750  4  90.5043  818.422  32  
82  542  622  0:SPD5_SP2_SP2  Ga[5,6,6]  N[5,6]  O[6]  3:3:2:2:1:  5:4:3:  5:3:  N[5,6]-3:N[5,6]-3:O[6]-2:O[6]-2:Cl-1:  Ga[5,6,6]-5:C[5,6]-4:C[6]-3:  Ga[5,6,6]-5:C[6,6a]-3:  496_1_1  643_1127_1  692_2085_1  150.7690  18.489  2  150.7690  341.859  2  150.7690  341.859  2  150.7690  341.859  2  146.0780  227.967  8  146.0780  227.967  8  
82  542  622  0:SPD5_SP2_SP2  Ga[5,6,6]  N[5,6]  O[6]  3:3:2:2:2:  5:3:4:  5:3:  N[5,6]-3:N[5,6]-3:O[6]-2:O[6]-2:O-2:  Ga[5,6,6]-5:C[6]-3:C[5]-4:  Ga[5,6,6]-5:C[6,6a]-3:  496_2_1  643_1129_1  692_2086_1  145.6320  29.498  2  145.6320  870.112  2  145.6320  870.112  2  145.2968  395.448  4  146.0780  227.967  8  146.0780  227.967  8  
82  542  622  0:SPD5_SP2_SP2  Ga[5,6,6]  N[5,6]  O[6]  3:3:2:2:2:  5:3:4:  5:3:  N[5,6]-3:N[5,6]-3:O[6]-2:O[6]-2:P-2:  Ga[5,6,6]-5:C[6]-3:C[5]-4:  Ga[5,6,6]-5:C[6,6a]-3:  496_3_1  643_1130_1  692_2087_1  144.9615  17.770  2  144.9615  315.784  2  144.9615  315.784  2  145.2968  395.448  4  146.0780  227.967  8  146.0780  227.967  8  
82  542  622  0:SPD5_SP2_SP2  Ga[5,6,6]  N[5,6]  O[6]  3:3:2:2:4:  5:4:3:  5:3:  N[5,6]-3:N[5,6]-3:O[6]-2:O[6]-2:C-4:  Ga[5,6,6]-5:C[5]-4:C[6]-3:  Ga[5,6,6]-5:C[6]-3:  496_4_1  643_1126_1  692_2084_1  142.9495  1.240  2  142.9495  1.537  2  142.9495  1.537  2  142.9495  1.537  2  146.0780  227.967  8  146.0780  227.967  8  
82  542  622  6:SPD5_SP2_SP2  Ga[5,6,6]  N[5,6]  O[6]  3:3:2:2:1:  5:4:3:  5:3:  N[5,6]-3:N[5,6]-3:O[6]-2:O[6]-2:Cl-1:  Ga[5,6,6]-5:C[5,6]-4:C[6]-3:  Ga[5,6,6]-5:C[6,6a]-3:  496_1_1  643_1127_1  692_2085_1  90.3367  0.249  2  90.3367  0.062  2  90.3367  0.062  2  90.3367  0.062  2  88.8993  1.776  8  88.8993  1.776  8  
82  542  622  6:SPD5_SP2_SP2  Ga[5,6,6]  N[5,6]  O[6]  3:3:2:2:2:  5:3:4:  5:3:  N[5,6]-3:N[5,6]-3:O[6]-2:O[6]-2:O-2:  Ga[5,6,6]-5:C[6]-3:C[5]-4:  Ga[5,6,6]-5:C[6,6a]-3:  496_2_1  643_1129_1  692_2086_1  89.7094  0.268  2  89.7094  0.072  2  89.7094  0.072  2  88.9069  1.325  4  88.8993  1.776  8  88.8993  1.776  8  
82  542  622  6:SPD5_SP2_SP2  Ga[5,6,6]  N[5,6]  O[6]  3:3:2:2:2:  5:3:4:  5:3:  N[5,6]-3:N[5,6]-3:O[6]-2:O[6]-2:P-2:  Ga[5,6,6]-5:C[6]-3:C[5]-4:  Ga[5,6,6]-5:C[6,6a]-3:  496_3_1  643_1130_1  692_2087_1  88.1046  1.152  2  88.1046  1.327  2  88.1046  1.327  2  88.9069  1.325  4  88.8993  1.776  8  88.8993  1.776  8  
82  542  622  6:SPD5_SP2_SP2  Ga[5,6,6]  N[5,6]  O[6]  3:3:2:2:4:  5:4:3:  5:3:  N[5,6]-3:N[5,6]-3:O[6]-2:O[6]-2:C-4:  Ga[5,6,6]-5:C[5]-4:C[6]-3:  Ga[5,6,6]-5:C[6]-3:  496_4_1  643_1126_1  692_2084_1  87.4467  0.216  2  87.4467  0.047  2  87.4467  0.047  2  87.4467  0.047  2  88.8993  1.776  8  88.8993  1.776  8  
82  542  790  0:SPD5_SP-NON_SP2  Ga[3x5]  N[5,5]  Cl  3:3:2:2:1:  5:3:2:  5:  N[5,5]-3:N[5,5]-3:S[5]-2:S[5]-2:Cl-1:  Ga[3x5]-5:C[5]-3:N[5]-2:  Ga[3x5]-5:  479_3_1  636_456_1  458_619_0  100.3798  1.515  2  100.3798  2.295  2  100.3798  2.295  2  100.3798  2.295  2  100.3798  2.295  2  105.8825  212.647  39  
82  542  790  0:SPD5_SP-NON_SP2  Ga[5,5]  N[5,5,6]  Cl  3:3:3:1:1:  5:3:3:  5:  N[5,5]-3:N[5,5]-3:N[5,5,6]-3:Cl-1:Cl-1:  Ga[5,5]-5:C[5,6]-3:C[5,6]-3:  Ga[5,5]-5:  495_2_1  635_42_1  458_638_0  123.0113  13.045  4  122.4278  106.746  6  122.4278  106.746  6  122.5559  78.442  8  122.5559  78.442  8  105.8825  212.647  39  
82  542  790  0:SPD5_SP-NON_SP2  Ga[5,5]  N[5,5,6]  Cl  3:3:3:1:1:  5:3:3:  5:  N[5,5]-3:N[5,5]-3:N[5,5,6]-3:Cl-1:Cl-1:  Ga[5,5]-5:C[5,6]-3:C[5,6]-3:  Ga[5,5]-5:  495_2_2  635_42_2  458_638_0  121.2610  4.377  2  122.4278  106.746  6  122.4278  106.746  6  122.5559  78.442  8  122.5559  78.442  8  105.8825  212.647  39  
82  542  790  0:SPD5_SP-NON_SP2  Ga[5,5]  N[5,5,6]  Cl  3:3:3:1:1:  5:3:3:  5:  N[5,6]-3:N[5,6]-3:N[5,5,6]-3:Cl-1:Cl-1:  Ga[5,5]-5:C[5,6]-3:C[5,6]-3:  Ga[5,5]-5:  495_9_1  635_44_1  458_639_0  122.9400  3.869  2  122.9400  14.971  2  122.9400  14.971  2  122.5559  78.442  8  122.5559  78.442  8  105.8825  212.647  39  
82  542  790  0:SPD5_SP-NON_SP2  Ga[5,5]  N[5,5]  Cl  3:3:2:1:1:  5:3:2:  5:  N[5,6]-3:N[5,5]-3:S[5]-2:Cl-1:Cl-1:  Ga[5,5]-5:C[5]-3:N[5]-2:  Ga[5,5]-5:  495_7_2  636_467_1  458_641_0  123.7105  0.738  2  123.7105  0.544  2  125.3550  508.559  4  125.3550  508.559  4  104.4178  259.017  16  105.8825  212.647  39  
82  542  790  0:SPD5_SP-NON_SP2  Ga[5,5]  N[5,5]  Cl  3:3:2:1:1:  5:3:2:  5:  N[5,6]-3:N[5,5]-3:S[5]-2:Cl-1:Cl-1:  Ga[5,5]-5:C[5]-3:N[5]-2:  Ga[5,5]-5:  495_7_1  636_468_1  458_641_0  126.9995  38.914  2  126.9995  1514.316  2  125.3550  508.559  4  125.3550  508.559  4  104.4178  259.017  16  105.8825  212.647  39  
82  542  790  0:SPD5_SP-NON_SP2  Ga[5,5]  N[5,5]  Cl  3:3:3:1:1:  5:3:3:  5:  N[5,5]-3:N[5,5]-3:N[5,5,6]-3:Cl-1:Cl-1:  Ga[5,5]-5:C[5,6a]-3:C[5,5]-3:  Ga[5,5]-5:  495_2_1  636_465_1  458_638_0  97.5609  1.578  8  97.5609  2.490  8  97.4387  1.964  12  97.4387  1.964  12  104.4178  259.017  16  105.8825  212.647  39  
82  542  790  0:SPD5_SP-NON_SP2  Ga[5,5]  N[5,5]  Cl  3:3:3:1:1:  5:3:3:  5:  N[5,5]-3:N[5,5]-3:N[5,5,6]-3:Cl-1:Cl-1:  Ga[5,5]-5:C[5,6a]-3:C[5,5]-3:  Ga[5,5]-5:  495_2_2  636_466_1  458_638_0  97.1943  1.129  4  97.1943  1.274  4  97.4387  1.964  12  97.4387  1.964  12  104.4178  259.017  16  105.8825  212.647  39  
82  542  790  0:SPD5_SP-NON_SP2  Ga[5,5]  N[5,6]  Cl  3:3:2:1:1:  5:3:3:  5:  N[5,6]-3:N[5,5]-3:S[5]-2:Cl-1:Cl-1:  Ga[5,5]-5:C[5,6]-3:C[6]-3:  Ga[5,5]-5:  495_7_2  643_1121_1  458_641_0  92.8023  1.303  2  94.6391  9.848  4  94.6391  9.848  4  94.6391  9.848  4  95.5486  4.660  10  105.8825  212.647  39  
