210	210	818	3:2:	3:2:	2:2:2:	C[5a]-3:N-2:	C[5a]-3:N-2:	N[5a]-2:N[5a]-2:N-2:	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]N[5a])2(NN)	N(C[5a]N[5a]2)(NC[5a])	N(C[5a]N[5a]2)(NC[5a])	C[5a](N[5a]N[5a])2(NN){1|Ni<6>}	112.8990	0.000	1	112.8990	0.000	1     111.8847       0.782      6      111.9441     1.320     58
210	210	818	3:2:	3:2:	2:2:2:	C[5a]-3:N-2:	C[6a]-3:N-2:	N[5a]-2:N[5a]-2:N-2:	N(C[5a]N[5a]2)(NC[6a])	N(C[6a]C[6a]2)(NC[5a])	C[5a](N[5a]N[5a])2(NN)	N(C[5a]N[5a]2)(NC[6a])	N(C[6a]C[6a]2)(NC[5a])	C[5a](N[5a]N[5a])2(NN){1|H<1>}	112.4015	1.049	4	112.4015	1.049	4     112.4015       1.049      4      111.9441     1.320     58
210	210	818	3:2:	3:2:	3:2:2:	C[5]-3:N-2:	C-3:N-2:	C[5,6a]-3:S[5]-2:N-2:	N(C[5]C[5,6a]S[5])(NC)	N(CC[5]H)(NC[5])	C[5](C[5,6a]C[5,6a]C[6a])(S[5]C[5,6])(NN)	N(C[5]C[5,6a]S[5])(NC)	N(CC[5]H)(NC[5])	C[5](C[5,6a]C[5,6a]C[6a])(S[5]C[5,6])(NN){1|H<1>,4|C<3>}	116.3480	0.000	1	116.3480	0.000	1     116.3480       0.000      1      111.7639     2.345     48
210	210	818	3:2:	3:2:	3:2:2:	C[5]-3:N-2:	C-3:N-2:	N[5]-3:S[5]-2:N-2:	N(C[5]N[5]S[5])(NC)	N(CC[6a]H)(NC[5])	C[5](N[5]C[5]C)(S[5]C[5])(NN)	N(C[5]N[5]S[5])(NC)	N(CC[6a]H)(NC[5])	C[5](N[5]C[5]C)(S[5]C[5])(NN){1|C<3>,1|C<4>}	110.8170	0.000	1	110.8170	0.000	1     110.6899       0.526      6      111.7639     2.345     48
210	210	818	3:2:	3:2:	3:2:2:	C[5]-3:N-2:	C-3:N-2:	N[5]-3:S[5]-2:N-2:	N(C[5]N[5]S[5])(NC)	N(CC[6a]H)(NC[5])	C[5](N[5]C[5]H)(S[5]C[5])(NN)	N(C[5]N[5]S[5])(NC)	N(CC[6a]H)(NC[5])	C[5](N[5]C[5]H)(S[5]C[5])(NN){1|C<3>,3|H<1>}	110.2140	0.000	1	110.6873	0.672	4     110.6899       0.526      6      111.7639     2.345     48
210	210	818	3:2:	3:2:	3:2:2:	C[5]-3:N-2:	C-3:N-2:	N[5]-3:S[5]-2:N-2:	N(C[5]N[5]S[5])(NC)	N(CC[6a]H)(NC[5])	C[5](N[5]C[5]H)(S[5]C[5])(NN)	N(C[5]N[5]S[5])(NC)	N(CC[6a]H)(NC[5])	C[5](N[5]C[5]H)(S[5]C[5])(NN){1|C<4>,1|H<1>}	110.5510	0.733	2	110.6873	0.672	4     110.6899       0.526      6      111.7639     2.345     48
210	210	818	3:2:	3:2:	3:2:2:	C[5]-3:N-2:	C-3:N-2:	N[5]-3:S[5]-2:N-2:	N(C[5]N[5]S[5])(NC)	N(CC[6a]H)(NC[5])	C[5](N[5]C[5]H)(S[5]C[5])(NN)	N(C[5]N[5]S[5])(NC)	N(CC[6a]H)(NC[5])	C[5](N[5]C[5]H)(S[5]C[5])(NN){1|C<4>,3|H<1>}	111.4330	0.000	1	110.6873	0.672	4     110.6899       0.526      6      111.7639     2.345     48
210	210	818	3:2:	3:2:	3:2:2:	C[5]-3:N-2:	C-3:N-2:	N[5]-3:S[5]-2:N-2:	N(C[5]N[5]S[5])(NC)	N(CC[6a]H)(NC[5])	C[5](N[5]C[6a]C[5])(S[5]C[5])(NN)	N(C[5]N[5]S[5])(NC)	N(CC[6a]H)(NC[5])	C[5](N[5]C[6a]C[5])(S[5]C[5])(NN){1|C<4>,3|C<3>}	110.5730	0.000	1	110.5730	0.000	1     110.6899       0.526      6      111.7639     2.345     48
210	210	818	3:2:	3:2:	3:2:2:	C[5]-3:N-2:	C[5]-3:N-2:	C[5]-3:S[5]-2:N-2:	N(C[5]C[5]S[5])(NC[5])	N(C[5]C[5]S[5])(NC[5])	C[5](C[5]N[5]Cl)(S[5]S[5])(NN)	N(C[5]C[5]S[5])(NC[5])	N(C[5]C[5]S[5])(NC[5])	C[5](C[5]N[5]Cl)(S[5]S[5])(NN){}	111.8730	0.764	3	111.8730	0.764	3     111.8730       0.764      3      111.7639     2.345     48
210	210	818	3:2:	3:2:	3:2:2:	C[5]-3:N-2:	C[5]-3:N-2:	N[5]-3:N[5]-2:N-2:	N(C[5]N[5]2)(NC[5])	N(C[5]N[5]2)(NC[5])	C[5](N[5]C[5]Cd)(N[5]N[5])(NN)	N(C[5]N[5]2)(NC[5])	N(C[5]N[5]2)(NC[5])	C[5](N[5]C[5]Cd)(N[5]N[5])(NN){1|Cd<5>,1|H<1>}	113.3790	0.000	1	112.9410	0.619	2     113.4340       0.960      3      111.7639     2.345     48
