466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:S[6]-0_0:S[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_1:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(S[6]C[6])2(H)    C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(C[6]S[6]2H)     C[6](C[6a]C[6a]2)(S[6]C[6])2(H){1|C<4>,3|C<3>,5|H<1>}    C[6a](C[6a]C[6a]C)(C[6a]C[6a]H)(C[6]S[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.5118    0.0000    1     1.5118     0.0000    1
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:S[6]-0_0:S[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_1:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(S[6]C[6])2(H)    C[6a](C[6a]C[6a]H)(C[6a]C[6a]N)(C[6]S[6]2H)     C[6](C[6a]C[6a]2)(S[6]C[6])2(H){1|C<4>,1|N<2>,2|C<3>,5|H<1>}    C[6a](C[6a]C[6a]H)(C[6a]C[6a]N)(C[6]S[6]2H){1|C<3>,2|C<4>,2|H<1>}   1.5104    0.0000    1     1.5104     0.0000    1
466    643     SP2_SP3    N    3:2:2:1:    3:3:4:    C[6a]-1_1_0:H-0:S[6]-0_0:S[6]-1_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(S[6]C[6,6a])(S[6]C[6])(H)    C[6a](C[6a]C[6a]H)(C[6a]C[6a]O)(C[6]S[6]2H)     C[6](C[6a]C[6a]2)(S[6]C[6,6a])(S[6]C[6])(H){1|O<2>,3|H<1>,4|C<3>}    C[6a](C[6a]C[6a]H)(C[6a]C[6a]O)(C[6]S[6]2H){1|Br<1>,1|C<4>,1|H<1>,2|C<3>}   1.5139    0.0000    1     1.5139     0.0000    1
466    643     SP2_SP3    N    3:2:2:1:    4:3:2:    C[6a]-1_1_0:H-0:O[6]-0_0:S[6]-0_0     C[6a]-1_1_0:C[6]-1_0_0_0:N[6a]-1_1     C[6](C[6a]C[6a]N[6a])(O[6]C[6])(S[6]C[6])(H)    C[6a](C[6]O[6]S[6]H)(C[6a]C[6a]H)(N[6a]C[6a])     C[6](C[6a]C[6a]N[6a])(O[6]C[6])(S[6]C[6])(H){1|C<4>,2|C<3>,5|H<1>}    C[6a](C[6]O[6]S[6]H)(C[6a]C[6a]H)(N[6a]C[6a]){1|C<3>,2|C<4>,2|H<1>}   1.5029    0.0000    1     1.5029     0.0000    1
466    643     SP2_SP3    N    3:2:2:1:    4:3:3:    C[6a]-1_1_0:H-0:H[6]-0_0:N[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_1_0_0     C[6](C[6a]C[6a]2)(H[6]N[6])(N[6]C[6])(H)    C[6a](C[6]H[6]N[6]H)(C[6a]C[6a]H)(C[6a]C[6a]O)     C[6](C[6a]C[6a]2)(H[6]N[6])(N[6]C[6])(H){1|C<4>,1|O<3>,2|C<3>,3|H<1>}    C[6a](C[6]H[6]N[6]H)(C[6a]C[6a]H)(C[6a]C[6a]O){1|C<4>,1|H<1>,2|C<3>}   1.4414    0.0000    1     1.4414     0.0000    1
466    643     SP2_SP3    N    3:2:2:1:    4:3:3:    C[6a]-1_1_0:H-0:Se[6]-0_0:Se[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(Se[6]C[6])2(H)    C[6a](C[6]Se[6]2H)(C[6a]C[6a]H)2     C[6](C[6a]C[6a]2)(Se[6]C[6])2(H){2|C<3>,3|C<4>,4|H<1>}    C[6a](C[6]Se[6]2H)(C[6a]C[6a]H)2{1|C<3>,2|C<4>,2|H<1>}   1.5026    0.0000    1     1.5026     0.0000    1
466    643     SP2_SP3    N    3:2:2:2:    3:3:4:    C[6a]-1_1_0:O-0_0:S[6]-1_0:S[6]-1_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(S[6]C[5a,6])(S[6]C[6])(OC)    C[6a](C[6a]C[6a]H)2(C[6]S[6]2O)     C[6](C[6a]C[6a]2)(S[6]C[5a,6])(S[6]C[6])(OC){1|S<1>,2|H<1>,4|C<3>}    C[6a](C[6a]C[6a]H)2(C[6]S[6]2O){2|H<1>,3|C<3>}   1.5149    0.0018    2     1.5149     0.0018    2
466    643     SP2_SP3    N    3:2:2:2:    3:3:4:    C[6a]-1_1_0:O-0_0:S[6]-1_0:S[6]-1_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(S[6]C[6])2(OC)    C[6a](C[6a]C[6a]H)2(C[6]S[6]2O)     C[6](C[6a]C[6a]2)(S[6]C[6])2(OC){2|H<1>,2|S<2>,3|C<3>}    C[6a](C[6a]C[6a]H)2(C[6]S[6]2O){2|H<1>,3|C<3>}   1.5156    0.0000    1     1.5156     0.0000    1
466    643     SP2_SP3    N    3:2:2:4:    3:3:4:    C-0_0_0_0:C[6a]-1_1_0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(CH3)    C[6a](C[6a]C[6a]H)2(C[6]O[6]2C)     C[6](C[6a]C[6a]2)(O[6]C[6])2(CH3){1|C<4>,2|C<3>,6|H<1>}    C[6a](C[6a]C[6a]H)2(C[6]O[6]2C){1|C<3>,2|C<4>,2|H<1>}   1.5295    0.0069    2     1.5295     0.0069    2
466    643     SP2_SP3    N    3:2:2:4:    3:3:4:    C-0_0_0_0:C[6a]-1_1_0:O[6]-0_0:O[6]-0_0     C[6a]-1_1_0:C[6a]-1_1_0:C[6]-1_0_0_0     C[6](C[6a]C[6a]2)(O[6]C[6])2(CHHO)    C[6a](C[6a]C[6a]H)2(C[6]O[6]2C)     C[6](C[6a]C[6a]2)(O[6]C[6])2(CHHO){1|C<4>,2|C<3>,6|H<1>}    C[6a](C[6a]C[6a]H)2(C[6]O[6]2C){1|C<3>,2|C<4>,2|H<1>}   1.5277    0.0032    6     1.5272     0.0048    10
