727  941  SP2_SP2  N  2:2:2:  3:1:  N-2_1:N[5a]-2_2:N[5a]-2_2  C[5a]-2_2_2:N-2  425_9329_3  599_5405_0  1.3983  0.0000  1  1.3983  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:N[5a]-2_2  C[5a]-2_2_2:N-2_1  425_9329_4  599_5418_0  1.4080  0.0000  1  1.4067  0.0019  2  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:N[5a]-2_2  C[5a]-2_2_2:N-2_1  425_9329_5  599_5418_0  1.4053  0.0000  1  1.4067  0.0019  2  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:N[5a]-2_2  C[5a]-2_2_2:N-2_2  425_9329_2  599_5408_0  1.4471  0.0000  1  1.4471  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:N[5a]-2_2  C[5a]-2_2_2:N-2_2  425_9329_1  599_5414_0  1.4034  0.0000  1  1.4034  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:N[5a]-2_2  C[5a]-2_2_2:N-2_2  425_9347_1  599_5408_0  1.4141  0.0010  2  1.4141  0.0010  2  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:N[5a]-2_2  C[5a]-2_2_2:N-2_2  425_10636_1  599_5419_0  1.3929  0.0000  1  1.3929  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:N[5a]-3_2  C[5a]-2_2_2:N-2_2  425_9329_6  599_5408_0  1.4225  0.0000  1  1.4225  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:O[5a]-2_2  C[5a]-2_2_2:N-2_2  425_9393_1  599_5439_0  1.4061  0.0000  1  1.4061  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:N-2_2  425_8983_1  599_5503_0  1.3895  0.0044  2  1.3895  0.0044  2  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:N-2_2  425_9432_4  599_5498_0  1.2867  0.0035  2  1.2867  0.0035  2  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:N-2_2  425_9432_1  599_5503_0  1.3972  0.0034  3  1.3944  0.0062  5  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:N-2_2  425_9432_2  599_5503_0  1.3902  0.0083  2  1.3944  0.0062  5  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:N-2_2  425_9432_1  599_5506_0  1.3927  0.0000  1  1.3914  0.0116  4  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:N-2_2  425_9432_3  599_5506_0  1.4060  0.0000  1  1.3914  0.0116  4  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:N-2_2  425_9432_2  599_5506_0  1.3834  0.0076  2  1.3914  0.0116  4  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:N-2_2  425_9449_1  599_5503_0  1.3998  0.0135  2  1.3998  0.0135  2  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:N-2_2  425_10602_3  599_5498_0  1.3466  0.0000  1  1.3466  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:N-2_2  425_10602_1  599_5503_0  1.3970  0.0000  1  1.3902  0.0045  4  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:N-2_2  425_10602_2  599_5503_0  1.3877  0.0000  1  1.3902  0.0045  4  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:N-2_2  425_10602_4  599_5503_0  1.3881  0.0003  2  1.3902  0.0045  4  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:N-2_2  425_10602_1  599_5510_0  1.3992  0.0000  1  1.3992  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[5a]-2_2:S[5a]-2_2  C[5a]-2_2_2:N-3_2  425_9432_1  599_5504_0  1.3677  0.0000  1  1.3677  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:N[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_9324_1  599_5372_0  1.3909  0.0000  1  1.3909  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:N[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_9324_3  599_5375_0  1.3964  0.0000  1  1.3924  0.0057  2  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:N[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_9324_1  599_5375_0  1.3884  0.0000  1  1.3924  0.0057  2  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:N[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_9324_2  599_5391_0  1.3880  0.0000  1  1.3880  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:N[5a]-2_2  C[5a]-2_2_2:C[5a]-2_2_2  425_9326_1  599_5089_0  1.3893  0.0000  1  1.3893  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:N[5a]-2_2  C[5a]-2_2_2:N-2_2_2  425_8885_1  599_5420_0  1.3802  0.0000  1  1.3802  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:N[5a]-2_2  C[5a]-2_2_2:N-2_2_2  425_10636_1  599_5411_0  1.3942  0.0000  1  1.3942  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:N[5a]-2_2  C[5a]-2_2_2:N-2_2_2  425_10636_1  599_5420_0  1.3843  0.0044  5  1.3843  0.0044  5  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:O[5a]-2_2  C-2_2_2:C[5a]-2_2_2  425_9389_1  599_5432_0  1.3286  0.0000  1  1.3286  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:O[5a]-2_2  C[5a]-2_2_2:C[6a]-2_2_2  425_10571_1  599_5435_0  1.3397  0.0000  1  1.3397  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:O[5a]-2_2  C[5a]-2_2_2:N-2_2_2  425_9393_1  599_5440_0  1.3446  0.0027  3  1.3469  0.0051  4  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:O[5a]-2_2  C[5a]-2_2_2:N-2_2_2  425_9393_2  599_5440_0  1.3537  0.0000  1  1.3469  0.0051  4  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:O[5a]-2_2  C[5a]-2_2_2:N-2_2_2  425_10574_1  599_5440_0  1.3579  0.0000  1  1.3579  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_8970_1  599_5448_0  1.3879  0.0000  1  1.3879  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_8970_1  599_5455_0  1.3890  0.0089  13  1.3890  0.0089  13  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_9415_1  599_5448_0  1.3963  0.0001  2  1.3963  0.0001  2  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_9415_4  599_5455_0  1.3884  0.0095  3  1.3955  0.0066  17  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_9415_5  599_5455_0  1.3927  0.0046  2  1.3955  0.0066  17  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_9415_1  599_5455_0  1.3983  0.0043  6  1.3955  0.0066  17  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_9415_8  599_5455_0  1.3869  0.0000  1  1.3955  0.0066  17  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_9415_7  599_5455_0  1.4007  0.0026  3  1.3955  0.0066  17  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_9415_2  599_5455_0  1.3974  0.0001  2  1.3955  0.0066  17  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_9415_3  599_5472_0  1.3784  0.0000  1  1.3784  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_9415_1  599_5478_0  1.3343  0.0000  1  1.3343  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_10593_1  599_5448_0  1.3788  0.0000  1  1.3788  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_10593_1  599_5455_0  1.3808  0.0073  5  1.3817  0.0062  7  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_10593_2  599_5455_0  1.3839  0.0013  2  1.3817  0.0062  7  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_0:C[5a]-2_2_2  425_10593_3  599_5472_0  1.3639  0.0000  1  1.3639  0.0000  1  
727  941  SP2_SP2  N  2:2:2:  3:3:  N-2_2:N[5a]-2_2:S[5a]-2_2  C-2_2_2:C[5a]-2_2_2  425_8970_1  599_5462_0  1.3634  0.0000  1  1.3634  0.0000  1  
