490    917     SP3_SP3    N    4:4:4:1:    4:3:4:4:    C-3_0_0_0:C-3_0_0_0:H-3:P[4]-3_3_3_3     C-3_3_3_0:C-3_3_3_0:C[4,4]-3_2_2_2:N[4]-3_3_2     C(P[4]C[4,4]N[4]C)(CH3)2(H)    P[4](C[4,4]Ge[4,4]2C[6a])(N[4]Ge[4,4]Si)(CCCH)2     C(P[4]C[4,4]N[4]C)(CH3)2(H)    P[4](C[4,4]Ge[4,4]2C[6a])(N[4]Ge[4,4]Si)(CCCH)2{1|C<3>,1|C<4>,1|N<2>,1|N<3>}   1.8332    0.0089    4     1.8332     0.0089    4
490    917     SP3_SP3    N    4:4:4:1:    4:3:4:4:    C-3_0_0_0:C-3_0_0_0:H-3:P[4]-3_3_3_3     C-3_3_3_0:C-3_3_3_0:C[4,6,6]-3_2_2_2:N[4]-3_3_2     C(P[4]C[4,6,6]N[4]C)(CH3)2(H)    P[4](C[4,6,6]Ge[4,6,6]Ge[3x6]C[6a])(N[4]Ge[4,6,6]Si)(CCCH)2     C(P[4]C[4,6,6]N[4]C)(CH3)2(H)    P[4](C[4,6,6]Ge[4,6,6]Ge[3x6]C[6a])(N[4]Ge[4,6,6]Si)(CCCH)2{1|C<3>,1|C<4>,1|N<2>,2|N<3>}   1.8280    0.0042    2     1.8280     0.0042    2
490    917     SP3_SP3    N    4:4:4:1:    4:4:4:4:    C-3_0_0_0:C-3_0_0_0:H-3:P[4,4]-3_3_3_3     B[3x4]-3_3_3_3:B[3x4]-3_3_3_3:C-3_3_3_0:C-3_3_3_0     C(P[4,4]B[3x4]2C)(CH3)2(H)    P[4,4](B[3x4]Se[4,4]P[4,4]C)2(CCCH)2     C(P[4,4]B[3x4]2C)(CH3)2(H)    P[4,4](B[3x4]Se[4,4]P[4,4]C)2(CCCH)2{2|C<4>}   1.8696    0.0086    4     1.8696     0.0086    4
490    917     SP3_SP3    N    4:4:4:1:    4:4:4:4:    C-3_0_0_0:C-3_0_0_0:H-3:P[4]-3_3_3_3     B[4]-3_3_3_0:B[4]-3_3_3_0:C-3_3_3_0:C-3_3_3_0     C(P[4]B[4]2C)(CH3)2(H)    P[4](B[4]P[4]BrC)2(CCCH)2     C(P[4]B[4]2C)(CH3)2(H)    P[4](B[4]P[4]BrC)2(CCCH)2{2|C<4>}   1.8699    0.0010    2     1.8699     0.0010    2
490    917     SP3_SP3    N    4:4:4:1:    4:4:4:4:    C-3_0_0_0:C-3_0_0_0:H-3:P[4]-3_3_3_3     B[4]-3_3_3_0:B[4]-3_3_3_0:C-3_3_3_0:C-3_3_3_0     C(P[4]B[4]2C)(CH3)2(H)    P[4](B[4]P[4]ClC)2(CCCH)2     C(P[4]B[4]2C)(CH3)2(H)    P[4](B[4]P[4]ClC)2(CCCH)2{2|C<4>}   1.8645    0.0057    4     1.8645     0.0057    4
490    917     SP3_SP3    N    4:4:4:1:    4:4:4:4:    C-3_0_0_0:C-3_0_0_0:H-3:P[4]-3_3_3_3     B[4]-3_3_3_0:B[4]-3_3_3_0:C-3_3_3_0:C-3_3_3_0     C(P[4]B[4]2C)(CH3)2(H)    P[4](B[4]P[4]SnC)(B[4]P[4]CH)(CCCH)2     C(P[4]B[4]2C)(CH3)2(H)    P[4](B[4]P[4]SnC)(B[4]P[4]CH)(CCCH)2{2|C<4>}   1.8702    0.0088    4     1.8702     0.0088    4
490    917     SP3_SP3    N    4:4:4:1:    4:4:4:4:    C-3_0_0_0:C-3_0_0_0:H-3:P[4]-3_3_3_3     B[4]-3_3_3_0:B[4]-3_3_3_3:C-3_3_3_0:C-3_3_3_0     C(P[4]B[4]2C)(CH3)2(H)    P[4](B[4]P[4]CH)(B[4]P[4]CO)(CCCH)2     C(P[4]B[4]2C)(CH3)2(H)    P[4](B[4]P[4]CH)(B[4]P[4]CO)(CCCH)2{2|C<4>}   1.8626    0.0038    4     1.8626     0.0038    4
490    917     SP3_SP3    N    4:4:4:4:    2:2:4:1:    C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:P[4]-3_3_3_0     C-3_3_3_3:S-3:S[4]-3_3:S[4]-3_3     C(P[4]S[4]2S)(CH3)3    P[4](S[4]P[4])2(CC3)(S)     C(P[4]S[4]2S)(CH3)3    P[4](S[4]P[4])2(CC3)(S){1|C<4>,1|S<1>}   1.8562    0.0000    1     1.8562     0.0000    1
490    917     SP3_SP3    N    4:4:4:4:    3:3:4:1:    C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:P[4]-3_3_3_0     C-3_3_3_3:H-3:P[4]-3_3_3:P[4]-3_3_3     C(P[4]P[4]2H)(CH3)3    P[4](P[4]P[4]C)2(CC3)(H)     C(P[4]P[4]2H)(CH3)3    P[4](P[4]P[4]C)2(CC3)(H){1|C<4>}   1.8500    0.0000    1     1.8500     0.0000    1
490    917     SP3_SP3    N    4:4:4:4:    3:3:4:4:    C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:P[4]-3_3_0_0     C-3_3_3_3:C-3_3_3_3:Ga[4]-3_3_0:Ga[4]-3_3_0     C(P[4]Ga[4]2C)(CH3)3    P[4](Ga[4]Ga[4]P)2(CC3)2     C(P[4]Ga[4]2C)(CH3)3    P[4](Ga[4]Ga[4]P)2(CC3)2{2|P<3>}   1.9128    0.0108    2     1.9128     0.0108    2
