643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_0     B[5]-0_0_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)2(SeB[5])    Se(C[6a]C[6a]2)(B[5]O[5]2)     C[6a](C[6a]C[6a]H)2(SeB[5]){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(B[5]O[5]2)   1.9233    0.0000    1     1.9233     0.0000    1
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_1     C-0_0_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)2(SeC)    Se(C[6a]C[6a]2)(COO)     C[6a](C[6a]C[6a]H)2(SeC){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(COO)   1.9195    0.0000    1     1.9195     0.0000    1
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_1     C-1_0_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)2(SeC)    Se(C[6a]C[6a]2)(CCH)     C[6a](C[6a]C[6a]H)2(SeC){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(CCH)   1.9241    0.0000    2     1.9241     0.0000    2
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_1     C-1_0_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)2(SeC)    Se(C[6a]C[6a]2)(CC[3]C)     C[6a](C[6a]C[6a]H)2(SeC){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(CC[3]C)   1.9083    0.0000    1     1.9083     0.0000    1
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_1     C-1_1_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)2(SeC)    Se(C[6a]C[6a]2)(CCC)     C[6a](C[6a]C[6a]H)2(SeC){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(CCC)   1.9163    0.0160    8     1.9163     0.0160    8
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_1     C-1_1_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)2(SeC)    Se(C[6a]C[6a]2)(CC[6a]C)     C[6a](C[6a]C[6a]H)2(SeC){1|C<3>,1|C<4>,1|H<1>}    Se(C[6a]C[6a]2)(CC[6a]C)   1.9276    0.0000    1     1.9276     0.0000    1
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_1     C-1_1_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)2(SeC)    Se(C[6a]C[6a]2)(CC[6a]O)     C[6a](C[6a]C[6a]H)2(SeC){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(CC[6a]O)   1.9109    0.0028    3     1.9109     0.0028    3
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_1     C[5]-1_0_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)2(SeC[5])    Se(C[5]C[5,6]C[5])(C[6a]C[6a]2)     C[6a](C[6a]C[6a]H)2(SeC[5]){1|C<3>,2|H<1>}    Se(C[5]C[5,6]C[5])(C[6a]C[6a]2)   1.9109    0.0000    1     1.9109     0.0000    1
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_1     C[5]-1_0_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)2(SeC[5])    Se(C[5]C[5]N[5])(C[6a]C[6a]2)     C[6a](C[6a]C[6a]H)2(SeC[5]){1|C<3>,2|H<1>}    Se(C[5]C[5]N[5])(C[6a]C[6a]2)   1.9207    0.0092    3     1.9207     0.0092    3
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_1     C[5]-1_0_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]H)2(SeC[5])    Se(C[6a]C[6a]2)(C[5]C[5]2)     C[6a](C[6a]C[6a]H)2(SeC[5]){1|C<3>,2|H<1>}    Se(C[6a]C[6a]2)(C[5]C[5]2)   1.9197    0.0000    1     1.9197     0.0000    1
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_1     C[6a]-1_1_0:C[6]-1_1_0     C[6a](C[6a]C[6a]H)2(SeC[6])    Se(C[6]C[6,6a]C[6])(C[6a]C[6a]2)     C[6a](C[6a]C[6a]H)2(SeC[6]){1|C<3>,2|H<1>}    Se(C[6]C[6,6a]C[6])(C[6a]C[6a]2)   1.9114    0.0000    1     1.9114     0.0000    1
643    977     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:Se-1_1     C[6a]-1_1_0:C[6a]-1_1_0     C[6a](C[6a]C[6a]F)2(SeC[6a])    Se(C[6a]C[6a]2)2     C[6a](C[6a]C[6a]F)2(SeC[6a]){1|N<2>,2|F<1>}    Se(C[6a]C[6a]2)2   1.9221    0.0079    6     1.9221     0.0079    6
