358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[5,5]O)(C[5]C[5]HH)    C[5](C[5]C[5,5]CH)(O[5]C[5])(H)2     O[5](C[5]C[5,5]O)(C[5]C[5]HH){1|C<3>,1|H<1>,2|C<4>}    C[5](C[5]C[5,5]CH)(O[5]C[5])(H)2{1|C<3>,1|C<4>,1|O<1>}   1.4470    0.0000    1     1.4470     0.0000    1
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[5,5]O)(C[5]C[5]HH)    C[5](C[5]C[5,5]HH)(O[5]C[5])(H)2     O[5](C[5]C[5,5]O)(C[5]C[5]HH){1|C<3>,1|C<4>,2|H<1>}    C[5](C[5]C[5,5]HH)(O[5]C[5])(H)2{1|C<3>,1|C<4>,1|O<1>}   1.4457    0.0000    1     1.4492     0.0049    2
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[5,5]O)(C[5]C[5]HH)    C[5](C[5]C[5,5]HH)(O[5]C[5])(H)2     O[5](C[5]C[5,5]O)(C[5]C[5]HH){1|C<4>,1|N<3>,2|H<1>}    C[5](C[5]C[5,5]HH)(O[5]C[5])(H)2{1|C<4>,1|N<3>,1|O<1>}   1.4527    0.0000    1     1.4492     0.0049    2
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[5]N[5])(C[5]C[5]HH)    C[5](C[5]C[6a]N[5]H)(O[5]C[5])(H)2     O[5](C[5]C[5]N[5])(C[5]C[5]HH){1|Cu<4>,1|C<3>,1|H<1>,1|N<3>,1|O<2>}    C[5](C[5]C[6a]N[5]H)(O[5]C[5])(H)2{1|Cu<4>,3|C<3>}   1.4512    0.0000    1     1.4512     0.0000    1
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[5]N[5])(C[5]C[5]HH)    C[5](C[5]N[5]CC)(O[5]C[5])(H)2     O[5](C[5]C[5]N[5])(C[5]C[5]HH){1|Ru<6>,1|N<3>,1|O<2>,2|C<4>}    C[5](C[5]N[5]CC)(O[5]C[5])(H)2{1|Ru<6>,1|C<3>}   1.4362    0.0000    1     1.4406     0.0062    2
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[5]N[5])(C[5]C[5]HH)    C[5](C[5]N[5]CC)(O[5]C[5])(H)2     O[5](C[5]C[5]N[5])(C[5]C[5]HH){2|C<3>,3|C<4>}    C[5](C[5]N[5]CC)(O[5]C[5])(H)2{1|C<4>}   1.4450    0.0000    1     1.4406     0.0062    2
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[5]N[5])(C[5]C[5]HH)    C[5](C[5]N[5]CH)(O[5]C[5])(H)2     O[5](C[5]C[5]N[5])(C[5]C[5]HH){1|C<3>,1|C<4>,1|H<1>,1|S<2>}    C[5](C[5]N[5]CH)(O[5]C[5])(H)2{1|C<3>}   1.4380    0.0000    1     1.4429     0.0070    2
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[5]N[5])(C[5]C[5]HH)    C[5](C[5]N[5]CH)(O[5]C[5])(H)2     O[5](C[5]C[5]N[5])(C[5]C[5]HH){1|Fe<10>,1|H<1>,3|C<4>}    C[5](C[5]N[5]CH)(O[5]C[5])(H)2{1|C<4>}   1.4479    0.0000    1     1.4429     0.0070    2
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[6]N[5])(C[5]C[5]HH)    C[5](C[5]N[5]CC)(O[5]C[5])(H)2     O[5](C[5]C[6]N[5])(C[5]C[5]HH){1|Ir<6>,2|C<3>,2|C<4>}    C[5](C[5]N[5]CC)(O[5]C[5])(H)2{1|Ir<6>,1|C<3>}   1.4390    0.0000    1     1.4373     0.0021    3
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[6]N[5])(C[5]C[5]HH)    C[5](C[5]N[5]CC)(O[5]C[5])(H)2     O[5](C[5]C[6]N[5])(C[5]C[5]HH){1|Pd<4>,2|C<3>,2|C<4>}    C[5](C[5]N[5]CC)(O[5]C[5])(H)2{1|Pd<4>,1|C<3>}   1.4379    0.0000    1     1.4373     0.0021    3
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[6]N[5])(C[5]C[5]HH)    C[5](C[5]N[5]CC)(O[5]C[5])(H)2     O[5](C[5]C[6]N[5])(C[5]C[5]HH){2|C<3>,2|C<4>}    C[5](C[5]N[5]CC)(O[5]C[5])(H)2{1|C<3>}   1.4349    0.0000    1     1.4373     0.0021    3
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[6]N[5])(C[5]C[5]HH)    C[5](C[5]N[5]CH)(O[5]C[5])(H)2     O[5](C[5]C[6]N[5])(C[5]C[5]HH){1|C<4>,1|H<1>,2|C<3>}    C[5](C[5]N[5]CH)(O[5]C[5])(H)2{1|C<3>}   1.4414    0.0104    4     1.4410     0.0068    11
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[6]N[5])(C[5]C[5]HH)    C[5](C[5]N[5]CH)(O[5]C[5])(H)2     O[5](C[5]C[6]N[5])(C[5]C[5]HH){1|Cu<5>,1|C<3>,1|C<4>,1|H<1>,1|N<3>}    C[5](C[5]N[5]CH)(O[5]C[5])(H)2{1|Cu<5>,1|C<3>}   1.4494    0.0000    1     1.4410     0.0068    11
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[6]N[5])(C[5]C[5]HH)    C[5](C[5]N[5]CH)(O[5]C[5])(H)2     O[5](C[5]C[6]N[5])(C[5]C[5]HH){1|Fe<5>,1|C<3>,1|C<4>,1|H<1>,1|N<3>}    C[5](C[5]N[5]CH)(O[5]C[5])(H)2{1|Fe<5>,1|C<3>}   1.4433    0.0000    1     1.4410     0.0068    11
358    474     3:4:    4:2:1:1:    C[5]-3:C[5]-4:     C[5]-4:O[5]-2:H-1:H-1:     Y    O[5](C[5]C[6]N[5])(C[5]C[5]HH)    C[5](C[5]N[5]CH)(O[5]C[5])(H)2     O[5](C[5]C[6]N[5])(C[5]C[5]HH){1|Hf<7>,1|C<4>,1|H<1>,2|C<3>}    C[5](C[5]N[5]CH)(O[5]C[5])(H)2{1|Hf<7>,1|C<3>}   1.4410    0.0000    1     1.4410     0.0068    11
