286    466     SP3_SP3    Y    3:4:    2:4:1:1:    C[6,6a]-3_2_2:C[6]-3_3_0_0     C[6]-3_3_2_0:H-3:H-3:S[6]-3_2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)    C[6](S[6]C[6,6a])(C[6]C[6]CH)(H)2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH){1|C<4>,2|H<1>,3|C<3>}    C[6](S[6]C[6,6a])(C[6]C[6]CH)(H)2{3|C<3>}   1.8171    0.0169    2     1.8171     0.0169    2
286    466     SP3_SP3    Y    3:4:    2:4:1:1:    C[6,6a]-3_2_2:C[6]-3_3_0_0     C[6]-3_3_3_0:H-3:H-3:S[6]-3_2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)    C[6](S[6]C[6,6a])(C[6]C[6]HN)(H)2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH){1|C<4>,1|N<4>,2|C<3>,2|H<1>}    C[6](S[6]C[6,6a])(C[6]C[6]HN)(H)2{2|C<3>,2|H<1>}   1.7930    0.0037    2     1.7930     0.0037    2
286    466     SP3_SP3    Y    3:4:    2:4:4:1:    C[6,6a]-3_2_2:C[6]-3_3_3_0     C-3_0_0_0:C[6]-3_2_0_0:H-3:S[6]-3_2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]CH)    C[6](S[6]C[6,6a])(C[6]C[6]HH)(CH3)(H)     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]CH){3|C<3>,3|H<1>}    C[6](S[6]C[6,6a])(C[6]C[6]HH)(CH3)(H){3|C<3>}   1.7896    0.0000    1     1.7896     0.0000    1
286    466     SP3_SP3    Y    3:4:    2:4:4:1:    C[6,6a]-3_2_2:C[6]-3_3_3_0     C-3_3_0_0:C[6]-3_3_2_0:H-3:S[6]-3_2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]CH)    C[6](S[6]C[6,6a])(C[6]N[6]CH)(CCHH)(H)     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]CH){1|C<4>,1|N<3>,2|C<3>,2|H<1>}    C[6](S[6]C[6,6a])(C[6]N[6]CH)(CCHH)(H){1|S<4>,2|C<3>}   1.8145    0.0054    2     1.8145     0.0054    2
286    466     SP3_SP3    Y    3:4:    2:4:4:4:    C[6,6a]-3_2_2:C[6]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:C[6]-3_2_1_0:S[6]-3_2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]CC)    C[6](S[6]C[6,6a])(C[6]N[6]CH)(CH3)2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]CC){1|C<2>,1|N<3>,2|C<3>,2|H<1>}    C[6](S[6]C[6,6a])(C[6]N[6]CH)(CH3)2{1|H<1>,2|C<3>}   1.8271    0.0000    1     1.8271     0.0000    1
286    466     SP3_SP3    Y    3:4:    2:4:4:4:    C[6,6a]-3_2_2:C[6]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:C[6]-3_3_0_0:S[6]-3_2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]CC)    C[6](S[6]C[6,6a])(C[6]C[6]HH)(CH3)2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]CC){1|C<4>,2|C<3>,3|H<1>}    C[6](S[6]C[6,6a])(C[6]C[6]HH)(CH3)2{1|C<4>,3|C<3>}   1.8280    0.0009    4     1.8280     0.0009    4
286    466     SP3_SP3    Y    3:4:    3:2:1:1:    C[5a,6]-3_2_2:C[6]-3_2_0_0     C[6]-3_2_2:H-3:H-3:S[6]-3_2     S[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6]HH)    C[6](C[6]C[5a]N[6])(S[6]C[5a,6])(H)2     S[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6]HH){2|C<3>,2|N<2>}    C[6](C[6]C[5a]N[6])(S[6]C[5a,6])(H)2{1|C<3>,1|N<2>,2|N<3>}   1.8208    0.0010    4     1.8208     0.0010    4
286    466     SP3_SP3    Y    3:4:    3:2:1:1:    C[5a,6]-3_2_2:C[6]-3_2_0_0     C[6]-3_2_2:H-3:H-3:S[6]-3_2     S[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6]HH)    C[6](C[6]C[6a]N[6])(S[6]C[5a,6])(H)2     S[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6]HH){2|C<3>,2|N<2>}    C[6](C[6]C[6a]N[6])(S[6]C[5a,6])(H)2{1|N<2>,1|N<3>,2|C<3>}   1.8121    0.0045    24     1.8121     0.0045    24
286    466     SP3_SP3    Y    3:4:    3:2:1:1:    C[6,6a]-3_2_2:C[6]-3_2_0_0     C[5a,6]-3_2_2:H-3:H-3:S[6]-3_2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[5a,6]HH)    C[6](C[5a,6]N[5a,6]N[5a])(S[6]C[6,6a])(H)2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[5a,6]HH){1|H<1>,1|N<2>,1|N<3>,2|C<3>}    C[6](C[5a,6]N[5a,6]N[5a])(S[6]C[6,6a])(H)2{1|N<3>,3|C<3>}   1.8105    0.0025    3     1.8105     0.0025    3
286    466     SP3_SP3    Y    3:4:    3:2:1:1:    C[6,6a]-3_2_2:C[6]-3_2_0_0     C[6,6]-3_2_2:H-3:H-3:S[6]-3_2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6,6]HH)    C[6](C[6,6]C[6,6]2)(S[6]C[6,6a])(H)2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6,6]HH){1|H<1>,4|C<3>}    C[6](C[6,6]C[6,6]2)(S[6]C[6,6a])(H)2{1|O<2>,4|C<3>}   1.8088    0.0000    1     1.8088     0.0000    1
286    466     SP3_SP3    Y    3:4:    3:2:1:1:    C[6,6a]-3_2_2:C[6]-3_2_0_0     C[6,6]-3_2_2:H-3:H-3:S[6]-3_2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6,6]HH)    C[6](C[6,6]C[6,6]C[6])(S[6]C[6,6a])(H)2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6,6]HH){1|H<1>,4|C<3>}    C[6](C[6,6]C[6,6]C[6])(S[6]C[6,6a])(H)2{1|O<2>,4|C<3>}   1.8010    0.0276    3     1.8010     0.0276    3
286    466     SP3_SP3    Y    3:4:    3:2:1:1:    C[6,6a]-3_2_2:C[6]-3_2_0_0     C[6,6a]-3_2_2:H-3:H-3:S[6]-3_2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6,6a]HH)    C[6](C[6,6a]C[6,6a]C[6a])(S[6]C[6,6a])(H)2     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6,6a]HH){1|H<1>,4|C<3>}    C[6](C[6,6a]C[6,6a]C[6a])(S[6]C[6,6a])(H)2{1|N<3>,1|O<2>,3|C<3>}   1.8061    0.0036    2     1.8061     0.0036    2
286    466     SP3_SP3    Y    3:4:    3:2:2:1:    C[6,6a]-3_2_2:C[6]-3_3_2_0     C[6a]-3_2_2:H-3:S[6]-3_2:S[6]-3_3     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6a]S[6]H)    C[6](C[6a]C[6a]2)(S[6]C[6,6a])(S[6]C[6])(H)     S[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6a]S[6]H){1|C<4>,1|H<1>,4|C<3>}    C[6](C[6a]C[6a]2)(S[6]C[6,6a])(S[6]C[6])(H){1|O<2>,3|H<1>,4|C<3>}   1.8112    0.0000    1     1.8112     0.0000    1
286    466     SP3_SP3    Y    3:4:    3:2:2:2:    C[5a,6]-3_2_2:C[6]-3_3_3_2     C[6a]-3_2_2:O-3_3:S[6]-3_2:S[6]-3_2     S[6](C[5a,6]C[5,5a]C[5a,6])(C[6]C[6a]S[6]O)    C[6](C[6a]C[6a]2)(S[6]C[5a,6])(S[6]C[6])(OC)     S[6](C[5a,6]C[5,5a]C[5a,6])(C[6]C[6a]S[6]O){1|N<3>,1|S<2>,4|C<3>}    C[6](C[6a]C[6a]2)(S[6]C[5a,6])(S[6]C[6])(OC){1|S<1>,2|H<1>,4|C<3>}   1.8309    0.0004    2     1.8309     0.0004    2
