474    960     SP2_SP3    Y    3:2:4:1:    3:4:    C-3_3_3_3:Cl-3:C[5,5]-3_3_2:N[5]-3_2     C[5,6]-3_3_2:C[5]-3_2_2_0     C[5](C[5,5]C[5,5,6]C[5])(N[5]C[5,6])(CC3)(Cl)    N[5](C[5,6]C[5,5,6]C[6])(C[5]C[5,5]ClC)     C[5](C[5,5]C[5,5,6]C[5])(N[5]C[5,6])(CC3)(Cl){1|Cl<1>,1|C<3>,1|N<2>,2|C<4>}    N[5](C[5,6]C[5,5,6]C[6])(C[5]C[5,5]ClC){1|C<3>,1|N<2>,2|C<4>,2|H<1>}   1.4898    0.0000    1     1.4898     0.0000    1
474    960     SP2_SP3    Y    3:2:4:1:    4:3:    C-3_3_0_0:C[5]-3_2_2:H-3:N[5]-3_2     C[5]-2_2_2:C[5]-3_2_2_0     C[5](C[5]O[5]O)(N[5]C[5])(CCHH)(H)    N[5](C[5]C[5]CH)(C[5]O[5]O)     C[5](C[5]O[5]O)(N[5]C[5])(CCHH)(H){1|O<1>}    N[5](C[5]C[5]CH)(C[5]O[5]O){1|O<1>}   1.4422    0.0000    1     1.4422     0.0000    1
474    960     SP2_SP3    Y    3:2:4:1:    4:3:    C-3_3_2_0:C[5,6a]-3_2_2:H-3:N[5]-3_2     C[5]-2_2_2:C[5]-3_2_2_0     C[5](C[5,6a]C[5,6a]C[6a])(N[5]C[5])(CCHN)(H)    N[5](C[5]C[5,6a]CH)(C[5]C[5,6a]O)     C[5](C[5,6a]C[5,6a]C[6a])(N[5]C[5])(CCHN)(H){1|H<1>,1|O<1>,2|C<3>}    N[5](C[5]C[5,6a]CH)(C[5]C[5,6a]O){2|C<3>}   1.4490    0.0021    2     1.4490     0.0021    2
474    960     SP2_SP3    Y    3:2:4:1:    4:3:    C-3_3_3_0:C[5]-3_2_2:H-3:N[5]-3_2     C[5]-2_2_2:C[5]-3_2_2_0     C[5](C[5]N[5]O)(N[5]C[5])(CCCH)(H)    N[5](C[5]C[5]CH)(C[5]N[5]S)     C[5](C[5]N[5]O)(N[5]C[5])(CCCH)(H){1|C<3>,1|S<2>}    N[5](C[5]C[5]CH)(C[5]N[5]S){1|C<3>,1|O<1>}   1.4777    0.0000    1     1.4777     0.0000    1
474    960     SP2_SP3    Y    3:2:4:2:    3:4:    C-3_0_0_0:C[5]-3_2_2:N[5]-3_2:O-3_0     C[5]-2_2_2:C[5]-3_3_2_2     C[5](C[5]S[5]O)(N[5]C[5])(CBrHH)(OH)    N[5](C[5]C[6a]S[5])(C[5]C[5]CO)     C[5](C[5]S[5]O)(N[5]C[5])(CBrHH)(OH){1|C<3>}    N[5](C[5]C[6a]S[5])(C[5]C[5]CO){1|O<1>,2|C<3>}   1.4537    0.0000    1     1.4537     0.0000    1
474    960     SP2_SP3    Y    3:2:4:2:    4:3:    C-3_3_2_0:C[5a]-3_2_2:N[5]-3_2:O[5]-3_3     C[5]-3_2_0:C[5]-3_3_2_2     C[5](C[5a]C[5a]O[5a])(O[5]C[5,5])(CC[6a]HO)(N[5]C[5])    N[5](C[5]C[5a]O[5]C)(C[5]C[5,5]H)     C[5](C[5a]C[5a]O[5a])(O[5]C[5,5])(CC[6a]HO)(N[5]C[5]){1|C<4>,1|N<3>,2|C<3>,2|H<1>}    N[5](C[5]C[5a]O[5]C)(C[5]C[5,5]H){1|C<3>,1|C<4>,1|N<3>,1|O<2>}   1.4636    0.0000    1     1.4636     0.0000    1
474    960     SP2_SP3    Y    3:2:4:2:    4:3:    C-3_3_3_3:C[5]-3_3_2:N[5]-3_2:O-3_3     C[5]-3_2_2:C[5]-3_3_2_2     C[5](C[5]C[5]C)(N[5]C[5])(CC3)(OO)    N[5](C[5]C[5]CO)(C[5]C[5]C)     C[5](C[5]C[5]C)(N[5]C[5])(CC3)(OO){2|C<4>}    N[5](C[5]C[5]CO)(C[5]C[5]C){2|C<4>}   1.4724    0.0000    1     1.4724     0.0000    1
474    960     SP2_SP3    Y    3:2:4:2:    4:4:    C[5,6a]-3_2_2:C[6]-3_3_0_0:N[5]-3_3:S[6]-3_2     C[5,6]-3_2_2_2:S[5]-2_2_2_2     C[5,6](C[5,6a]C[5,6a]C[6a])(S[6]C[5a,6])(C[6]C[6]HH)(N[5]S[5])    N[5](C[5,6]C[5,6a]C[6]S[6])(S[5]C[5,6a]OO)     C[5,6](C[5,6a]C[5,6a]C[6a])(S[6]C[5a,6])(C[6]C[6]HH)(N[5]S[5]){1|N<3>,2|H<1>,2|O<1>,4|C<3>}    N[5](C[5,6]C[5,6a]C[6]S[6])(S[5]C[5,6a]OO){1|C<4>,2|H<1>,3|C<3>}   1.4622    0.0000    1     1.4622     0.0000    1
474    960     SP2_SP3    Y    3:2:4:3:    3:4:    C-3_0_0_0:C-3_2_2:C[5]-3_2_2:N[5]-3_2     C[5]-2_2_2:C[5]-3_2_2_2     C[5](C[5]O[5]O)(N[5]C[5])(CH3)(COO)    N[5](C[5]C[6a]O[5])(C[5]C[5]CC)     C[5](C[5]O[5]O)(N[5]C[5])(CH3)(COO){1|C<3>}    N[5](C[5]C[6a]O[5])(C[5]C[5]CC){1|O<1>,2|C<3>}   1.4775    0.0094    2     1.4775     0.0094    2
474    960     SP2_SP3    Y    3:2:4:3:    3:4:    C-3_2_2:C-3_3_3_0:N[5]-3_2_2:N[5]-3_2     C[5]-2_2_2:C[5]-3_2_2_2     C[5](N[5]N[5]C)(N[5]C[5])(CCCH)(COO)    N[5](C[5]C[6a]N[5])(C[5]N[5]CC)     C[5](N[5]N[5]C)(N[5]C[5])(CCCH)(COO){2|C<3>}    N[5](C[5]C[6a]N[5])(C[5]N[5]CC){4|C<3>}   1.4698    0.0000    1     1.4698     0.0000    1
