643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-2_2_0:C[6a]-2_2_2  C[3]-2_2_2_2:C[3]-3_3_2:C[6a]-2_2_2  451_20018_1  295_1291_1  1.4416  0.0000  1  1.4416  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  4:3:3:  C[3]-3_2_2:C[6a]-3_2_2:C[6a]-3_2_2  C[6a]-2_2_2:N[3]-3_3_2:Si[3]-9_2_2_2  451_863_1  295_2122_1  1.4911  0.0000  1  1.4911  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  5:3:3:  C[3]-5_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-5_2_2:C[6a]-2_2_2:P[3,5]-2_2_2_2_2  451_857_1  295_2065_1  1.4623  0.0014  2  1.4623  0.0014  2  
643  902  SP2_SP2  N  3:3:3:  5:3:3:  C[3]-5_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-5_2_2:C[6a]-2_2_2:Si[3,4]-3_2_2_2_2  451_858_1  295_2105_1  1.4778  0.0007  2  1.4778  0.0007  2  
643  902  SP2_SP2  N  3:3:3:  5:3:3:  C[3]-5_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-5_2_2:C[6a]-2_2_2:Si[3,5]-6_2_2_2_2  451_860_1  295_2111_1  1.4822  0.0026  2  1.4822  0.0026  2  
643  902  SP2_SP2  N  3:3:3:  6:3:3:  C[3]-6_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-6_2_0:C[6a]-2_2_2:Nb[3,4x5]-3_3_3_2_2_2  451_851_1  295_2046_1  1.4603  0.0000  1  1.4603  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  6:3:3:  C[3]-6_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-6_2_2:C[6a]-2_2_2:Nb[3,6]-2_2_2_2_2_1  451_852_1  295_2052_1  1.4685  0.0035  2  1.4685  0.0035  2  
643  902  SP2_SP2  N  3:3:3:  6:3:3:  C[3]-6_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-6_3_2:C[6a]-2_2_2:Nb[3,6]-2_2_2_2_2_1  451_852_2  295_2050_1  1.4727  0.0000  1  1.4727  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  7:3:3:  C[3]-7_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-7_3_2:C[6a]-2_2_2:Nb[3,3x6]-2_2_2_2_2_0_0  451_850_1  295_2033_1  1.4747  0.0000  1  1.4747  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  7:3:3:  C[3]-7_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[3]-7_3_2:C[6a]-2_2_2:Nb[3,3x6]-2_2_2_2_2_0_0  451_850_2  295_2037_1  1.4463  0.0000  1  1.4463  0.0000  1  
643  902  SP2_SP2  N  3:3:3:  7:3:3:  C[3]-7_2_2:C[6a]-2_2_0:C[6a]-2_2_0  C[6a]-2_2_2:Nb[3,6]-2_2_2_2_0_0_0:N[3]-7_3_2  451_853_1  295_2054_1  1.4750  0.0076  2  1.4750  0.0076  2  
643  903  SP2_SP2  Y  3:3:3:  3:4:4:  C[6,6a]-2_2_2:C[6a]-2_2_0:Se[6]-3_3_2  C-2_0_0_0:C[6,6a]-2_2_2:C[6]-3_2_0_0  448_3468_1  786_14_1  1.9300  0.0096  2  1.9300  0.0096  2  
643  904  SP-NON_SP2  Y  3:3:2:  3:3:  C[6,6a]-3_2_2:C[6a]-2_2_0:P[6]-2_2  C[6,6a]-2_2_0:C[6,6a]-2_2_0  448_4393_1  748_105_1  1.8879  0.0319  2  1.8879  0.0319  2  
643  907  SP2_SP3  N  3:3:4:  3:3:2:2:  C[5,6a]-3_2_2:C[5,6a]-3_2_2:Ge[4]-2_2_2_2  C[6a]-3_2_2:C[6a]-3_2_2:O[4]-3_2:O[4]-3_2  451_2144_1  551_8_1  1.9740  0.0000  1  1.9740  0.0000  1  
643  907  SP2_SP3  N  4:3:3:  3:2:2:2:  C[6a]-2_2_2:C[6a]-2_2_2:Ge[4]-3_3_3_2  C[6a]-3_2_2:S-3_0:S[4]-3_3:S[4]-3_3  451_27362_1  551_10_1  1.9794  0.0056  2  1.9794  0.0056  2  
643  907  SP2_SP3  N  4:3:3:  3:3:2:4:  C[6a]-3_2_2:C[6a]-3_2_2:Ge[4]-3_3_2_2  C-3_3_3_3:C[4]-3_3_0:C[6a]-3_2_2:O[4]-3_3  451_27358_1  551_9_1  1.9527  0.0000  1  1.9527  0.0000  1  
643  907  SP2_SP3  N  4:3:3:  3:3:3:2:  C[6a]-2_2_2:C[6a]-2_2_2:Ge[4,5]-2_2_2_0  C[5,6a]-3_2_2:C[6a]-3_2_2:Ge[4,5]-3_3_2:P[4]-3_2  451_27355_1  548_1_1  1.9717  0.0056  2  1.9717  0.0056  2  
643  907  SP2_SP3  N  4:3:3:  3:4:3:3:  C[6a]-2_2_0:C[6a]-3_2_2:Ge[4]-3_2_2_2  C[4,6a]-3_2_2:C[6a]-3_2_2:C[6a]-3_2_2:Si[4]-3_3_3_2  451_27357_1  551_1_1  1.9753  0.0024  2  1.9753  0.0024  2  
643  907  SP2_SP3  N  4:3:3:  4:3:3:2:  C[6a]-3_2_2:C[6a]-3_2_2:Ge[4]-3_3_2_2  C[4,5]-3_3_2_2:C[6a]-3_2_2:C[6a]-3_2_2:O[4]-3_3  451_27356_1  551_0_1  1.9534  0.0021  2  1.9534  0.0021  2  
643  907  SP2_SP3  N  4:3:3:  4:3:3:3:  C[6a]-3_2_2:C[6a]-3_2_2:Ge[4,4]-3_2_2_2  C[4]-3_2_2:C[4]-3_2_2:C[6a]-3_2_2:Ge[4,4]-3_2_2_2  451_27353_1  542_6_1  1.9634  0.0000  1  1.9634  0.0000  1  
643  907  SP2_SP3  N  4:3:3:  4:3:4:4:  C[6a]-3_2_2:C[6a]-3_2_2:Ge[4,4]-3_3_3_2  C[4]-3_3_0_0:C[4]-3_3_0_0:C[6a]-3_2_2:Ge[4,4]-3_3_3_2  451_27353_2  542_7_1  1.9832  0.0068  2  1.9832  0.0068  2  
643  907  SP2_SP3  N  4:3:3:  4:4:3:3:  C[6a]-2_2_2:C[6a]-2_2_2:Ge[4,5]-3_3_2_2  C[4,4,5]-3_3_3_0:C[5]-3_2_0:C[6a]-3_2_2:Ge[4,5]-3_3_2_2  451_27354_1  548_2_1  1.9861  0.0249  2  1.9861  0.0249  2  
643  907  SP2_SP3  N  4:3:3:  4:4:3:3:  C[6a]-3_2_2:C[6a]-3_2_2:Ge[4]-3_3_2_2  C[4]-3_3_3_0:C[4]-3_3_3_0:C[6a]-3_2_2:C[6a]-3_2_2  451_27359_1  551_5_1  1.9960  0.0077  4  1.9960  0.0077  4  
