958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[6a]-3_2_2:H-3_3     H(OC[6a])(ON[6])    O(C[6a]C[6a]2)(HO)     H(OC[6a])(ON[6])    O(C[6a]C[6a]2)(HO)   1.0145    0.0000    1     1.0145     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[6a]-3_2_2:H-3_3     H(OC[6a])2    O(C[6a]C[6a,6a]C[6a])(HO)     H(OC[6a])2    O(C[6a]C[6a,6a]C[6a])(HO)   1.2215    0.1138    2     1.2215     0.1138    2
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     C[6a]-3_2_2:H-3_3     H(OC[6a])2    O(C[6a]C[6a]2)(HO)     H(OC[6a])2    O(C[6a]C[6a]2)(HO)   1.2291    0.1255    19     1.2291     0.1255    19
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     H-3_3:N-3_2_2     H(ON)2    O(NOO)(HO)     H(ON)2    O(NOO)(HO)   1.2197    0.0000    1     1.2197     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     H-3_3:N[6]-3_2_2     H(OC[6a])(ON[6])    O(N[6]C[6]2)(HO)     H(OC[6a])(ON[6])    O(N[6]C[6]2)(HO)   1.4493    0.0000    1     1.4493     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-2_0     H-3_3:N[6a]-3_2_2     H(ON[6a])2    O(N[6a]C[6a]2)(HO)     H(ON[6a])2    O(N[6a]C[6a]2)(HO)   1.2387    0.0851    2     1.2387     0.0851    2
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-3_0     C-3_2_0:H-3_3     H(ON[3x6])(OC)    O(CHO)(HO)     H(ON[3x6])(OC)    O(CHO)(HO)   1.2000    0.0169    7     1.2000     0.0169    7
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-3_0     C-3_2_2:H-3_3     H(OC)(OP)    O(CCO)(HO)     H(OC)(OP)    O(CCO)(HO)   1.2046    0.1373    7     1.2046     0.1373    7
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-3_0     C-3_2_2:H-3_3     H(OC)(OP)    O(CNN)(HO)     H(OC)(OP)    O(CNN)(HO)   1.1936    0.0194    19     1.1936     0.0194    19
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-3_0     C-3_2_2:H-3_3     H(OC)(OS)    O(CC[6]O)(HO)     H(OC)(OS)    O(CC[6]O)(HO)   1.1579    0.0000    1     1.1579     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-3_0     C-3_2_2:H-3_3     H(ON[6])(OC)    O(CCO)(HO)     H(ON[6])(OC)    O(CCO)(HO)   1.4160    0.0000    1     1.4160     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-3_0     C-3_3_2:H-3_3     H(OC)(OP)    O(CC[5]O)(HO)     H(OC)(OP)    O(CC[5]O)(HO)   1.0542    0.0000    1     1.0542     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-3_0     C-3_3_2:H-3_3     H(OC)(OP)    O(CNP)(HO)     H(OC)(OP)    O(CNP)(HO)   1.2891    0.0000    1     1.2891     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-3_0     C[6a]-3_2_2:H-3_3     H(OC[6a])(OP)    O(C[6a]C[6a]2)(HO)     H(OC[6a])(OP)    O(C[6a]C[6a]2)(HO)   1.1930    0.0000    1     1.1930     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-2_0:O-3_0     H-3_3:N[6]-3_2_2     H(ON[6])(OC)    O(N[6]C[6]2)(HO)     H(ON[6])(OC)    O(N[6]C[6]2)(HO)   1.0618    0.0000    1     1.0618     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-3_0:O-3_0     H-3_3:N[5a]-3_2_2     H(ON[5a])2    O(N[5a]C[5a]N[5a])(HO)     H(ON[5a])2    O(N[5a]C[5a]N[5a])(HO)   1.2229    0.2075    2     1.2229     0.2075    2
958    960     SP-NON_SP3    N:O    2:2:    3:2:    O-3_0:O-3_0     H-3_3:N[6]-3_2_2     H(ON[6])2    O(N[6]C[6]2)(HO)     H(ON[6])2    O(N[6]C[6]2)(HO)   1.2131    0.0000    1     1.2131     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-2_0:O-3_0     H-3_3:N[3x6]-3_3_3_3     H(ON[3x6])(OC)    O(N[3x6]C[6,6]3)(HO)     H(ON[3x6])(OC)    O(N[3x6]C[6,6]3)(HO)   1.2463    0.0121    7     1.2463     0.0121    7
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-2_0:O-3_0     H-3_3:P-3_2_2_2     H(OC)(OP)    O(PO3)(HO)     H(OC)(OP)    O(PO3)(HO)   1.2557    0.0804    26     1.2557     0.0804    26
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-2_0:O-3_0     H-3_3:P-3_2_2_2     H(OC[6a])(OP)    O(PC[6a]3)(HO)     H(OC[6a])(OP)    O(PC[6a]3)(HO)   1.4398    0.0000    1     1.4398     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-2_0:O-3_0     H-3_3:P-3_2_2_2     H(OP)2    O(PC[6a]C[6]O)(HO)     H(OP)2    O(PC[6a]C[6]O)(HO)   1.0332    0.0000    1     1.0332     0.0000    1
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-2_0:O-3_0     H-3_3:P-3_3_2_2     H(OC)(OP)    O(PCOO)(HO)     H(OC)(OP)    O(PCOO)(HO)   1.1659    0.0486    2     1.1659     0.0486    2
958    960     SP-NON_SP3    N:O    2:2:    4:2:    O-2_0:O-3_0     H-3_3:S-3_2_2_2     H(OC)(OS)    O(SO3)(HO)     H(OC)(OS)    O(SO3)(HO)   1.3403    0.0000    1     1.3403     0.0000    1
