762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[6,6a]F)(C[6a]C[6a]H)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[6,6a]F)(C[6a]C[6a]H)(F){1|C<3>,1|F<1>,1|N<2>}    F(C[6a]C[6a]2)   1.3442    0.0000    1     1.3442     0.0000    1
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[6,6a]N[6])(C[6a]C[6,6a]H)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[6,6a]N[6])(C[6a]C[6,6a]H)(F){1|O<2>,2|C<3>,2|C<4>}    F(C[6a]C[6a]2)   1.3437    0.0000    1     1.3437     0.0000    1
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[6a,6a]F)(C[6a]C[6a]F)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[6a,6a]F)(C[6a]C[6a]F)(F){1|C<3>,1|F<1>,1|N<2>}    F(C[6a]C[6a]2)   1.3407    0.0026    2     1.3427     0.0024    11
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[6a,6a]F)(C[6a]C[6a]F)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[6a,6a]F)(C[6a]C[6a]F)(F){1|F<1>,2|C<3>}    F(C[6a]C[6a]2)   1.3432    0.0022    9     1.3427     0.0024    11
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[6a,6a]F)(C[6a]C[6a]H)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[6a,6a]F)(C[6a]C[6a]H)(F){3|C<3>}    F(C[6a]C[6a]2)   1.3442    0.0000    1     1.3442     0.0000    1
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]Cl)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]Cl)(F){1|H<1>,2|C<3>}    F(C[6a]C[6a]2)   1.3340    0.0000    1     1.3340     0.0000    1
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]F)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[6a,6a]H)(C[6a]C[6a]F)(F){1|C<3>,1|H<1>,1|N<2>}    F(C[6a]C[6a]2)   1.3499    0.0000    1     1.3499     0.0000    1
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[6a]2)(C[6a]C[6a]F)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[6a]2)(C[6a]C[6a]F)(F){1|B<3>,1|F<1>,3|C<3>}    F(C[6a]C[6a]2)   1.3474    0.0000    1     1.3447     0.0028    9
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[6a]2)(C[6a]C[6a]F)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[6a]2)(C[6a]C[6a]F)(F){1|B<4>,1|F<1>,3|C<3>}    F(C[6a]C[6a]2)   1.3470    0.0000    1     1.3447     0.0028    9
762    830     3:3:1:    3:    C[6a]-3:C[6a]-3:F-1:     C[6a]-3:     N    C[6a](C[6a]C[6a]2)(C[6a]C[6a]F)(F)    F(C[6a]C[6a]2)     C[6a](C[6a]C[6a]2)(C[6a]C[6a]F)(F){1|Br<1>,1|C<3>,1|F<1>,2|N<2>}    F(C[6a]C[6a]2)   1.3398    0.0000    1     1.3447     0.0028    9
