490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:H-3:H-3  C-2_0_0_0  240_15371_0  465_138_0  1.3852  0.0027  2  1.3852  0.0027  2  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:H-3:H-3  C-2_0_0_0  240_15993_0  465_138_0  1.3934  0.0049  2  1.3934  0.0049  2  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_2_2:F-3:H-3:H-3  C-2_0_0_0  240_16774_0  465_138_0  1.3779  0.0000  1  1.3779  0.0000  1  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_3_2:F-3:F-3:F-3  C-2_0_0_0  240_4796_0  465_130_0  1.3185  0.0248  69  1.3185  0.0248  69  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_3_2:F-3:F-3:F-3  C-2_0_0_0  240_5738_0  465_130_0  1.3263  0.0223  3  1.3263  0.0223  3  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_3_2:F-3:F-3:F-3  C-2_0_0_0  240_7554_0  465_130_0  1.3180  0.0095  3  1.3180  0.0095  3  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_3_2:F-3:F-3:F-3  C-2_0_0_0  240_12679_0  465_130_0  1.3382  0.0057  6  1.3382  0.0057  6  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_3_2:F-3:F-3:F-3  C-2_0_0_0  240_16259_0  465_130_0  1.3219  0.0109  3  1.3219  0.0109  3  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_3_2:F-3:F-3:F-3  C-2_0_0_0  240_16334_0  465_130_0  1.3456  0.0046  3  1.3456  0.0046  3  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-3_3_2:F-3:F-3:H-3  C-2_0_0_0  240_4668_0  465_131_0  1.3306  0.0023  2  1.3306  0.0023  2  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-5_3_2:F-3:F-3:F-3  C-2_0_0_0  240_11780_0  465_130_0  1.3349  0.0047  3  1.3349  0.0047  3  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-5_3_2:F-3:F-3:F-3  C-2_0_0_0  240_12580_0  465_130_0  1.3373  0.0083  3  1.3373  0.0083  3  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-5_3_2:F-3:F-3:F-3  C-2_0_0_0  240_17263_0  465_130_0  1.3274  0.0081  3  1.3274  0.0081  3  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-6_3_2:F-3:F-3:F-3  C-2_0_0_0  240_17213_0  465_130_0  1.3501  0.0215  6  1.3501  0.0215  6  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-6_3_2:F-3:F-3:F-3  C-2_0_0_0  240_17308_0  465_130_0  1.3654  0.0105  6  1.3654  0.0105  6  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-6_3_2:F-3:F-3:H-3  C-2_0_0_0  240_15187_0  465_131_0  1.3731  0.0079  4  1.3731  0.0079  4  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-7_3_0:F-3:F-3:F-3  C-2_0_0_0  240_12260_0  465_130_0  1.3245  0.0107  3  1.3245  0.0107  3  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-7_3_0:F-3:F-3:F-3  C-2_0_0_0  240_15098_0  465_130_0  1.3423  0.0154  24  1.3423  0.0154  24  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C-7_3_3:F-3:F-3:F-3  C-2_0_0_0  240_15062_0  465_130_0  1.3490  0.0109  12  1.3490  0.0109  12  
490  830  SP-NON_SP3  N  3:1:1:1:  4:  C[4]-3_3_2:F-3:F-3:F-3  C-2_0_0_0  240_19624_0  465_161_0  1.3376  0.0028  3  1.3376  0.0028  3  
