863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:C[5]-3_2_2:C[6a]-3_2_2:O-3  665_6579_0  746_167_3  1.4864  0.0065  4  1.4847  0.0053  11  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:C[5]-3_2_2:C[6a]-3_2_2:O-3  665_6579_0  746_183_2  1.4853  0.0050  2  1.4853  0.0050  2  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:C[5]-3_3_2:C[6a]-3_2_2:O-3  665_6579_0  746_187_1  1.4698  0.0000  1  1.4698  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:C[5]-3_3_2:C[6a]-3_2_2:O-3  665_6579_0  746_254_1  1.4941  0.0000  1  1.4941  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:C[6a]-3_2_2:N[5]-3_2_0:O-3  665_6580_0  746_190_1  1.4872  0.0000  1  1.4872  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5,6a]-3_2_2:C[6a]-3_2_2:N[5]-3_3_2:O-3  665_6580_0  746_189_1  1.4811  0.0000  1  1.4811  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5]-3_2_2:C[5]-3_2_2:C[6a]-3_2_2:O-3  665_6607_0  746_265_1  1.4894  0.0000  1  1.4894  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5]-3_2_2:C[5]-3_2_2:C[6a]-3_2_2:O-3  665_6607_0  746_273_1  1.4885  0.0000  1  1.4885  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5]-3_2_2:C[5]-3_2_2:C[6a]-3_2_2:O-3  665_6607_0  746_331_2  1.4829  0.0020  2  1.4838  0.0016  4  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  C[5]-3_2_2:C[5]-3_2_2:C[6a]-3_2_2:O-3  665_6607_0  746_331_1  1.4848  0.0004  2  1.4838  0.0016  4  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-2_2_2_2  N-3_2_0:N[5]-3_2_0:N[5]-3_2_0:O-3  665_6628_0  746_510_1  1.4836  0.0000  1  1.4836  0.0000  1  
863  955  SP2_SP3  N  4:  3:3:3:1:  P[5]-3_2_2_2  C[6a]-3_2_2:N[5,5]-3_3_3:N[5]-3_3_2:O-3  665_6614_0  746_476_1  1.4744  0.0000  1  1.4727  0.0023  2  
