818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6]-3_3_2_0:C[5]-2_2_2  417_31355_3  688_1301_4  1.3537  0.0126  4  1.3462  0.0121  9  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6]-3_3_2_0:C[5]-2_2_2  417_31355_3  688_1301_5  1.3365  0.0055  2  1.3462  0.0121  9  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6]-3_3_2_2:C[5]-2_2_2  417_31344_1  688_1382_1  1.3467  0.0000  1  1.3467  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6]-3_3_2_2:C[5]-2_2_2  417_31355_2  688_1245_1  1.3386  0.0037  3  1.3435  0.0069  6  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6]-3_3_2_2:C[5]-2_2_2  417_31355_1  688_1245_2  1.3485  0.0057  3  1.3435  0.0069  6  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6]-3_3_3_2:C[5]-2_2_2  417_31315_2  688_1113_1  1.3501  0.0000  1  1.3501  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6]-3_3_3_2:C[5]-2_2_2  417_31344_2  688_1382_2  1.3367  0.0030  7  1.3352  0.0051  8  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5,6]-3_3_3_2:C[5]-2_2_2  417_31344_3  688_1382_3  1.3245  0.0000  1  1.3352  0.0051  8  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_2_0_0  417_31344_3  688_2067_1  1.3268  0.0000  1  1.3268  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_2_0_0  417_31397_4  688_2345_2  1.3367  0.0000  1  1.3322  0.0123  17  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_2_0_0  417_31397_5  688_2345_3  1.3290  0.0118  13  1.3322  0.0123  17  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_2_0_0  417_31397_6  688_2345_4  1.3445  0.0090  3  1.3322  0.0123  17  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_2_1_0  417_31397_7  688_2264_2  1.3500  0.0000  1  1.3500  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_2_2_0  417_31397_8  688_2264_3  1.3537  0.0000  1  1.3537  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_2_2_0  417_31397_9  688_2302_1  1.3411  0.0000  1  1.3411  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_2_2_0  417_31397_8  688_2571_1  1.3460  0.0000  1  1.3446  0.0064  3  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_2_2_0  417_31397_4  688_2571_2  1.3376  0.0000  1  1.3446  0.0064  3  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_2_2_0  417_31397_10  688_2571_3  1.3502  0.0000  1  1.3446  0.0064  3  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_2_0  417_31297_2  688_1897_1  1.3432  0.0000  1  1.3432  0.0000  1  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_2_0  417_31344_1  688_2035_1  1.3340  0.0000  1  1.3362  0.0077  8  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_2_0  417_31344_2  688_2035_2  1.3366  0.0082  7  1.3362  0.0077  8  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_2_0  417_31397_5  688_2172_1  1.3397  0.0063  6  1.3390  0.0056  10  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_2_0  417_31397_6  688_2172_2  1.3380  0.0050  4  1.3390  0.0056  10  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_2_0  417_31397_8  688_2264_4  1.3386  0.0022  2  1.3386  0.0077  16  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_2_0  417_31397_5  688_2264_5  1.3351  0.0074  7  1.3386  0.0077  16  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_2_0  417_31397_11  688_2264_2  1.3451  0.0120  3  1.3386  0.0077  16  
818  976  SP2_SP2  Y  2:2:1:  4:3:  O-2:O[5]-3_2:O[5]-3_2  C[5]-2_2_2:C[5]-3_3_2_0  417_31397_6  688_2264_3  1.3396  0.0044  4  1.3386  0.0077  16  
