818    846     SP2_SP2    N    4:4:3:    3:4:3:    C[5,6]-4:C[5]-4:C[4]-3:     C[5]-3:C[4]-4:C[4]-3:     C[5](C[5,6]C[5]C[6]2)(C[5]O[5]HH)(C[4]C[4]2)    C[4](C[5]C[5,6]C[5])(C[4]C[4,5]CC)(C[4]C[4,5]C)     C[5](C[5,6]C[5]C[6]2)(C[5]O[5]HH)(C[4]C[4]2){1|N<3>,1|O<1>,2|C<3>,3|C<4>,3|H<1>}    C[4](C[5]C[5,6]C[5])(C[4]C[4,5]CC)(C[4]C[4,5]C){1|O<2>,2|C<3>,2|H<1>,3|C<4>}   1.3363    0.0000    2     1.3363     0.0000    2
818    846     SP2_SP2    Y    3:3:3:    3:3:3:    C[4,6a,6a]-3:C[5,6a]-3:C[5,6a]-3:     C[5,6a,6a]-3:C[4,6a]-3:C[4,6a]-3:     C[5,6a,6a](C[4,6a,6a]C[4,6a]2)(C[5,6a]C[6a]C[5])2    C[4,6a,6a](C[5,6a,6a]C[5,6a]2)(C[4,6a]C[6a]P[4])2     C[5,6a,6a](C[4,6a,6a]C[4,6a]2)(C[5,6a]C[6a]C[5])2{1|P<3>,2|C<3>,6|H<1>}    C[4,6a,6a](C[5,6a,6a]C[5,6a]2)(C[4,6a]C[6a]P[4])2{2|C<4>,2|H<1>,3|C<3>}   1.3640    0.0000    2     1.3661     0.0037    6
818    846     SP2_SP2    Y    3:3:3:    3:3:3:    C[4,6a,6a]-3:C[5,6a]-3:C[5,6a]-3:     C[5,6a,6a]-3:C[4,6a]-3:C[4,6a]-3:     C[5,6a,6a](C[4,6a,6a]C[4,6a]2)(C[5,6a]C[6a]C[5])2    C[4,6a,6a](C[5,6a,6a]C[5,6a]2)(C[4,6a]C[6a]P[4])2     C[5,6a,6a](C[4,6a,6a]C[4,6a]2)(C[5,6a]C[6a]C[5])2{1|P<4>,2|C<3>,6|H<1>}    C[4,6a,6a](C[5,6a,6a]C[5,6a]2)(C[4,6a]C[6a]P[4])2{1|B<4>,2|C<3>,2|H<1>,3|C<4>}   1.3709    0.0000    2     1.3661     0.0037    6
818    846     SP2_SP2    Y    3:3:3:    3:3:3:    C[4,6a,6a]-3:C[5,6a]-3:C[5,6a]-3:     C[5,6a,6a]-3:C[4,6a]-3:C[4,6a]-3:     C[5,6a,6a](C[4,6a,6a]C[4,6a]2)(C[5,6a]C[6a]C[5])2    C[4,6a,6a](C[5,6a,6a]C[5,6a]2)(C[4,6a]C[6a]P[4])2     C[5,6a,6a](C[4,6a,6a]C[4,6a]2)(C[5,6a]C[6a]C[5])2{1|P<4>,2|C<3>,6|H<1>}    C[4,6a,6a](C[5,6a,6a]C[5,6a]2)(C[4,6a]C[6a]P[4])2{2|H<1>,3|C<3>,3|C<4>}   1.3634    0.0000    2     1.3661     0.0037    6
818    846     SP2_SP2    Y    3:3:3:    3:3:4:    C[5a,6a]-3:C[4,5a]-3:C[6a]-3:     N[4,5a]-3:C[5a]-3:C[4]-4:     C[5a](C[5a,6a]C[5a,6a]C[6a])(C[4,5a]N[4,5a]C[4])(C[6a]C[6a]2)    C[4,5a](N[4,5a]C[5a,6a]C[4])(C[5a]C[5a,6a]C[6a])(C[4]C[4]HH)     C[5a](C[5a,6a]C[5a,6a]C[6a])(C[4,5a]N[4,5a]C[4])(C[6a]C[6a]2){1|C<4>,4|C<3>,5|H<1>}    C[4,5a](N[4,5a]C[5a,6a]C[4])(C[5a]C[5a,6a]C[6a])(C[4]C[4]HH){2|H<1>,4|C<3>}   1.3690    0.0000    1     1.3690     0.0000    1
818    846     SP2_SP2    Y    3:3:3:    3:3:4:    C[5a,6a]-3:C[4,6a]-3:N[5a]-3:     C[5a,6a]-3:C[4,6a]-3:C[4,5]-4:     C[5a,6a](C[5a,6a]C[5a,6a]C[6a])(C[4,6a]C[4,6a]C[4,5])(N[5a]C[5a,6a]C)    C[4,6a](C[5a,6a]C[5a,6a]N[5a])(C[4,6a]C[4,5]C[6a])(C[4,5]C[4,5]C[5]H)     C[5a,6a](C[5a,6a]C[5a,6a]C[6a])(C[4,6a]C[4,6a]C[4,5])(N[5a]C[5a,6a]C){1|H<1>,2|C<4>,4|C<3>}    C[4,6a](C[5a,6a]C[5a,6a]N[5a])(C[4,6a]C[4,5]C[6a])(C[4,5]C[4,5]C[5]H){2|C<4>,2|O<2>,3|C<3>,3|H<1>}   1.3806    0.0000    1     1.3806     0.0000    1
818    846     SP2_SP2    Y    3:3:3:    4:3:3:    C[4,5]-3:C[5]-3:C[6a]-3:     C[4,5]-4:C[4,5]-3:C[5]-3:     C[5](C[4,5]C[4,5]2)(C[5]C[5,5]O)(C[6a]C[6a]2)    C[4,5](C[4,5]C[5,6a]2C[4])(C[4,5]C[5,5]C[4])(C[5]C[6a]C[5])     C[5](C[4,5]C[4,5]2)(C[5]C[5,5]O)(C[6a]C[6a]2){2|H<1>,7|C<3>}    C[4,5](C[4,5]C[5,6a]2C[4])(C[4,5]C[5,5]C[4])(C[5]C[6a]C[5]){1|O<1>,9|C<3>}   1.3561    0.0000    1     1.3561     0.0000    1
818    846     SP2_SP2    Y    3:3:4:    3:3:3:    C[5,6a]-3:C[4,6a]-3:S[5]-4:     C[4,6a]-3:C[4,6a]-3:C[5,6a]-3:     C[5,6a](C[5,6a]C[5,6a]C[5])(C[4,6a]C[4,6a]2)(S[5]C[5]OO)    C[4,6a](C[4,6a]C[4,6a]C[5,6a])2(C[5,6a]C[5,6a]S[5])     C[5,6a](C[5,6a]C[5,6a]C[5])(C[4,6a]C[4,6a]2)(S[5]C[5]OO){1|Si<4>,1|H<1>,4|C<3>}    C[4,6a](C[4,6a]C[4,6a]C[5,6a])2(C[5,6a]C[5,6a]S[5]){2|O<1>,2|S<4>,5|C<3>}   1.3535    0.0079    2     1.3535     0.0079    2
818    846     SP2_SP2    Y    3:3:4:    4:3:4:    C[5,6a]-3:C[4,5]-3:P-4:     C[4,5]-4:C[5]-3:C[4]-4:     C[5](C[5,6a]C[5,6a]C[6a])(C[4,5]C[4,5]C[4])(PO3)    C[4,5](C[4,5]C[5,6a]C[4]H)(C[5]C[5,6a]P)(C[4]C[4]HH)     C[5](C[5,6a]C[5,6a]C[6a])(C[4,5]C[4,5]C[4])(PO3){1|C<4>,2|C<3>,4|H<1>}    C[4,5](C[4,5]C[5,6a]C[4]H)(C[5]C[5,6a]P)(C[4]C[4]HH){4|C<3>}   1.3490    0.0000    1     1.3490     0.0000    1
818    846     SP2_SP2    Y    3:4:3:    4:4:3:    C[4,5]-3:C[5]-4:C-3:     C[4,5]-4:C[4]-4:C[5]-3:     C[5](C[4,5]C[4,5]C[4])(C[5]C[6a]C[5]H)(COO)    C[4,5](C[4,5]C[4]C[5]H)(C[4]C[4]CH)(C[5]C[5]C)     C[5](C[4,5]C[4,5]C[4])(C[5]C[6a]C[5]H)(COO){1|S<4>,2|C<3>,2|C<4>,3|H<1>}    C[4,5](C[4,5]C[4]C[5]H)(C[4]C[4]CH)(C[5]C[5]C){1|C<3>,2|S<4>,3|H<1>}   1.3408    0.0000    1     1.3408     0.0000    1
