863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3_3:O-3:O-3:O-3  665_6947_0  749_2683_0  1.4369  0.0068  12  1.4369  0.0068  12  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-2_2_2_2  N-3_0:O-3_2:O-3:O-3  665_6922_0  749_2652_0  1.4137  0.0069  4  1.4137  0.0069  4  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-2_2_2_2  N-3_2:N-3_2:O-3:O-3  665_6920_0  749_2416_0  1.4173  0.0011  4  1.4173  0.0011  4  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-2_2_2_2  N-3_2:O-3_2:O-3:O-3  665_6922_0  749_2650_0  1.4108  0.0003  2  1.4108  0.0003  2  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-2_2_2_2  N-3_3:N-3_3:O-3:O-3  665_6920_0  749_2307_0  1.4192  0.0000  1  1.4192  0.0000  1  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-3_2_2_2  N-3_2:O-3_3:O-3:O-3  665_6922_0  749_2303_0  1.4177  0.0117  12  1.4177  0.0117  12  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-3_2_2_2  N-3_2:O-3_3:O-3:O-3  665_6922_0  749_2337_0  1.4250  0.0118  2  1.4250  0.0118  2  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-3_2_2_2  N-3_3:O-3_3:O-3:O-3  665_6922_0  749_2360_0  1.4237  0.0020  4  1.4237  0.0020  4  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-3_2_2_2  O-3_2:O-3_3:O-3:O-3  665_6947_0  749_2655_0  1.4129  0.0078  20  1.4129  0.0078  20  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-3_3_2_2  O-3:O-3:O-6_3:O-6_3  665_6947_0  749_2662_0  1.4742  0.0126  2  1.4742  0.0126  2  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-3_3_2_2  O-3:O-3:O-6_3:O-6_3  665_6947_0  749_2671_0  1.4542  0.0226  6  1.4542  0.0226  6  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-3_3_2_2  O-3:O-3:O-6_3:O-6_3  665_6947_0  749_2676_0  1.4734  0.0166  4  1.4734  0.0166  4  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-3_3_2_2  O-3:O-3:O-6_3:S-3_3  665_6953_0  749_2675_0  1.4051  0.0344  2  1.4051  0.0344  2  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-3_3_2_2  O-3:O-3:O-6_3:S-3_3  665_6953_0  749_2690_0  1.4208  0.0050  2  1.4208  0.0050  2  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-3_3_2_2  O-3_0:O-3:O-3:O-5_3  665_6947_0  749_2660_0  1.4489  0.0097  2  1.4489  0.0097  2  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-3_3_2_2  O-3_0:O-3_0:O-3:O-3  665_6947_0  749_2665_0  1.4121  0.0065  2  1.4121  0.0065  2  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-3_3_2_2  O-3_0:O-3_0:O-3:O-3  665_6947_0  749_2685_0  1.4662  0.0080  3  1.4662  0.0080  3  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-3_3_2_2  O-3_3:O-3:O-3:O-5_3  665_6947_0  749_2686_0  1.4521  0.0126  2  1.4521  0.0126  2  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-3_3_2_2  O-3_3:O-3:O-3:S-12_3  665_6953_0  749_2907_0  1.4237  0.0093  4  1.4237  0.0093  4  
863  952  SP2_SP3  N  4:  2:2:1:1:  S-3_3_2_2  O-3_3:O-3_3:O-3:O-3  665_6947_0  749_2623_0  1.4108  0.0063  10  1.4108  0.0063  10  
863  952  SP2_SP3  N  4:  2:3:1:1:  S-2_2_2_2  N-3_2_0:O-3_2:O-3:O-3  665_6922_0  749_2651_0  1.4172  0.0034  6  1.4172  0.0034  6  
863  952  SP2_SP3  N  4:  2:3:1:1:  S-3_2_2_2  C-3_0_0:O-3_3:O-3:O-3  665_6768_0  749_2631_0  1.4219  0.0068  4  1.4219  0.0068  4  
863  952  SP2_SP3  N  4:  2:3:1:1:  S-3_2_2_2  C-3_0_0:O-3_3:O-3:O-3  665_6768_0  749_2639_0  1.4217  0.0058  2  1.4217  0.0058  2  
863  952  SP2_SP3  N  4:  2:3:1:1:  S-3_2_2_2  C[6a]-3_2_2:O-3_3:O-3:O-3  665_6889_0  749_2625_0  1.4288  0.0008  2  1.4288  0.0008  2  
863  952  SP2_SP3  N  4:  2:3:1:1:  S-3_2_2_2  N-3_0_0:O-3_2:O-3:O-3  665_6922_0  749_2653_0  1.4129  0.0053  4  1.4129  0.0053  4  
863  952  SP2_SP3  N  4:  2:3:1:1:  S-3_3_2_2  N-3_0_0:O-3_3:O-3:O-3  665_6922_0  749_2641_0  1.4272  0.0018  2  1.4272  0.0018  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_0_0_0:N-3_2:O-3:O-3  665_6766_0  749_2357_0  1.4381  0.0020  2  1.4381  0.0020  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_0_0_0:N-3_2:O-3:O-3  665_6766_0  749_2358_0  1.4411  0.0001  2  1.4411  0.0001  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_0_0_0:N-3_2:O-3:O-3  665_6766_0  749_2375_0  1.4306  0.0148  6  1.4306  0.0148  6  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_0_0_0:N-3_2:O-3:O-3  665_6766_0  749_2376_0  1.4180  0.0134  2  1.4180  0.0134  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_0_0_0:N-3_2:O-3:O-3  665_6766_0  749_2418_0  1.4359  0.0041  4  1.4359  0.0041  4  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_0_0_0:N-3_3:O-3:O-3  665_6766_0  749_2420_0  1.4474  0.0055  2  1.4474  0.0055  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_0_0_0:O-3_2:O-3:O-3  665_6768_0  749_2629_0  1.4134  0.0046  14  1.4134  0.0046  14  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_0_0_0:O-3_2:O-3:O-3  665_6768_0  749_2630_0  1.4184  0.0113  32  1.4184  0.0113  32  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_0_0_0:O-3_2:O-3:O-3  665_6768_0  749_2633_0  1.4141  0.0018  2  1.4141  0.0018  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_0_0_0:O-3_2:O-3:O-3  665_6768_0  749_2637_0  1.4137  0.0099  12  1.4137  0.0099  12  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_0_0_0:O-3_2:O-3:O-3  665_6768_0  749_2638_0  1.4225  0.0188  58  1.4225  0.0188  58  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_0_0_0:O-3_2:O-3:O-3  665_6768_0  749_2647_0  1.4091  0.0070  142  1.4091  0.0070  142  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_0_0_0:O-3_2:O-3:O-3  665_6768_0  749_2648_0  1.4187  0.0153  40  1.4187  0.0153  40  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_3_0_0:N-3_2:O-3:O-3  665_6766_0  749_2373_0  1.4401  0.0012  2  1.4401  0.0012  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_3_0_0:N-3_2:O-3:O-3  665_6766_0  749_2374_0  1.4275  0.0047  6  1.4275  0.0047  6  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_3_0_0:N-3_3:O-3:O-3  665_6766_0  749_2356_0  1.4366  0.0097  2  1.4366  0.0097  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_3_0_0:O-3_2:O-3:O-3  665_6768_0  749_2644_0  1.4115  0.0016  2  1.4115  0.0016  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_3_0_0:O-3_2:O-3:O-3  665_6768_0  749_2645_0  1.4210  0.0053  4  1.4210  0.0053  4  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_3_3_3:N-3_2:O-3:O-3  665_6766_0  749_2336_0  1.4369  0.0007  2  1.4369  0.0007  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_2_2_2  C-3_3_3_3:N-3_2:O-3:O-3  665_6766_0  749_2355_0  1.4356  0.0102  4  1.4356  0.0102  4  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-12_3:O-3:O-3  665_6768_0  749_2680_0  1.3804  0.0076  2  1.3804  0.0076  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3:O-3:O-5_3  665_6768_0  749_2687_0  1.4263  0.0068  8  1.4263  0.0068  8  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3:O-3:O-6_3  665_6768_0  749_2611_0  1.4095  0.0038  2  1.4095  0.0038  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3:O-3:O-6_3  665_6768_0  749_2614_0  1.4042  0.0043  4  1.4042  0.0043  4  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3:O-3:O-6_3  665_6768_0  749_2615_0  1.4095  0.0059  4  1.4095  0.0059  4  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3:O-3:O-6_3  665_6768_0  749_2681_0  1.4317  0.0005  2  1.4317  0.0005  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3:O-3:S-3_3  665_6778_0  749_2890_0  1.4374  0.0010  2  1.4374  0.0010  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3_0:O-3:O-3  665_6768_0  749_2663_0  1.4288  0.0016  4  1.4288  0.0016  4  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3_3:O-3:O-3  665_6768_0  749_2607_0  1.4190  0.0090  4  1.4190  0.0090  4  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3_3:O-3:O-3  665_6768_0  749_2609_0  1.4247  0.0044  8  1.4247  0.0044  8  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3_3:O-3:O-3  665_6768_0  749_2610_0  1.4177  0.0073  2  1.4177  0.0073  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3_3:O-3:O-3  665_6768_0  749_2612_0  1.4229  0.0036  4  1.4229  0.0036  4  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3_3:O-3:O-3  665_6768_0  749_2613_0  1.4180  0.0009  2  1.4180  0.0009  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3_3:O-3:O-3  665_6768_0  749_2617_0  1.4202  0.0008  2  1.4202  0.0008  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3_3:O-3:O-3  665_6768_0  749_2618_0  1.4191  0.0026  2  1.4191  0.0026  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3_3:O-3:O-3  665_6768_0  749_2626_0  1.4011  0.0224  2  1.4011  0.0224  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3_3:O-3:O-3  665_6768_0  749_2627_0  1.4260  0.0036  4  1.4260  0.0036  4  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3_3:O-3:O-3  665_6768_0  749_2628_0  1.4257  0.0038  4  1.4257  0.0038  4  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3_3:O-3:O-3  665_6768_0  749_2634_0  1.4247  0.0057  6  1.4247  0.0057  6  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3_3:O-3:O-3  665_6768_0  749_2678_0  1.4241  0.0024  2  1.4241  0.0024  2  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3_3:O-3:O-3  665_6768_0  749_2684_0  1.4033  0.0072  4  1.4033  0.0072  4  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_0_0_0:O-3_3:O-3:O-3  665_6768_0  749_2688_0  1.4179  0.0063  4  1.4179  0.0063  4  
863  952  SP2_SP3  N  4:  2:4:1:1:  S-3_3_2_2  C-3_3_3_3:O-3_3:O-3:O-3  665_6768_0  749_2636_0  1.4308  0.0013  2  1.4308  0.0013  2  
863  952  SP2_SP3  N  4:  2:4:2:1:  S-3_2_2_2  C-3_0_0_0:N-3_3:O-3_2:O-3  665_6766_0  749_2646_0  1.4400  0.0000  1  1.4400  0.0000  1  
863  952  SP2_SP3  N  4:  2:4:2:1:  S-3_3_3_2  C-3_0_0_0:O-3_0:O-3:O-6_3  665_6768_0  749_2616_0  1.4134  0.0000  1  1.4134  0.0000  1  
