727    914     SP2_SP2    Y    3:3:2:    3:3:    C[5a,6]-2_2_2:N[5a]-2_2_0:N[6]-2_2     C[5a,6]-2_2_2:C[5a,6]-2_2_2     C[5a,6](C[5a,6]C[5a,6a]N[6])(N[5a]C[5a,6a]H)(N[6]C[5a,6])    N[6](C[5a,6]C[5a,6]N[5a])(C[5a,6]N[5a,6]N[5a])     C[5a,6](C[5a,6]C[5a,6a]N[6])(N[5a]C[5a,6a]H)(N[6]C[5a,6]){1|N<2>,1|N<3>,2|C<3>}    N[6](C[5a,6]C[5a,6]N[5a])(C[5a,6]N[5a,6]N[5a]){1|H<1>,2|C<3>,3|N<2>}   1.3047    0.0000    1     1.3047     0.0000    1
727    914     SP2_SP2    Y    3:3:2:    3:3:    C[5a,6]-2_2_2:N[5a]-2_2_0:N[6]-2_2     C[5a,6]-2_2_2:C[6]-2_2_0     C[5a,6](C[5a,6]C[6,6]N[5a])(N[5a]C[5a]H)(N[6]C[6])    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6,6]H)     C[5a,6](C[5a,6]C[6,6]N[5a])(N[5a]C[5a]H)(N[6]C[6]){2|H<1>,2|N<3>}    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6,6]H){1|C<4>,1|H<1>,1|N<2>,2|C<3>}   1.3672    0.0000    1     1.3672     0.0000    1
727    914     SP2_SP2    Y    3:3:2:    3:3:    C[5a,6]-2_2_2:N[5a]-2_2_0:N[6]-2_2     C[5a,6]-2_2_2:C[6]-2_2_0     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]H)(N[6]C[6])    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H)     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]H)(N[6]C[6]){1|N<3>,1|S<1>,3|H<1>}    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H){1|N<3>,2|C<3>,2|H<1>}   1.3586    0.0000    1     1.3592     0.0063    31
727    914     SP2_SP2    Y    3:3:2:    3:3:    C[5a,6]-2_2_2:N[5a]-2_2_0:N[6]-2_2     C[5a,6]-2_2_2:C[6]-2_2_0     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]H)(N[6]C[6])    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H)     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]H)(N[6]C[6]){2|H<1>,2|N<3>}    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H){1|N<2>,2|C<3>,2|H<1>}   1.3602    0.0065    23     1.3592     0.0063    31
727    914     SP2_SP2    Y    3:3:2:    3:3:    C[5a,6]-2_2_2:N[5a]-2_2_0:N[6]-2_2     C[5a,6]-2_2_2:C[6]-2_2_0     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]H)(N[6]C[6])    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H)     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]H)(N[6]C[6]){2|N<3>,3|H<1>}    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H){1|N<3>,2|C<3>,2|H<1>}   1.3562    0.0053    7     1.3592     0.0063    31
727    914     SP2_SP2    Y    3:3:2:    3:3:    C[5a,6]-2_2_2:N[5a]-2_2_0:N[6]-2_2     C[5a,6]-2_2_2:C[6]-2_2_2     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]H)(N[6]C[6])    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]N)     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]H)(N[6]C[6]){1|H<1>,3|N<3>}    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]N){1|N<2>,2|C<3>,2|H<1>}   1.3534    0.0089    2     1.3534     0.0089    2
727    914     SP2_SP2    Y    3:3:2:    3:3:    C[5a,6]-2_2_2:N[5a]-2_2_0:N[6]-2_2     C[5a,6]-3_2_2:C[6]-3_2_0     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]H)(N[6]C[6])    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H)     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]H)(N[6]C[6]){1|N<3>,1|O<2>,2|H<1>}    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H){1|C<4>,1|H<1>,1|N<2>,2|C<3>}   1.3554    0.0012    2     1.3554     0.0012    2
727    914     SP2_SP2    Y    3:3:2:    3:3:    C[5a,6]-2_2_2:N[5a]-2_2_2:N[6]-2_2     C[5a,6]-2_2_2:C[6]-2_2_2     C[5a,6](C[5a,6]C[5a]C[6])(N[5a]C[6a]N[5a])(N[6]C[6])    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]O)     C[5a,6](C[5a,6]C[5a]C[6])(N[5a]C[6a]N[5a])(N[6]C[6]){1|N<2>,1|N<3>,1|O<2>,1|S<2>,2|C<3>}    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]O){1|N<2>,4|C<3>}   1.3693    0.0000    1     1.3693     0.0000    1
727    914     SP2_SP2    Y    3:3:2:    3:3:    C[5a,6]-2_2_2:N[5a]-3_2_2:N[6]-2_2     C[5a,6]-2_2_2:C[6]-2_2_0     C[5a,6](C[5a,6]C[5a]C[6])(N[5a]N[5a]C)(N[6]C[6])    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H)     C[5a,6](C[5a,6]C[5a]C[6])(N[5a]N[5a]C)(N[6]C[6]){1|N<3>,1|S<1>,2|H<1>}    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H){1|C<4>,1|H<1>,1|N<2>,2|C<3>}   1.3479    0.0000    1     1.3526     0.0067    2
727    914     SP2_SP2    Y    3:3:2:    3:3:    C[5a,6]-2_2_2:N[5a]-3_2_2:N[6]-2_2     C[5a,6]-2_2_2:C[6]-2_2_0     C[5a,6](C[5a,6]C[5a]C[6])(N[5a]N[5a]C)(N[6]C[6])    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H)     C[5a,6](C[5a,6]C[5a]C[6])(N[5a]N[5a]C)(N[6]C[6]){1|N<3>,1|S<1>,2|H<1>}    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H){1|N<2>,2|C<3>,2|C<4>}   1.3573    0.0000    1     1.3526     0.0067    2
727    914     SP2_SP2    Y    3:3:2:    3:3:    C[5a,6]-2_2_2:N[5a]-3_2_2:N[6]-2_2     C[5a,6]-2_2_2:C[6]-2_2_0     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]C)(N[6]C[6])    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H)     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]C)(N[6]C[6]){1|Ag<2>,1|N<2>,1|N<3>,2|H<1>}    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H){1|C<4>,1|H<1>,1|N<3>,2|C<3>}   1.3635    0.0000    1     1.3563     0.0101    33
727    914     SP2_SP2    Y    3:3:2:    3:3:    C[5a,6]-2_2_2:N[5a]-3_2_2:N[6]-2_2     C[5a,6]-2_2_2:C[6]-2_2_0     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]C)(N[6]C[6])    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H)     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]C)(N[6]C[6]){1|Ag<2>,2|H<1>,2|N<3>}    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H){1|C<4>,1|N<3>,1|O<1>,2|C<3>}   1.3449    0.0005    2     1.3563     0.0101    33
727    914     SP2_SP2    Y    3:3:2:    3:3:    C[5a,6]-2_2_2:N[5a]-3_2_2:N[6]-2_2     C[5a,6]-2_2_2:C[6]-2_2_0     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]C)(N[6]C[6])    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H)     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]C)(N[6]C[6]){1|Ag<3>,2|H<1>,2|N<3>}    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H){1|C<4>,1|H<1>,1|N<3>,2|C<3>}   1.3511    0.0062    3     1.3563     0.0101    33
727    914     SP2_SP2    Y    3:3:2:    3:3:    C[5a,6]-2_2_2:N[5a]-3_2_2:N[6]-2_2     C[5a,6]-2_2_2:C[6]-2_2_0     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]C)(N[6]C[6])    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H)     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a]C)(N[6]C[6]){1|C<3>,1|N<3>,2|H<1>}    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H){1|Rh<8>,1|C<4>,1|N<2>,2|C<3>}   1.3376    0.0000    1     1.3563     0.0101    33
