490    996     SP3_SP3    N    4:1:1:1:    4:4:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:C[4]-5_3_3_3:N[4]-5_3_3_3     C(Si[4]C[4]N[4]C)(H)3    Si[4](C[4]Ga[4]Si2)(N[4]Ga[4]CC)(CH3)2     C(Si[4]C[4]N[4]C)(H)3    Si[4](C[4]Ga[4]Si2)(N[4]Ga[4]CC)(CH3)2{1|Cr<13>,2|C<4>}   1.8643    0.0048    2     1.8651     0.0041    8
490    996     SP3_SP3    N    4:1:1:1:    4:4:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:C[4]-5_3_3_3:N[4]-5_3_3_3     C(Si[4]C[4]N[4]C)(H)3    Si[4](C[4]Ga[4]Si2)(N[4]Ga[4]CC)(CH3)2     C(Si[4]C[4]N[4]C)(H)3    Si[4](C[4]Ga[4]Si2)(N[4]Ga[4]CC)(CH3)2{1|Fe<11>,2|C<4>}   1.8661    0.0073    2     1.8651     0.0041    8
490    996     SP3_SP3    N    4:1:1:1:    4:4:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:C[4]-5_3_3_3:N[4]-5_3_3_3     C(Si[4]C[4]N[4]C)(H)3    Si[4](C[4]Ga[4]Si2)(N[4]Ga[4]CC)(CH3)2     C(Si[4]C[4]N[4]C)(H)3    Si[4](C[4]Ga[4]Si2)(N[4]Ga[4]CC)(CH3)2{1|Ru<11>,2|C<4>}   1.8675    0.0029    2     1.8651     0.0041    8
490    996     SP3_SP3    N    4:1:1:1:    4:4:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:C[4]-5_3_3_3:N[4]-5_3_3_3     C(Si[4]C[4]N[4]C)(H)3    Si[4](C[4]Ga[4]Si2)(N[4]Ga[4]CC)(CH3)2     C(Si[4]C[4]N[4]C)(H)3    Si[4](C[4]Ga[4]Si2)(N[4]Ga[4]CC)(CH3)2{1|V<13>,2|C<4>}   1.8626    0.0028    2     1.8651     0.0041    8
490    996     SP3_SP3    N    4:1:1:1:    4:4:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:Ge[4,4]-3_3_3_2:Ge[4]-3_3_3_3     C(Si[4]Ge[4,4]Ge[4]C)(H)3    Si[4](Ge[4,4]Ge[4]Si[4]C[4])(Ge[4]Ge[4]Si2)(CH3)2     C(Si[4]Ge[4,4]Ge[4]C)(H)3    Si[4](Ge[4,4]Ge[4]Si[4]C[4])(Ge[4]Ge[4]Si2)(CH3)2{2|Si<4>,2|C<3>,2|C<4>}   1.8750    0.0031    2     1.8750     0.0031    2
490    996     SP3_SP3    N    4:1:1:1:    4:4:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:Ge[4,4]-3_3_3_2:Si[4]-3_3_3_3     C(Si[4]Ge[4,4]Si[4]C)(H)3    Si[4](Ge[4,4]Si[4]2C[4])(Si[4]Si[4]Si2)(CH3)2     C(Si[4]Ge[4,4]Si[4]C)(H)3    Si[4](Ge[4,4]Si[4]2C[4])(Si[4]Si[4]Si2)(CH3)2{2|Si<4>,2|C<3>,2|C<4>}   1.8787    0.0013    2     1.8787     0.0013    2
490    996     SP3_SP3    N    4:1:1:1:    4:4:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:Si[4]-3_3_3_2:Si[4]-3_3_3_2     C(Si[4]Si[4]2C)(H)3    Si[4](Si[4]Ge[4]Si2)2(CH3)2     C(Si[4]Si[4]2C)(H)3    Si[4](Si[4]Ge[4]Si2)2(CH3)2{1|Ti<12>}   1.8866    0.0042    4     1.8866     0.0042    4
490    996     SP3_SP3    N    4:1:1:1:    4:4:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:Si[4]-3_3_3_3:Si[4]-3_3_3_3     C(Si[4]Si[4]2C)(H)3    Si[4](Si[4]Si[3,4]Si2)2(CH3)2     C(Si[4]Si[4]2C)(H)3    Si[4](Si[4]Si[3,4]Si2)2(CH3)2{2|Si<4>}   1.8824    0.0017    2     1.8824     0.0017    2
490    996     SP3_SP3    N    4:1:1:1:    4:4:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:Si[4]-3_3_3_3:Si[4]-3_3_3_3     C(Si[4]Si[4]2C)(H)3    Si[4](Si[4]Si[4]Si2)2(CH3)2     C(Si[4]Si[4]2C)(H)3    Si[4](Si[4]Si[4]Si2)2(CH3)2{2|C<4>}   1.8797    0.0008    2     1.8797     0.0008    2
490    996     SP3_SP3    N    4:3:1:1:    3:3:4:3:    C-3_2_0:H-3:H-3:Si[4]-3_3_3_2     C-3_2_0_0:N-3_3_2:N[4]-3_3_3:N[4]-3_3_3     C(Si[4]N[4]2N)(CCH)(H)2    Si[4](N[4]C[4]C)2(CCHH)(NCC)     C(Si[4]N[4]2N)(CCH)(H)2    Si[4](N[4]C[4]C)2(CCHH)(NCC){1|C<3>,1|C<4>}   1.8650    0.0000    1     1.8650     0.0000    1
