958    960     SP-NON_SP3    N    2:2:    4:2:    O-1_0:O-1_0     H-0_0:P-1_1_1_0     H(OP)2    O(PC[6a]OO)(HO)     H(OP)2    O(PC[6a]OO)(HO)   1.2247    0.1043    10     1.2247     0.1043    10
958    960     SP-NON_SP3    N    2:2:    4:2:    O-1_0:O-1_0     H-0_0:P[6]-1_0_0_0     H(OP[6])(OP)    O(P[6]C[6]O[6]O)(HO)     H(OP[6])(OP)    O(P[6]C[6]O[6]O)(HO)   1.2650    0.0000    1     1.2650     0.0000    1
958    960     SP-NON_SP3    N    2:3:    3:2:    O-0_0_0:O-0_0     H-0_0:N[5a]-1_1_0     H(ON[5a])(OCH)    O(N[5a]C[5a]N[5a])(HO)     H(ON[5a])(OCH)    O(N[5a]C[5a]N[5a])(HO)   1.0714    0.0000    1     1.0714     0.0000    1
958    960     SP-NON_SP3    N    3:2:    2:1:    O-0_0:O-1_0_0     H-0_0:H-0     H(OCH)(OH)    O(HO)(H)     H(OCH)(OH)    O(HO)(H)   1.1647    0.0000    1     1.1647     0.0000    1
958    960     SP-NON_SP3    N    3:2:    2:1:    O-0_0_0:O-0_0     H-0_0:H-0     H(OHH)(OH)    O(HO)(H)     H(OHH)(OH)    O(HO)(H)   0.8815    0.0719    3     0.8815     0.0719    3
958    960     SP-NON_SP3    N    3:2:    2:3:    N[6]-1_1_0:O-1_0     C-2_1_0:H-0_0     H(N[6]C[6]2)(OC)    O(HN[6])(CCO)     H(N[6]C[6]2)(OC)    O(HN[6])(CCO)   1.4179    0.0208    4     1.4179     0.0208    4
958    960     SP-NON_SP3    N    3:2:    3:2:    N[6]-1_1_0:O-1_0     C-1_1_0:H-0_0     H(N[6]C[6]2)(OC)    O(CC[6a]O)(HN[6])     H(N[6]C[6]2)(OC)    O(CC[6a]O)(HN[6])   1.4019    0.0400    6     1.4019     0.0400    6
958    960     SP-NON_SP3    N    3:2:    3:2:    N[6]-1_1_0:O-1_0     C[4a]-1_1_0:H-0_0     H(N[6]C[6]2)(OC[4a])    O(C[4a]C[4a]2)(HN[6])     H(N[6]C[6]2)(OC[4a])    O(C[4a]C[4a]2)(HN[6])   1.3825    0.0000    1     1.3825     0.0000    1
958    960     SP-NON_SP3    N    3:2:    3:2:    N[6]-1_1_0:O-1_0     C[6a]-1_1_0:H-0_0     H(N[6]C[6]2)(OC[6a])    O(C[6a]C[6a]2)(HN[6])     H(N[6]C[6]2)(OC[6a])    O(C[6a]C[6a]2)(HN[6])   1.4124    0.0152    11     1.4124     0.0152    11
958    960     SP-NON_SP3    N    3:2:    3:2:    O-0_0_0:O-1_0     C-1_1_0:H-0_0     H(OHH)(OC)    O(CCO)(HO)     H(OHH)(OC)    O(CCO)(HO)   1.1773    0.1652    3     1.1773     0.1652    3
958    960     SP-NON_SP3    N    3:2:    3:2:    O-0_0_0:O-1_0     C-1_1_0:H-0_0     H(OHH)(OC)    O(CC[6a]O)(HO)     H(OHH)(OC)    O(CC[6a]O)(HO)   1.1169    0.0540    3     1.1169     0.0540    3
958    960     SP-NON_SP3    N    3:2:    4:2:    O-0_0_0:O-0_0     H-0_0:S-1_1_0_0     H(OHH)(OS)    O(SCOO)(HO)     H(OHH)(OS)    O(SCOO)(HO)   1.2949    0.0000    1     1.2949     0.0000    1
958    960     SP-NON_SP3    N    3:2:    4:2:    O-0_0_0:O-1_0     H-0_0:P-1_0_0_0     H(OCH)(OP)    O(PO3)(HO)     H(OCH)(OP)    O(PO3)(HO)   1.1104    0.0694    4     1.1104     0.0694    4
958    960     SP-NON_SP3    N    3:2:    4:2:    O-0_0_0:O-1_0     H-0_0:P-1_0_0_0     H(OHH)(OP)    O(PCOO)(HO)     H(OHH)(OP)    O(PCOO)(HO)   1.2347    0.2439    2     1.2347     0.2439    2
958    960     SP-NON_SP3    N    3:2:    4:2:    O-0_0_0:O-1_0     H-0_0:P-1_0_0_0     H(OHH)(OP)    O(PO3)(HO)     H(OHH)(OP)    O(PO3)(HO)   1.0481    0.0000    1     1.0481     0.0000    1
958    960     SP-NON_SP3    N    4:2:    2:1:    O-0_0_0_0:O-0_0     H-0_0:H-0     H(OHHO)(OH)    O(HO)(H)     H(OHHO)(OH)    O(HO)(H)   0.8338    0.0000    1     0.8338     0.0000    1
958    960     SP-NON_SP3    N    4:2:    2:3:    N[6]-0_0_0_0:O-1_0     C-1_0_0:H-0_0     H(N[6]C[6]2C)(OC)    O(HN[6])(CCO)     H(N[6]C[6]2C)(OC)    O(HN[6])(CCO)   1.4300    0.0137    2     1.4300     0.0137    2
958    960     SP-NON_SP3    N    4:2:    3:2:    N-0_0_0_0:O-1_0     C-1_0_0:H-0_0     H(NC3)(OC)    O(CC[5]O)(HN)     H(NC3)(OC)    O(CC[5]O)(HN)   1.4264    0.0000    1     1.4264     0.0000    1
958    960     SP-NON_SP3    N    4:2:    3:2:    N-0_0_0_0:O-1_0     C-1_1_0:H-0_0     H(NH3)(OC)    O(CC[5]O)(HN)     H(NH3)(OC)    O(CC[5]O)(HN)   1.3800    0.0286    2     1.3800     0.0286    2
959    960     SP-NON_SP3    N    3:3:3:2:1:    5:4:    H-0:N[5,5]-1_1_0:N[5]-1_0_0:N[5]-1_0_0:O-0_0     C-0_0_0_0:P[5,5]-0_0_0_0_0     P[5,5](N[5,5]C[5,6a]2)(N[5]C[5,6a]C)2(OC)(H)    O(P[5,5]N[5,5]N[5]2H)(CC3)     P[5,5](N[5,5]C[5,6a]2)(N[5]C[5,6a]C)2(OC)(H){4|C<3>}    O(P[5,5]N[5,5]N[5]2H)(CC3)   1.6130    0.0000    1     1.6130     0.0000    1
960    960     SP2_SP2    N    2:2:    2:2:    C-3_0:O-2_0     C-3_0:O-2_0     O(CC)(OC)    O(CC)(OC)     O(CC)(OC)    O(CC)(OC)   1.4594    0.0000    1     1.4594     0.0000    1
960    960     SP2_SP2    N    3:2:    3:2:    C-1_0_0:O-1_0     C-1_0_0:O-1_0     O(CCO)(OC)    O(CCO)(OC)     O(CCO)(OC)    O(CCO)(OC)   1.4230    0.0000    1     1.4230     0.0000    1
960    960     SP2_SP2    N    3:2:    4:2:    C-1_0_0:O-0_0     C-0_0_0_0:O-1_0     O(CC[6]O)(OC)    O(CC3)(OC)     O(CC[6]O)(OC)    O(CC3)(OC)   1.4594    0.0000    1     1.4594     0.0000    1
960    960     SP2_SP3    N    3:2:    2:1:    C-1_1_0:O-0_0     H-0:O-1_0     O(CC[6a]O)(OH)    O(OC)(H)     O(CC[6a]O)(OH)    O(OC)(H)   1.4556    0.0000    1     1.4556     0.0000    1
960    960     SP2_SP3    N    4:2:    3:2:    C-0_0_0_0:O-1_0     C-1_0_0:O-0_0     O(CCCO)(OC)    O(CCO)(OC)     O(CCCO)(OC)    O(CCO)(OC)   1.4690    0.0000    1     1.4690     0.0000    1
960    960     SP3_SP3    N    2:1:    2:1:    C-0:O-3_0     C-0:O-3_0     O(OC)(C)    O(OC)(C)     O(OC)(C)    O(OC)(C)   1.5591    0.0000    1     1.5591     0.0000    1
960    960     SP3_SP3    N    2:1:    2:1:    H-0:O-0_0     H-0:O-0_0     O(OH)(H)    O(OH)(H)     O(OH)(H)    O(OH)(H)   1.4607    0.0122    26     1.4607     0.0122    26
960    960     SP3_SP3    N    2:2:    2:2:    O-0_0:O-0_0     O-0_0:O-0_0     O(OO)2    O(OO)2     O(OO)2    O(OO)2   1.7131    0.0000    1     1.7131     0.0000    1
