670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|H<1>,2|C<3>}   1.3425    0.0022    3     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|N<2>,2|C<4>}   1.3211    0.0003    2     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|N<2>,2|H<1>}   1.2995    0.0000    1     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|N<2>,2|N<3>}   1.3382    0.0106    41     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|N<2>,2|O<2>}   1.3439    0.0000    1     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|O<2>,2|C<3>}   1.3546    0.0113    3     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|S<2>,2|C<3>}   1.3378    0.0000    1     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){2|Cl<1>,1|C<3>}   1.3323    0.0000    1     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){3|C<3>}   1.3516    0.0077    4     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]N[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]N[6a])2(NHH){1|C<3>}   1.3294    0.0000    1     1.3294     0.0000    1
670    762     3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     N[6]-2:N[6]-3:N-3:     N    N(C[6]N[6]2)(H)2    C[6](N[6]C[5a,6])(N[6]C[6]H)(NHH)     N(C[6]N[6]2)(H)2    C[6](N[6]C[5a,6])(N[6]C[6]H)(NHH){1|C<3>,1|N<3>,1|O<2>}   1.3326    0.0034    3     1.3333     0.0035    7
670    762     3:1:1:    2:3:3:    C[6]-3:H-1:H-1:     N[6]-2:N[6]-3:N-3:     N    N(C[6]N[6]2)(H)2    C[6](N[6]C[5a,6])(N[6]C[6]H)(NHH)     N(C[6]N[6]2)(H)2    C[6](N[6]C[5a,6])(N[6]C[6]H)(NHH){1|C<3>,2|N<3>}   1.3326    0.0031    2     1.3333     0.0035    7
