818    971     2:2:2:    3:4:    N[5]-2:O[5]-2:O-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(O[5]P[5])(OC)    O(C[5]N[5]O[5])(CCCH)     C[5](N[5]N[5])(O[5]P[5])(OC){1|C<3>,1|N<2>,2|O<2>}    O(C[5]N[5]O[5])(CCCH)   1.3110    0.0000    1     1.3166     0.0079    2
818    971     2:2:2:    3:4:    N[5]-2:O[5]-2:O-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(O[5]P[5])(OC)    O(C[5]N[5]O[5])(CCCH)     C[5](N[5]N[5])(O[5]P[5])(OC){1|C<3>,1|N<3>,2|O<2>}    O(C[5]N[5]O[5])(CCCH)   1.3222    0.0000    1     1.3166     0.0079    2
818    971     2:2:2:    3:4:    N[5]-2:S[5]-2:O-2:     C[5]-3:C-4:     N    C[5](N[5]C[5,6])(S[5]C[5])(OC)    O(C[5]N[5]S[5])(CH3)     C[5](N[5]C[5,6])(S[5]C[5])(OC){1|H<1>,3|C<3>}    O(C[5]N[5]S[5])(CH3)   1.3304    0.0000    1     1.3304     0.0000    1
818    971     2:2:2:    3:4:    N[5]-2:S[5]-2:O-2:     C[5]-3:C-4:     N    C[5](N[5]C[5,6a])(S[5]C[5,6a])(OC)    O(C[5]N[5]S[5])(CCHH)     C[5](N[5]C[5,6a])(S[5]C[5,6a])(OC){2|C<3>}    O(C[5]N[5]S[5])(CCHH)   1.3371    0.0047    4     1.3371     0.0047    4
818    971     2:2:2:    3:4:    N[5]-2:S[5]-2:O-2:     C[5]-3:C-4:     N    C[5](N[5]C[5])(S[5]C[5])(OC)    O(C[5]N[5]S[5])(CCHH)     C[5](N[5]C[5])(S[5]C[5])(OC){1|C<4>,1|H<1>}    O(C[5]N[5]S[5])(CCHH)   1.3307    0.0000    1     1.3307     0.0000    1
818    971     2:2:2:    3:4:    N[5]-2:S[5]-2:O-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(S[5]C[5])(OC)    O(C[5]N[5]S[5])(CCHH)     C[5](N[5]N[5])(S[5]C[5])(OC){1|H<1>,1|S<1>}    O(C[5]N[5]S[5])(CCHH)   1.3208    0.0000    1     1.3291     0.0118    2
818    971     2:2:2:    3:4:    N[5]-2:S[5]-2:O-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(S[5]C[5])(OC)    O(C[5]N[5]S[5])(CCHH)     C[5](N[5]N[5])(S[5]C[5])(OC){1|N<3>}    O(C[5]N[5]S[5])(CCHH)   1.3374    0.0000    1     1.3291     0.0118    2
818    971     2:2:2:    3:4:    N[5]-2:S[5]-2:O-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(S[5]C[5])(OC)    O(C[5]N[5]S[5])(CH3)     C[5](N[5]N[5])(S[5]C[5])(OC){1|C<4>,1|O<1>}    O(C[5]N[5]S[5])(CH3)   1.3299    0.0016    2     1.3294     0.0043    6
818    971     2:2:2:    3:4:    N[5]-2:S[5]-2:O-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(S[5]C[5])(OC)    O(C[5]N[5]S[5])(CH3)     C[5](N[5]N[5])(S[5]C[5])(OC){1|C<4>}    O(C[5]N[5]S[5])(CH3)   1.3368    0.0000    1     1.3294     0.0043    6
818    971     2:2:2:    3:4:    N[5]-2:S[5]-2:O-2:     C[5]-3:C-4:     N    C[5](N[5]N[5])(S[5]C[5])(OC)    O(C[5]N[5]S[5])(CH3)     C[5](N[5]N[5])(S[5]C[5])(OC){1|H<1>,1|O<1>}    O(C[5]N[5]S[5])(CH3)   1.3265    0.0021    3     1.3294     0.0043    6
818    971     2:2:2:    3:4:    N[5a]-2:N[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](N[5a]C[5a,6a])(N[5a]N[5a,6a])(OC)    O(C[5a]N[5a]2)(CCHH)     C[5a](N[5a]C[5a,6a])(N[5a]N[5a,6a])(OC){1|C<3>,1|N<3>}    O(C[5a]N[5a]2)(CCHH)   1.3411    0.0000    1     1.3411     0.0000    1
818    971     2:2:2:    3:4:    N[5a]-2:N[5a]-2:O-2:     C[5a]-3:C-4:     N    C[5a](N[5a]C[5a])(N[5a]O[5a])(OC)    O(C[5a]N[5a]2)(CH3)     C[5a](N[5a]C[5a])(N[5a]O[5a])(OC){1|N<2>}    O(C[5a]N[5a]2)(CH3)   1.3340    0.0000    1     1.3340     0.0000    1
818    971     2:3:2:    3:4:    N[5]-2:C[5]-3:O-2:     C[5]-3:C-4:     N    C[5](N[5]C[5,5])(C[5]C[5]H)(OC)    O(C[5]C[5]N[5])(CCHH)     C[5](N[5]C[5,5])(C[5]C[5]H)(OC){3|C<3>}    O(C[5]C[5]N[5])(CCHH)   1.3497    0.0000    1     1.3497     0.0000    1
818    971     2:3:2:    3:4:    O[5]-2:C[5]-3:O-2:     C[5]-3:C-4:     N    C[5](O[5]B[5,6,6])(C[5]C[5]C)(OC)    O(C[5]C[5]O[5])(CCHH)     C[5](O[5]B[5,6,6])(C[5]C[5]C)(OC){1|C<3>,2|C<4>}    O(C[5]C[5]O[5])(CCHH)   1.3252    0.0000    1     1.3252     0.0000    1
818    971     3:2:2:    3:1:    C[5]-3:N[5]-2:O-2:     C[5]-3:H-1:     N    C[5](C[5]S[5]C)(N[5]C[5])(OH)    O(C[5]C[5]N[5])(H)     C[5](C[5]S[5]C)(N[5]C[5])(OH){1|C<3>}    O(C[5]C[5]N[5])(H)   1.3412    0.0000    1     1.3412     0.0000    1
818    971     3:2:2:    3:1:    C[5]-3:N[5]-2:O-2:     C[5]-3:H-1:     N    C[5](C[5]S[5]H)(N[5]C[5])(OH)    O(C[5]C[5]N[5])(H)     C[5](C[5]S[5]H)(N[5]C[5])(OH){1|C<3>}    O(C[5]C[5]N[5])(H)   1.3434    0.0000    1     1.3434     0.0000    1
818    971     3:2:2:    3:1:    C[5a,6]-3:N[5a]-2:O-2:     C[5a]-3:H-1:     N    C[5a](C[5a,6]C[5a,6]C[6])(N[5a]N[5a])(OH)    O(C[5a]C[5a,6]N[5a])(H)     C[5a](C[5a,6]C[5a,6]C[6])(N[5a]N[5a])(OH){1|C<3>,2|C<4>,2|H<1>}    O(C[5a]C[5a,6]N[5a])(H)   1.3252    0.0234    2     1.3252     0.0234    2
