818    980     4:3:2:    3:3:    C[5]-4:N[5]-3:Se-2:     C[5]-3:C[6a]-3:     N    C[5](C[5]N[5]CC)(N[5]C[5]O)(SeC[6a])    Se(C[5]C[5]N[5])(C[6a]C[6a]2)     C[5](C[5]N[5]CC)(N[5]C[5]O)(SeC[6a]){3|C<4>}    Se(C[5]C[5]N[5])(C[6a]C[6a]2)   1.8929    0.0000    1     1.8929     0.0000    1
818    981     2:2:1:    3:    N[5]-2:S[5]-2:Br-1:     C[5]-3:     N    C[5](N[5]C[5])(S[5]C[5])(Br)    Br(C[5]N[5]S[5])     C[5](N[5]C[5])(S[5]C[5])(Br){1|Br<1>,1|C<4>}    Br(C[5]N[5]S[5])   1.8693    0.0042    2     1.8722     0.0043    4
818    981     2:2:1:    3:    N[5]-2:S[5]-2:Br-1:     C[5]-3:     N    C[5](N[5]C[5])(S[5]C[5])(Br)    Br(C[5]N[5]S[5])     C[5](N[5]C[5])(S[5]C[5])(Br){1|C<3>,1|H<1>}    Br(C[5]N[5]S[5])   1.8740    0.0000    1     1.8722     0.0043    4
818    981     2:2:1:    3:    N[5]-2:S[5]-2:Br-1:     C[5]-3:     N    C[5](N[5]C[5])(S[5]C[5])(Br)    Br(C[5]N[5]S[5])     C[5](N[5]C[5])(S[5]C[5])(Br){1|C<4>,1|H<1>}    Br(C[5]N[5]S[5])   1.8764    0.0000    1     1.8722     0.0043    4
818    981     2:2:1:    3:    N[5]-2:S[5]-2:Br-1:     C[5]-3:     N    C[5](N[5]S[5])(S[5]S[5])(Br)    Br(C[5]N[5]S[5])     C[5](N[5]S[5])(S[5]S[5])(Br){}    Br(C[5]N[5]S[5])   1.8522    0.0000    1     1.8522     0.0000    1
818    981     2:2:1:    3:    S[5]-2:S[5]-2:Br-1:     C[5]-3:     N    C[5](S[5]C[5])2(Br)    Br(C[5]S[5]2)     C[5](S[5]C[5])2(Br){2|S<2>}    Br(C[5]S[5]2)   1.8650    0.0000    1     1.8650     0.0000    1
818    981     3:2:1:    3:    C[5,5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5,5]C[5,5]S[5])(S[5]C[5])(Br)    Br(C[5]C[5,5]S[5])     C[5](C[5,5]C[5,5]S[5])(S[5]C[5])(Br){1|Br<1>,1|C<4>,1|S<2>}    Br(C[5]C[5,5]S[5])   1.8594    0.0069    2     1.8594     0.0069    2
818    981     3:2:1:    3:    C[5,6,6]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5,6,6]C[5,6,6]C[3x6])(S[5]C[5])(Br)    Br(C[5]C[5,6,6]S[5])     C[5](C[5,6,6]C[5,6,6]C[3x6])(S[5]C[5])(Br){1|C<3>,1|H<1>,3|C<4>}    Br(C[5]C[5,6,6]S[5])   1.8796    0.0011    2     1.8796     0.0011    2
818    981     3:2:1:    3:    C[5,6]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5,6]C[5,6]O[6])(S[5]C[5])(Br)    Br(C[5]C[5,6]S[5])     C[5](C[5,6]C[5,6]O[6])(S[5]C[5])(Br){1|Br<1>,1|C<4>,1|O<2>}    Br(C[5]C[5,6]S[5])   1.8692    0.0149    14     1.8685     0.0139    17
818    981     3:2:1:    3:    C[5,6]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5,6]C[5,6]O[6])(S[5]C[5])(Br)    Br(C[5]C[5,6]S[5])     C[5](C[5,6]C[5,6]O[6])(S[5]C[5])(Br){1|C<3>,1|C<4>,1|O<2>}    Br(C[5]C[5,6]S[5])   1.8652    0.0091    3     1.8685     0.0139    17
818    981     3:2:1:    3:    C[5,6]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5,6]C[5,6]S[6])(S[5]C[5])(Br)    Br(C[5]C[5,6]S[5])     C[5](C[5,6]C[5,6]S[6])(S[5]C[5])(Br){1|Br<1>,1|C<4>,1|S<2>}    Br(C[5]C[5,6]S[5])   1.8731    0.0037    2     1.8731     0.0037    2
818    981     3:2:1:    3:    C[5,6]-3:Se[5]-2:Br-1:     C[5]-3:     N    C[5](C[5,6]C[5,6]O[6])(Se[5]C[5])(Br)    Br(C[5]C[5,6]Se[5])     C[5](C[5,6]C[5,6]O[6])(Se[5]C[5])(Br){1|Br<1>,1|C<4>,1|O<2>}    Br(C[5]C[5,6]Se[5])   1.8732    0.0069    2     1.8732     0.0069    2
818    981     3:2:1:    3:    C[5,6a]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5,6a]C[5,6a]N[6a])(S[5]C[5])(Br)    Br(C[5]C[5,6a]S[5])     C[5](C[5,6a]C[5,6a]N[6a])(S[5]C[5])(Br){1|Br<1>,1|C<3>,1|N<2>}    Br(C[5]C[5,6a]S[5])   1.8652    0.0000    1     1.8652     0.0000    1
818    981     3:2:1:    3:    C[5]-3:C[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]N[5]Br)(C[5]C[5])(Br)    Br(C[5]C[5]2)     C[5](C[5]N[5]Br)(C[5]C[5])(Br){1|C<3>,1|C<4>}    Br(C[5]C[5]2)   1.8772    0.0000    1     1.8772     0.0000    1
818    981     3:2:1:    3:    C[5]-3:N[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]S[5])(N[5]C[5])(Br)    Br(C[5]C[5]N[5])     C[5](C[5]C[5]S[5])(N[5]C[5])(Br){1|C<3>,1|H<1>,1|S<2>}    Br(C[5]C[5]N[5])   1.8873    0.0006    2     1.8841     0.0056    3
818    981     3:2:1:    3:    C[5]-3:N[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]S[5])(N[5]C[5])(Br)    Br(C[5]C[5]N[5])     C[5](C[5]C[5]S[5])(N[5]C[5])(Br){1|Si<4>,1|C<3>,1|S<2>}    Br(C[5]C[5]N[5])   1.8777    0.0000    1     1.8841     0.0056    3
818    981     3:2:1:    3:    C[5]-3:N[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]S[5]C)(N[5]C[5])(Br)    Br(C[5]C[5]N[5])     C[5](C[5]S[5]C)(N[5]C[5])(Br){1|Br<1>}    Br(C[5]C[5]N[5])   1.8764    0.0017    2     1.8767     0.0014    3
818    981     3:2:1:    3:    C[5]-3:N[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]S[5]C)(N[5]C[5])(Br)    Br(C[5]C[5]N[5])     C[5](C[5]S[5]C)(N[5]C[5])(Br){1|N<3>}    Br(C[5]C[5]N[5])   1.8774    0.0000    1     1.8767     0.0014    3
818    981     3:2:1:    3:    C[5]-3:N[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]S[5]H)(N[5]C[5])(Br)    Br(C[5]C[5]N[5])     C[5](C[5]S[5]H)(N[5]C[5])(Br){1|C<3>}    Br(C[5]C[5]N[5])   1.8792    0.0000    1     1.8792     0.0000    1
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[4]C[5])(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[4]C[5])(S[5]C[5])(Br){1|Br<1>,2|C<4>,2|H<1>}    Br(C[5]C[5]S[5])   1.8661    0.0039    2     1.8661     0.0039    2
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5,5]H)(S[5]C[5,5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5,5]H)(S[5]C[5,5])(Br){1|C<3>,1|C<4>}    Br(C[5]C[5]S[5])   1.8712    0.0011    2     1.8648     0.0074    4
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5,5]H)(S[5]C[5,5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5,5]H)(S[5]C[5,5])(Br){1|C<3>,1|P<4>}    Br(C[5]C[5]S[5])   1.8585    0.0006    2     1.8648     0.0074    4
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5,5a]H)(S[5]C[5,5a])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5,5a]H)(S[5]C[5,5a])(Br){1|C<3>,1|N<3>}    Br(C[5]C[5]S[5])   1.8733    0.0008    2     1.8760     0.0046    3
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5,5a]H)(S[5]C[5,5a])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5,5a]H)(S[5]C[5,5a])(Br){1|N<2>,1|N<3>}    Br(C[5]C[5]S[5])   1.8813    0.0000    1     1.8760     0.0046    3
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5,6a]Br)(S[5]C[5,6a])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5,6a]Br)(S[5]C[5,6a])(Br){2|C<3>}    Br(C[5]C[5]S[5])   1.8652    0.0000    1     1.8652     0.0000    1
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5,6a]H)(S[5]C[5,6a])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5,6a]H)(S[5]C[5,6a])(Br){2|C<3>}    Br(C[5]C[5]S[5])   1.8724    0.0102    3     1.8724     0.0102    3
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]2)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]2)(S[5]C[5])(Br){1|Cl<1>,1|H<1>,2|C<3>}    Br(C[5]C[5]S[5])   1.8719    0.0050    2     1.8742     0.0056    5
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]2)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]2)(S[5]C[5])(Br){2|Si<4>,2|C<3>}    Br(C[5]C[5]S[5])   1.8757    0.0064    3     1.8742     0.0056    5
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]Br)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]Br)(S[5]C[5])(Br){1|Br<1>,1|H<1>}    Br(C[5]C[5]S[5])   1.8592    0.0012    2     1.8592     0.0012    2
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]C)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]C)(S[5]C[5])(Br){1|Br<1>,1|H<1>}    Br(C[5]C[5]S[5])   1.8716    0.0044    2     1.8716     0.0044    2
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]C[6])(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]C[6])(S[5]C[5])(Br){1|Br<1>,1|H<1>,2|C<3>}    Br(C[5]C[5]S[5])   1.8699    0.0000    1     1.8699     0.0000    1
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]H)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]H)(S[5]C[5])(Br){1|Br<1>,1|C<3>}    Br(C[5]C[5]S[5])   1.8689    0.0068    5     1.8703     0.0082    86
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]H)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]H)(S[5]C[5])(Br){1|Br<1>,1|C<4>}    Br(C[5]C[5]S[5])   1.8706    0.0002    2     1.8703     0.0082    86
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]H)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]H)(S[5]C[5])(Br){1|C<3>,1|C<4>}    Br(C[5]C[5]S[5])   1.8725    0.0060    9     1.8703     0.0082    86
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]H)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]H)(S[5]C[5])(Br){1|C<3>,1|H<1>}    Br(C[5]C[5]S[5])   1.8698    0.0086    47     1.8703     0.0082    86
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]H)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]H)(S[5]C[5])(Br){1|C<4>,1|H<1>}    Br(C[5]C[5]S[5])   1.8721    0.0118    7     1.8703     0.0082    86
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]H)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]H)(S[5]C[5])(Br){1|H<1>,1|N<2>}    Br(C[5]C[5]S[5])   1.8688    0.0021    2     1.8703     0.0082    86
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]H)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]H)(S[5]C[5])(Br){1|H<1>,1|N<3>}    Br(C[5]C[5]S[5])   1.8699    0.0005    2     1.8703     0.0082    86
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]H)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]H)(S[5]C[5])(Br){1|H<1>,1|P<3>}    Br(C[5]C[5]S[5])   1.8768    0.0075    3     1.8703     0.0082    86
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]H)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]H)(S[5]C[5])(Br){1|H<1>,1|P<4>}    Br(C[5]C[5]S[5])   1.8672    0.0109    3     1.8703     0.0082    86
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]H)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]H)(S[5]C[5])(Br){1|H<1>,1|S<4>}    Br(C[5]C[5]S[5])   1.8632    0.0053    4     1.8703     0.0082    86
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]H)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]H)(S[5]C[5])(Br){1|Si<4>,1|C<3>}    Br(C[5]C[5]S[5])   1.8808    0.0000    1     1.8703     0.0082    86
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]H)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]H)(S[5]C[5])(Br){2|C<3>}    Br(C[5]C[5]S[5])   1.8793    0.0000    1     1.8703     0.0082    86
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]N)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]N)(S[5]C[5])(Br){1|Br<1>,1|N<3>}    Br(C[5]C[5]S[5])   1.8594    0.0000    1     1.8594     0.0000    1
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[5]S)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[5]S)(S[5]C[5])(Br){1|Br<1>,1|S<2>}    Br(C[5]C[5]S[5])   1.8704    0.0028    4     1.8704     0.0028    4
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[6a]N[5])(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[6a]N[5])(S[5]C[5])(Br){1|N<3>,2|C<3>}    Br(C[5]C[5]S[5])   1.8767    0.0030    3     1.8737     0.0063    4
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[6a]N[5])(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[6a]N[5])(S[5]C[5])(Br){3|C<3>}    Br(C[5]C[5]S[5])   1.8650    0.0000    1     1.8737     0.0063    4
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]C[6a]S[5])(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]C[6a]S[5])(S[5]C[5])(Br){1|N<3>,2|C<3>}    Br(C[5]C[5]S[5])   1.8754    0.0000    1     1.8754     0.0000    1
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]N[5]C)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]N[5]C)(S[5]C[5])(Br){1|C<3>}    Br(C[5]C[5]S[5])   1.8630    0.0000    1     1.8667     0.0052    2
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]N[5]C)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]N[5]C)(S[5]C[5])(Br){1|Re<6>,1|C<3>}    Br(C[5]C[5]S[5])   1.8704    0.0000    1     1.8667     0.0052    2
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]N[5]H)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]N[5]H)(S[5]C[5])(Br){1|C<3>}    Br(C[5]C[5]S[5])   1.8647    0.0153    2     1.8658     0.0094    4
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]N[5]H)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]N[5]H)(S[5]C[5])(Br){1|C<4>,1|N<2>}    Br(C[5]C[5]S[5])   1.8634    0.0000    1     1.8658     0.0094    4
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]N[5]H)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]N[5]H)(S[5]C[5])(Br){1|N<3>}    Br(C[5]C[5]S[5])   1.8705    0.0000    1     1.8658     0.0094    4
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]S[5]Br)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]S[5]Br)(S[5]C[5])(Br){1|C<3>}    Br(C[5]C[5]S[5])   1.8587    0.0168    7     1.8587     0.0168    7
818    981     3:2:1:    3:    C[5]-3:S[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]S[5]S)(S[5]C[5])(Br)    Br(C[5]C[5]S[5])     C[5](C[5]S[5]S)(S[5]C[5])(Br){1|S<1>}    Br(C[5]C[5]S[5])   1.8833    0.0000    1     1.8833     0.0000    1
818    981     3:2:1:    3:    C[5]-3:Se[5]-2:Br-1:     C[5]-3:     N    C[5](C[5]Se[5]Br)(Se[5]C[5])(Br)    Br(C[5]Se[5]C[5])     C[5](C[5]Se[5]Br)(Se[5]C[5])(Br){1|C<3>}    Br(C[5]Se[5]C[5])   1.8501    0.0210    4     1.8501     0.0210    4
818    981     3:2:1:    3:    C[5a,6a]-3:N[5a]-2:Br-1:     C[5a]-3:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]N[5a])(Br)    Br(C[5a]C[5a,6a]N[5a])     C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]N[5a])(Br){1|C<4>,1|N<2>,1|N<3>,1|O<1>}    Br(C[5a]C[5a,6a]N[5a])   1.8670    0.0000    1     1.8695     0.0041    3
818    981     3:2:1:    3:    C[5a,6a]-3:N[5a]-2:Br-1:     C[5a]-3:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]N[5a])(Br)    Br(C[5a]C[5a,6a]N[5a])     C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]N[5a])(Br){1|C<4>,1|N<3>,2|N<2>}    Br(C[5a]C[5a,6a]N[5a])   1.8708    0.0049    2     1.8695     0.0041    3
818    981     3:2:1:    3:    C[5a]-3:N[5a]-2:Br-1:     C[5a]-3:     N    C[5a](C[5a]C[5a]Br)(N[5a]N[5a])(Br)    Br(C[5a]C[5a]N[5a])     C[5a](C[5a]C[5a]Br)(N[5a]N[5a])(Br){1|Br<1>,1|B<4>}    Br(C[5a]C[5a]N[5a])   1.8701    0.0000    1     1.8677     0.0081    4
818    981     3:2:1:    3:    C[5a]-3:N[5a]-2:Br-1:     C[5a]-3:     N    C[5a](C[5a]C[5a]Br)(N[5a]N[5a])(Br)    Br(C[5a]C[5a]N[5a])     C[5a](C[5a]C[5a]Br)(N[5a]N[5a])(Br){1|Br<1>,1|C<4>}    Br(C[5a]C[5a]N[5a])   1.8669    0.0097    3     1.8677     0.0081    4
818    981     3:2:1:    3:    C[5a]-3:N[5a]-2:Br-1:     C[5a]-3:     N    C[5a](C[5a]C[5a]H)(N[5a]N[5a])(Br)    Br(C[5a]C[5a]N[5a])     C[5a](C[5a]C[5a]H)(N[5a]N[5a])(Br){2|C<3>}    Br(C[5a]C[5a]N[5a])   1.8676    0.0097    3     1.8676     0.0097    3
818    981     3:2:1:    3:    C[5a]-3:N[5a]-2:Br-1:     C[5a]-3:     N    C[5a](C[5a]N[5,5a]C)(N[5a]C[5,5a])(Br)    Br(C[5a]C[5a]N[5a])     C[5a](C[5a]N[5,5a]C)(N[5a]C[5,5a])(Br){1|C<4>,1|O<2>}    Br(C[5a]C[5a]N[5a])   1.8726    0.0000    1     1.8726     0.0000    1
818    981     3:2:1:    3:    C[5a]-3:N[5a]-2:Br-1:     C[5a]-3:     N    C[5a](C[5a]N[5a]Br)(N[5a]C[5a])(Br)    Br(C[5a]C[5a]N[5a])     C[5a](C[5a]N[5a]Br)(N[5a]C[5a])(Br){1|C<4>,1|H<1>}    Br(C[5a]C[5a]N[5a])   1.8733    0.0001    2     1.8733     0.0001    2
818    981     3:2:1:    3:    C[5a]-3:O[5a]-2:Br-1:     C[5a]-3:     N    C[5a](C[5a]C[5a,6a]H)(O[5a]C[5a,6a])(Br)    Br(C[5a]C[5a]O[5a])     C[5a](C[5a]C[5a,6a]H)(O[5a]C[5a,6a])(Br){2|C<3>}    Br(C[5a]C[5a]O[5a])   1.8543    0.0000    1     1.8543     0.0000    1
818    981     3:2:1:    3:    C[5a]-3:O[5a]-2:Br-1:     C[5a]-3:     N    C[5a](C[5a]C[5a]C[6])(O[5a]C[5a])(Br)    Br(C[5a]C[5a]O[5a])     C[5a](C[5a]C[5a]C[6])(O[5a]C[5a])(Br){1|C<4>,1|O<2>,3|H<1>}    Br(C[5a]C[5a]O[5a])   1.8621    0.0000    1     1.8621     0.0000    1
818    981     3:2:1:    3:    C[5a]-3:O[5a]-2:Br-1:     C[5a]-3:     N    C[5a](C[5a]C[5a]H)(O[5a]C[5a])(Br)    Br(C[5a]C[5a]O[5a])     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(Br){1|C<4>,1|H<1>}    Br(C[5a]C[5a]O[5a])   1.8549    0.0019    5     1.8549     0.0019    5
818    981     3:2:1:    3:    N[5a]-3:N[5a]-2:Br-1:     C[5a]-3:     N    C[5a](N[5a]C[5a]H)(N[5a]C[5a])(Br)    Br(C[5a]N[5a]2)     C[5a](N[5a]C[5a]H)(N[5a]C[5a])(Br){1|C<3>,1|C<4>}    Br(C[5a]N[5a]2)   1.8627    0.0000    1     1.8627     0.0000    1
818    981     3:2:1:    3:    N[5a]-3:N[5a]-2:Br-1:     C[5a]-3:     N    C[5a](N[5a]N[5a]C)(N[5a]C[5a])(Br)    Br(C[5a]N[5a]2)     C[5a](N[5a]N[5a]C)(N[5a]C[5a])(Br){1|H<1>}    Br(C[5a]N[5a]2)   1.8401    0.0000    1     1.8401     0.0000    1
818    981     3:3:1:    3:    C[5,5]-3:C[5]-3:Br-1:     C[5]-3:     N    C[5](C[5,5]C[5,5]2)(C[5]S[5]H)(Br)    Br(C[5]C[5,5]C[5])     C[5](C[5,5]C[5,5]2)(C[5]S[5]H)(Br){1|S<2>,2|C<3>}    Br(C[5]C[5,5]C[5])   1.8918    0.0121    2     1.8919     0.0083    4
818    981     3:3:1:    3:    C[5,5]-3:C[5]-3:Br-1:     C[5]-3:     N    C[5](C[5,5]C[5,5]2)(C[5]S[5]H)(Br)    Br(C[5]C[5,5]C[5])     C[5](C[5,5]C[5,5]2)(C[5]S[5]H)(Br){3|C<3>}    Br(C[5]C[5,5]C[5])   1.8920    0.0077    2     1.8919     0.0083    4
818    981     3:3:1:    3:    C[5,5]-3:C[5]-3:Br-1:     C[5]-3:     N    C[5](C[5,5]C[5,5]S[5])(C[5]C[5]S[5])(Br)    Br(C[5]C[5,5]C[5])     C[5](C[5,5]C[5,5]S[5])(C[5]C[5]S[5])(Br){1|S<2>,3|C<3>}    Br(C[5]C[5,5]C[5])   1.8633    0.0000    1     1.8633     0.0000    1
818    981     3:3:1:    3:    C[5,5]-3:C[5]-3:Br-1:     C[5]-3:     N    C[5](C[5,5]C[5,5]S[5])(C[5]S[5]H)(Br)    Br(C[5]C[5,5]C[5])     C[5](C[5,5]C[5,5]S[5])(C[5]S[5]H)(Br){2|C<3>}    Br(C[5]C[5,5]C[5])   1.8659    0.0000    1     1.8659     0.0000    1
818    981     3:3:1:    3:    C[5,5a]-3:C[5]-3:Br-1:     C[5]-3:     N    C[5](C[5,5a]C[5,5a]C[5a])(C[5]N[5]C)(Br)    Br(C[5]C[5,5a]C[5])     C[5](C[5,5a]C[5,5a]C[5a])(C[5]N[5]C)(Br){1|N<3>,2|C<3>}    Br(C[5]C[5,5a]C[5])   1.8859    0.0000    1     1.8859     0.0000    1
818    981     3:3:1:    3:    C[5,5a]-3:N[5a]-3:Br-1:     C[5a]-3:     N    C[5a](C[5,5a]C[5,5a]S[5])(N[5a]C[5a]C)(Br)    Br(C[5a]C[5,5a]N[5a])     C[5a](C[5,5a]C[5,5a]S[5])(N[5a]C[5a]C)(Br){1|Br<1>,1|C<3>,1|S<2>}    Br(C[5a]C[5,5a]N[5a])   1.8712    0.0008    2     1.8712     0.0008    2
818    981     3:3:1:    3:    C[5,6a]-3:C[5,6]-3:Br-1:     C[5]-3:     N    C[5](C[5,6a]C[5,6a]C[6a])(C[5,6]C[5,6,6]C[6])(Br)    Br(C[5]C[5,6a]C[5,6])     C[5](C[5,6a]C[5,6a]C[6a])(C[5,6]C[5,6,6]C[6])(Br){1|N<3>,2|C<3>,2|C<4>,3|H<1>}    Br(C[5]C[5,6a]C[5,6])   1.8799    0.0000    1     1.8799     0.0000    1
818    981     3:3:1:    3:    C[5,6a]-3:C[5]-3:Br-1:     C[5]-3:     N    C[5](C[5,6a]C[5,6a]2)(C[5]S[5]Br)(Br)    Br(C[5]C[5,6a]C[5])     C[5](C[5,6a]C[5,6a]2)(C[5]S[5]Br)(Br){3|C<3>}    Br(C[5]C[5,6a]C[5])   1.8688    0.0000    1     1.8688     0.0000    1
818    981     3:3:1:    3:    C[5]-3:C[5]-3:Br-1:     C[5]-3:     N    C[5](C[5]C[5,6,6]C[6a])(C[5]N[5,6]O)(Br)    Br(C[5]C[5]2)     C[5](C[5]C[5,6,6]C[6a])(C[5]N[5,6]O)(Br){1|C<4>,4|C<3>}    Br(C[5]C[5]2)   1.8684    0.0000    1     1.8684     0.0000    1
