466  856  SP2_SP3  Y  3:2:1:1:  4:3:4:  H-3:H-3:N[6]-3_3_2:O[6]-3_2  C[6a]-2_2_2:C[6]-2_2_0_0:C[6]-2_2_0_0  449_35331_1  661_2637_1  1.4215  0.0052  2  1.4215  0.0052  2  
466  856  SP2_SP3  Y  3:2:1:1:  4:3:4:  H-3:H-3:N[6]-3_3_2:O[6]-3_3  C-2_0_0_0:C[6]-2_2_2:C[6]-3_2_0_0  449_33388_1  661_4460_1  1.4668  0.0132  4  1.4668  0.0132  4  
466  856  SP2_SP3  Y  3:2:1:1:  4:3:4:  H-3:H-3:N[6]-3_3_2:O[6]-3_3  C-2_0_0_0:C[6]-2_2_2:C[6]-3_2_0_0  449_33388_2  661_4462_1  1.4432  0.0000  1  1.4432  0.0000  1  
466  856  SP2_SP3  Y  3:2:1:1:  4:3:4:  H-3:H-3:N[6]-3_3_2:O[6]-3_3  C-2_2_0_0:C[6]-2_2_2:C[6]-3_2_0_0  449_33388_1  661_4457_1  1.4519  0.0000  1  1.4519  0.0000  1  
466  856  SP2_SP3  Y  3:2:1:1:  4:3:4:  H-3:H-3:N[6]-3_3_2:O[6]-3_3  C-2_2_0_0:C[6]-2_2_2:C[6]-3_2_0_0  449_33388_1  661_4458_1  1.4712  0.0000  1  1.4712  0.0000  1  
466  856  SP2_SP3  Y  3:2:1:1:  4:3:4:  H-3:H-3:N[6]-3_3_2:O[6]-3_3  C-2_2_0_0:C[6]-2_2_2:C[6]-3_2_0_0  449_33388_2  661_4461_1  1.4433  0.0000  1  1.4433  0.0000  1  
466  856  SP2_SP3  Y  3:2:1:1:  4:3:4:  H-3:H-3:N[6]-3_3_2:O[6]-3_3  C-3_2_2_0:C[6]-2_2_2:C[6]-3_2_0_0  449_33388_1  661_4459_1  1.4599  0.0084  2  1.4599  0.0084  2  
466  856  SP2_SP3  Y  3:2:1:1:  4:4:1:  C[6]-3_3:H-3:H-3:N[6]-3_3_0  C[6]-2_1_0_0:H-2:P[6,6]-3_2_2_2  449_35615_1  661_5049_3  1.4690  0.0139  2  1.4690  0.0139  2  
466  856  SP2_SP3  Y  3:2:1:1:  4:4:1:  H-3:H-3:N[6]-3_3_0:O[6]-3_3  C[6,6]-3_3_2_0:C[6]-3_2_0_0:H-2  449_32474_1  661_942_1  1.4181  0.0000  1  1.4181  0.0000  1  
466  856  SP2_SP3  Y  3:2:1:1:  4:4:2:  C-3:C-3:C[6]-3_1:N[6]-3_3_2  C[6]-2_1_0_0:C[6]-2_1_0_0:O-2_2  449_34452_1  661_2983_1  1.4946  0.0027  2  1.4946  0.0027  2  
466  856  SP2_SP3  Y  3:2:1:1:  4:4:3:  H-3:H-3:N[6,6]-3_3_2:S[6]-3_3  C[6,6]-3_2_2_0:C[6]-3_2_0_0:C[6]-3_2_2  449_31791_1  658_420_1  1.4565  0.0009  3  1.4565  0.0009  3  
466  856  SP2_SP3  Y  3:2:2:1:  4:4:3:  H-3:N[6,6]-3_3_2:O[6,6]-3_3:O[6,6]-3_3  C-2_2_0:C[3x6]-3_3_2_0:C[3x6]-3_3_2_0  345_1707_1  658_91_1  1.4528  0.0048  3  1.4528  0.0048  3  
466  856  SP2_SP3  Y  3:2:2:1:  4:4:3:  H-3:N[6,6]-3_3_2:O[6,6]-3_3:O[6,6]-3_3  C-2_2_0:C[3x6]-3_3_2_0:C[3x6]-3_3_2_0  345_1708_1  658_91_1  1.4488  0.0017  2  1.4488  0.0017  2  
466  856  SP2_SP3  Y  3:2:3:1:  3:4:1:  C[6]-3_2_0:H-3:N[6]-3_2_0:O[6,6]-3_3  C[6,6a]-2_2_2:C[6,6]-3_2_2_0:H-2  446_6937_1  661_1306_1  1.4517  0.0000  1  1.4517  0.0000  1  
