466    727     SP2_SP3    N    3:3:3:1:    3:3:4:    C[5a]-3_2_2:C[6]-3_2_0:C[6]-3_2_0:H-3     C[5a,6a]-2_2_2:C[5a]-2_2_0:C[6]-2_2_2_0     C[6](C[5a]C[5a,6a]C[5a])(C[6]C[6]H)2(H)    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]N[5a]H)(C[6]C[6]2H)     C[6](C[5a]C[5a,6a]C[5a])(C[6]C[6]H)2(H){2|C<3>,2|N<3>,3|H<1>}    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]N[5a]H)(C[6]C[6]2H){4|C<3>,4|H<1>}   1.5146    0.0000    1     1.5146     0.0000    1
466    727     SP2_SP3    N    3:3:3:1:    3:3:4:    C[5a]-3_2_2:C[6]-3_2_2:C[6]-3_2_2:H-3     C[5a]-2_2_0:C[5a]-2_2_2:C[6]-2_2_2_0     C[6](C[5a]C[5a]2)(C[6]C[6]C)2(H)    C[5a](C[5a]C[6a]N[5a])(C[5a]N[5a]H)(C[6]C[6]2H)     C[6](C[5a]C[5a]2)(C[6]C[6]C)2(H){1|C<3>,1|H<1>,1|N<2>,2|C<4>,2|N<3>}    C[5a](C[5a]C[6a]N[5a])(C[5a]N[5a]H)(C[6]C[6]2H){1|H<1>,6|C<3>}   1.5157    0.0015    6     1.5153     0.0017    7
466    727     SP2_SP3    N    3:3:3:1:    3:3:4:    C[5a]-3_2_2:C[6]-3_2_2:C[6]-3_2_2:H-3     C[5a]-2_2_0:C[5a]-2_2_2:C[6]-2_2_2_0     C[6](C[5a]C[5a]2)(C[6]C[6]C)2(H)    C[5a](C[5a]C[6a]N[5a])(C[5a]N[5a]H)(C[6]C[6]2H)     C[6](C[5a]C[5a]2)(C[6]C[6]C)2(H){1|C<3>,1|H<1>,1|N<2>,2|C<4>,2|N<3>}    C[5a](C[5a]C[6a]N[5a])(C[5a]N[5a]H)(C[6]C[6]2H){7|C<3>}   1.5129    0.0000    1     1.5153     0.0017    7
466    727     SP2_SP3    N    3:3:3:1:    3:4:2:    C[5a]-3_2_2:C[6,6a]-3_2_2:C[6,6a]-3_2_2:H-3     C[5a]-2_2_0:C[6]-2_2_2_0:O[5a]-2_2     C[6](C[6,6a]C[6,6a]C[6a])2(C[5a]C[5a]O[5a])(H)    C[5a](C[5a]C[5a,6a]H)(C[6]C[6,6a]2H)(O[5a]C[5a,6a])     C[6](C[6,6a]C[6,6a]C[6a])2(C[5a]C[5a]O[5a])(H){1|S<4>,3|H<1>,6|C<3>}    C[5a](C[5a]C[5a,6a]H)(C[6]C[6,6a]2H)(O[5a]C[5a,6a]){6|C<3>}   1.5068    0.0000    1     1.5068     0.0000    1
466    727     SP2_SP3    N    3:3:3:1:    3:4:2:    C[5a]-3_2_2:C[6]-3_2_2:C[6]-3_2_2:H-3     C[5a]-2_2_0:C[6]-2_2_2_0:O[5a]-2_2     C[6](C[5a]C[5a]O[5a])(C[6]C[6]C)2(H)    C[5a](C[5a]C[5a]H)(C[6]C[6]2H)(O[5a]C[5a])     C[6](C[5a]C[5a]O[5a])(C[6]C[6]C)2(H){1|H<1>,1|N<3>,2|C<3>,2|C<4>}    C[5a](C[5a]C[5a]H)(C[6]C[6]2H)(O[5a]C[5a]){1|Br<1>,1|H<1>,4|C<3>}   1.5001    0.0000    1     1.5011     0.0052    3
466    727     SP2_SP3    N    3:3:3:1:    3:4:2:    C[5a]-3_2_2:C[6]-3_2_2:C[6]-3_2_2:H-3     C[5a]-2_2_0:C[6]-2_2_2_0:O[5a]-2_2     C[6](C[5a]C[5a]O[5a])(C[6]C[6]C)2(H)    C[5a](C[5a]C[5a]H)(C[6]C[6]2H)(O[5a]C[5a])     C[6](C[5a]C[5a]O[5a])(C[6]C[6]C)2(H){1|H<1>,1|N<3>,2|C<3>,2|C<4>}    C[5a](C[5a]C[5a]H)(C[6]C[6]2H)(O[5a]C[5a]){1|H<1>,1|N<3>,4|C<3>}   1.5016    0.0073    2     1.5011     0.0052    3
466    727     SP2_SP3    N    3:3:3:1:    3:4:2:    C[5a]-3_2_2:H-3:N[6]-3_2_0:N[6]-3_2_0     C[6]-3_3_2_0:N[5a]-2_2_0:N[5a]-2_2     C[6](C[5a]N[5a]2)(N[6]N[6]H)2(H)    C[5a](N[5a]C[5a]H)(C[6]N[6]2H)(N[5a]C[5a])     C[6](C[5a]N[5a]2)(N[6]N[6]H)2(H){1|H<1>,2|C<4>,3|C<3>}    C[5a](N[5a]C[5a]H)(C[6]N[6]2H)(N[5a]C[5a]){2|N<3>,4|H<1>}   1.5168    0.0033    2     1.5168     0.0033    2
466    727     SP2_SP3    N    3:3:3:1:    3:4:3:    C[5a]-3_2_2:C[6,6]-3_2_2:C[6]-3_2_2:H-3     C[5a,6a]-2_2_2:C[5a]-2_2_0:C[6]-2_2_2_0     C[6](C[5a]C[5a,6a]C[5a])(C[6,6]C[6,6]C[6])(C[6]C[6]C)(H)    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[6]C[6,6]C[6]H)(C[5a]N[5a]H)     C[6](C[5a]C[5a,6a]C[5a])(C[6,6]C[6,6]C[6])(C[6]C[6]C)(H){1|H<1>,1|O<1>,2|C<3>,2|N<3>,3|C<4>}    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[6]C[6,6]C[6]H)(C[5a]N[5a]H){1|C<4>,1|H<1>,6|C<3>}   1.5145    0.0000    1     1.5145     0.0000    1
466    727     SP2_SP3    N    3:3:3:1:    3:4:3:    C[5a]-3_2_2:C[6,6a]-3_2_2:C[6,6]-3_2_2:H-3     C[5a,6a]-2_2_2:C[5a]-2_2_0:C[6]-2_2_2_0     C[6](C[6,6a]C[6,6a]C[6a])(C[5a]C[5a,6a]C[5a])(C[6,6]C[6,6]C[6])(H)    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[6]C[6,6a]C[6,6]H)(C[5a]N[5a]H)     C[6](C[6,6a]C[6,6a]C[6a])(C[5a]C[5a,6a]C[5a])(C[6,6]C[6,6]C[6])(H){1|N<3>,1|O<1>,1|O<2>,2|C<4>,2|H<1>,4|C<3>}    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[6]C[6,6a]C[6,6]H)(C[5a]N[5a]H){1|C<4>,1|H<1>,6|C<3>}   1.5101    0.0000    1     1.5101     0.0000    1
466    727     SP2_SP3    N    3:3:3:1:    3:4:3:    C[5a]-3_2_2:C[6,6a]-3_2_2:C[6]-3_2_1:H-3     C[5a,6a]-2_2_2:C[5a]-2_2_0:C[6]-2_2_2_0     C[6](C[6,6a]C[6,6a]C[6a])(C[5a]C[5a,6a]C[5a])(C[6]C[6]C)(H)    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[6]C[6,6a]C[6]H)(C[5a]N[5a]H)     C[6](C[6,6a]C[6,6a]C[6a])(C[5a]C[5a,6a]C[5a])(C[6]C[6]C)(H){1|O<2>,2|H<1>,2|N<3>,4|C<3>}    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[6]C[6,6a]C[6]H)(C[5a]N[5a]H){1|C<2>,2|H<1>,5|C<3>}   1.5086    0.0000    1     1.5086     0.0000    1
466    727     SP2_SP3    N    3:3:3:1:    3:4:3:    C[5a]-3_2_2:C[6,6a]-3_2_2:H-3:N[6]-3_2_2     C[5a,6a]-2_2_2:C[5a]-2_2_0:C[6]-2_2_2_0     C[6](C[6,6a]C[6,6a]C[6a])(C[5a]C[5a,6a]C[5a])(N[6]C[6a]C[6])(H)    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[6]C[6,6a]N[6]H)(C[5a]N[5a]H)     C[6](C[6,6a]C[6,6a]C[6a])(C[5a]C[5a,6a]C[5a])(N[6]C[6a]C[6])(H){1|N<2>,1|N<3>,2|H<1>,7|C<3>}    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[6]C[6,6a]N[6]H)(C[5a]N[5a]H){2|H<1>,6|C<3>}   1.5022    0.0000    1     1.5022     0.0000    1
466    727     SP2_SP3    N    3:3:3:1:    3:4:3:    C[5a]-3_2_2:C[6,6a]-3_2_2:H-3:N[6]-3_3_2     C[5a,6a]-2_2_2:C[5a]-2_2_0:C[6]-2_2_2_0     C[6](C[6,6a]C[6,6a]C[6a])(C[5a]C[5a,6a]C[5a])(N[6]C[6]C)(H)    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[6]C[6,6a]N[6]H)(C[5a]N[5a]H)     C[6](C[6,6a]C[6,6a]C[6a])(C[5a]C[5a,6a]C[5a])(N[6]C[6]C)(H){1|O<1>,2|H<1>,2|N<3>,4|C<3>}    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[6]C[6,6a]N[6]H)(C[5a]N[5a]H){1|C<4>,2|H<1>,5|C<3>}   1.4986    0.0000    1     1.4986     0.0000    1
466    727     SP2_SP3    N    3:3:3:1:    3:4:3:    C[5a]-3_2_2:C[6,6a]-3_2_2:H-3:N[6]-3_3_3     C[5a,6a]-2_2_2:C[5a]-2_2_0:C[6]-3_2_2_0     C[6](C[6,6a]C[6,6a]C[6a])(C[5a]C[5a,6a]C[5a])(N[6]C[6]S)(H)    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[6]C[6,6a]N[6]H)(C[5a]N[5a]H)     C[6](C[6,6a]C[6,6a]C[6a])(C[5a]C[5a,6a]C[5a])(N[6]C[6]S)(H){1|C<4>,1|N<3>,4|C<3>,4|H<1>}    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[6]C[6,6a]N[6]H)(C[5a]N[5a]H){1|C<4>,1|S<4>,2|H<1>,4|C<3>}   1.5093    0.0046    2     1.5093     0.0046    2
466    727     SP2_SP3    N    3:3:3:1:    3:4:3:    C[5a]-3_2_2:C[6]-3_3_2:H-3:N[6]-3_3_2     C[5a,6a]-2_2_2:C[5a]-2_2_2:C[6]-2_2_2_0     C[6](C[5a]C[5a,6a]C[5a])(C[6]C[6]C)(N[6]C[6]C)(H)    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[6]C[6]N[6]H)(C[5a]N[5a]C)     C[6](C[5a]C[5a,6a]C[5a])(C[6]C[6]C)(N[6]C[6]C)(H){1|C<4>,1|N<3>,2|H<1>,4|C<3>}    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[6]C[6]N[6]H)(C[5a]N[5a]C){1|H<1>,3|C<4>,4|C<3>}   1.5118    0.0000    1     1.5118     0.0000    1
