643  941  SP2_SP2  N  2:2:2:  3:1:  N-2_0:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:H-2  451_28961_1  599_8402_0  1.3425  0.0000  1  1.3289  0.0139  7  
643  941  SP2_SP2  N  2:2:2:  3:1:  N-2_0:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:H-2  451_28961_2  599_8402_0  1.3160  0.0031  3  1.3289  0.0139  7  
643  941  SP2_SP2  N  2:2:2:  3:1:  N-2_0:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:H-2  451_28961_3  599_8402_0  1.3373  0.0000  1  1.3289  0.0139  7  
643  941  SP2_SP2  N  2:2:2:  3:1:  N-2_0:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:H-2  451_28961_4  599_8402_0  1.3486  0.0000  1  1.3289  0.0139  7  
643  941  SP2_SP2  N  2:2:2:  3:1:  N-2_0:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:H-2  451_28961_5  599_8402_0  1.3260  0.0000  1  1.3289  0.0139  7  
643  941  SP2_SP2  N  2:2:2:  3:2:  N-2_1:N[6a]-2_2:N[6a]-2_2  C-2_1:C[6a]-2_2_2  451_28945_1  599_8391_0  1.3566  0.0038  3  1.3566  0.0038  3  
643  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:N-2_1  451_28261_1  599_8410_0  1.3941  0.0000  1  1.3941  0.0000  1  
643  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:N-2_1  451_28356_1  599_8410_0  1.4022  0.0000  1  1.4022  0.0000  1  
643  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:N-2_1  451_28799_1  599_8410_0  1.4007  0.0000  1  1.4007  0.0000  1  
643  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:N-2_1  451_28908_1  599_8410_0  1.3898  0.0024  2  1.3898  0.0024  2  
643  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:N-2_1  451_28966_1  599_8410_0  1.3875  0.0099  2  1.3875  0.0099  2  
643  941  SP2_SP2  N  2:2:2:  3:2:  N-2_2:N[6a]-2_2:N[6a]-2_2  C[6a]-2_2_2:N-2_1  451_29171_1  599_8410_0  1.3791  0.0000  1  1.3791  0.0000  1  
