643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[6a]-2_2_2:N[4]-3_2_2:N[4]-3_2_2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2)    C[4](C[6a]C[6a]2)(N[4]Si[4]C)2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2){1|Si<3>,1|C<3>,2|C<4>,2|H<1>}    C[4](C[6a]C[6a]2)(N[4]Si[4]C)2{1|C<4>,2|C<3>,2|H<1>}   1.4959    0.0055    3     1.4933     0.0039    20
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[6a]-2_2_2:N[4]-3_2_2:N[4]-3_2_2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2)    C[4](C[6a]C[6a]2)(N[4]Si[4]C)2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2){1|Si<3>,1|C<3>,2|C<4>,2|H<1>}    C[4](C[6a]C[6a]2)(N[4]Si[4]C)2{1|C<5>,2|C<3>,2|H<1>}   1.4968    0.0031    4     1.4933     0.0039    20
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[6a]-2_2_2:N[4]-3_2_2:N[4]-3_2_2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2)    C[4](C[6a]C[6a]2)(N[4]Si[4]C)2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2){1|Si<3>,1|C<3>,2|C<4>,2|H<1>}    C[4](C[6a]C[6a]2)(N[4]Si[4]C)2{1|N<3>,2|C<3>,2|H<1>}   1.4931    0.0023    6     1.4933     0.0039    20
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[6a]-2_2_2:N[4]-3_2_2:N[4]-3_2_2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2)    C[4](C[6a]C[6a]2)(N[4]Si[4]C)2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2){1|Si<3>,1|C<3>,2|C<4>,2|H<1>}    C[4](C[6a]C[6a]2)(N[4]Si[4]C)2{1|P<3>,2|C<3>,2|H<1>}   1.4912    0.0001    2     1.4933     0.0039    20
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[6a]-2_2_2:N[4]-3_2_2:N[4]-3_2_2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2)    C[4](C[6a]C[6a]2)(N[4]Si[4]C)2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2){1|Si<3>,1|C<3>,2|C<4>,2|H<1>}    C[4](C[6a]C[6a]2)(N[4]Si[4]C)2{2|H<1>,3|C<3>}   1.4901    0.0030    5     1.4933     0.0039    20
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[6a]-2_2_2:N[4]-3_2_2:N[4]-3_2_2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2)    C[4](N[4]C[6a]Si[4])2(C[6a]C[6a]2)     C[6a](C[6a]C[6a]H)2(C[4]N[4]2){1|Si<4>,2|H<1>,3|C<3>}    C[4](N[4]C[6a]Si[4])2(C[6a]C[6a]2){1|Fe<5>,1|N<3>,2|H<1>,6|C<3>}   1.4692    0.0000    1     1.4716     0.0036    5
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[6a]-2_2_2:N[4]-3_2_2:N[4]-3_2_2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2)    C[4](N[4]C[6a]Si[4])2(C[6a]C[6a]2)     C[6a](C[6a]C[6a]H)2(C[4]N[4]2){1|Si<4>,2|H<1>,3|C<3>}    C[4](N[4]C[6a]Si[4])2(C[6a]C[6a]2){1|N<2>,1|N<3>,2|H<1>,6|C<3>}   1.4699    0.0047    2     1.4716     0.0036    5
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[6a]-2_2_2:N[4]-3_2_2:N[4]-3_2_2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2)    C[4](N[4]C[6a]Si[4])2(C[6a]C[6a]2)     C[6a](C[6a]C[6a]H)2(C[4]N[4]2){1|Si<4>,2|H<1>,3|C<3>}    C[4](N[4]C[6a]Si[4])2(C[6a]C[6a]2){1|Se<1>,1|N<3>,2|H<1>,6|C<3>}   1.4733    0.0000    1     1.4716     0.0036    5
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[6a]-2_2_2:N[4]-3_2_2:N[4]-3_2_2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2)    C[4](N[4]C[6a]Si[4])2(C[6a]C[6a]2)     C[6a](C[6a]C[6a]H)2(C[4]N[4]2){1|Si<4>,2|H<1>,3|C<3>}    C[4](N[4]C[6a]Si[4])2(C[6a]C[6a]2){1|Te<1>,1|N<3>,2|H<1>,6|C<3>}   1.4754    0.0000    1     1.4716     0.0036    5
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[6a]-2_2_2:N[4]-3_3_2:N[4]-3_3_2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2)    C[4](C[6a]C[6a]2)(N[4]B[4]Si)2     C[6a](C[6a]C[6a]H)2(C[4]N[4]2){2|Si<4>,1|B<4>,1|C<3>,2|H<1>}    C[4](C[6a]C[6a]2)(N[4]B[4]Si)2{2|Br<1>,2|C<3>,2|H<1>}   1.4730    0.0000    1     1.4730     0.0000    1
