490    670     3:1:1:1:    3:2:4:    N-3:H-1:H-1:H-1:     C[6]-3:N-2:C-4:     N    C(NC[6]N)(H)3    N(C[6]N[6]S[6])(NC[6])(CH3)     C(NC[6]N)(H)3    N(C[6]N[6]S[6])(NC[6])(CH3)   1.4685    0.0000    1     1.4685     0.0000    1
490    670     3:1:1:1:    3:3:4:    N-3:H-1:H-1:H-1:     C-3:C-3:C-4:     N    C(NCC)(H)3    N(CC[6a]N)2(CH3)     C(NCC)(H)3    N(CC[6a]N)2(CH3)   1.4516    0.0000    1     1.4516     0.0000    1
490    670     3:1:1:1:    3:3:4:    N-3:H-1:H-1:H-1:     C-3:C-3:C-4:     N    C(NCC)(H)3    N(CC[6a]O)(CC[6a]P)(CH3)     C(NCC)(H)3    N(CC[6a]O)(CC[6a]P)(CH3)   1.4653    0.0000    1     1.4653     0.0000    1
490    670     3:1:1:1:    3:3:4:    N-3:H-1:H-1:H-1:     C[4a]-3:C[6a]-3:C-4:     N    C(NC[4a]C[6a])(H)3    N(C[4a]C[4a]2)(C[6a]C[6a]2)(CH3)     C(NC[4a]C[6a])(H)3    N(C[4a]C[4a]2)(C[6a]C[6a]2)(CH3)   1.4674    0.0000    1     1.4674     0.0000    1
490    670     3:1:1:1:    3:3:4:    N-3:H-1:H-1:H-1:     C[5]-3:C-3:C-4:     N    C(NC[5]C)(H)3    N(C[5]N[5]S[5])(CC[6a]O)(CH3)     C(NC[5]C)(H)3    N(C[5]N[5]S[5])(CC[6a]O)(CH3)   1.4695    0.0000    1     1.4695     0.0000    1
490    670     3:1:1:1:    3:3:4:    N-3:H-1:H-1:H-1:     C[5]-3:C[6a]-3:C-4:     N    C(NC[6a]C[5])(H)3    N(C[5]N[5]S[5])(C[6a]C[6a]2)(CH3)     C(NC[6a]C[5])(H)3    N(C[5]N[5]S[5])(C[6a]C[6a]2)(CH3)   1.4660    0.0077    4     1.4660     0.0077    4
490    670     3:1:1:1:    3:3:4:    N-3:H-1:H-1:H-1:     C[5a]-3:C-3:C-4:     N    C(NC[5a]C)(H)3    N(C[5a]C[5a]N[5a])(CC[6a]O)(CH3)     C(NC[5a]C)(H)3    N(C[5a]C[5a]N[5a])(CC[6a]O)(CH3)   1.4652    0.0034    2     1.4652     0.0034    2
490    670     3:1:1:1:    3:3:4:    N-3:H-1:H-1:H-1:     C[6]-3:C-3:C-4:     N    C(NC[6]C)(H)3    N(C[6]C[6]2)(CC[5]O)(CH3)     C(NC[6]C)(H)3    N(C[6]C[6]2)(CC[5]O)(CH3)   1.4697    0.0045    3     1.4697     0.0045    3
490    670     3:1:1:1:    3:3:4:    N-3:H-1:H-1:H-1:     C[6]-3:C-3:C-4:     N    C(NC[6]C)(H)3    N(C[6]C[6]2)(CC[6a]O)(CH3)     C(NC[6]C)(H)3    N(C[6]C[6]2)(CC[6a]O)(CH3)   1.4656    0.0069    2     1.4656     0.0069    2
490    670     3:1:1:1:    3:3:4:    N-3:H-1:H-1:H-1:     C[6]-3:C[6]-3:C-4:     N    C(NC[6]2)(H)3    N(C[6]C[6]2)2(CH3)     C(NC[6]2)(H)3    N(C[6]C[6]2)2(CH3)   1.4636    0.0080    3     1.4636     0.0080    3
