466  643  SP2_SP3  N  3:2:2:4:  3:3:4:  C-3_0_0_0:C[6a]-3_2_2:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_3_2  449_30414_1  451_22631_2  1.5295  0.0069  2  1.5295  0.0069  2  
466  643  SP2_SP3  N  3:2:2:4:  3:3:4:  C-3_0_0_0:C[6a]-3_2_2:S[6]-3_3:S[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_3_2  449_30446_1  451_22633_1  1.5362  0.0000  1  1.5362  0.0000  1  
466  643  SP2_SP3  N  3:2:2:4:  3:3:4:  C-3_2_0_0:C[6a]-3_2_2:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_3_2  449_30415_1  451_22631_2  1.5277  0.0032  6  1.5277  0.0032  6  
466  643  SP2_SP3  N  3:2:2:4:  3:3:4:  C-3_2_0_0:C[6a]-3_2_2:S[6]-3_3:S[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_3_2  449_30447_1  451_22633_2  1.5308  0.0000  1  1.5308  0.0000  1  
466  643  SP2_SP3  N  3:2:2:4:  3:3:4:  C-3_3_0_0:C[6a]-3_2_2:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_3_2  449_30415_1  451_22631_3  1.5265  0.0072  4  1.5265  0.0072  4  
466  643  SP2_SP3  N  3:2:2:4:  3:3:4:  C-3_3_2_0:C[6a]-3_2_2:S[6]-3_3:S[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_3_2  449_30445_1  451_22633_3  1.5299  0.0000  1  1.5299  0.0000  1  
466  643  SP2_SP3  N  3:2:2:4:  3:3:4:  C-3_3_3_0:C[6a]-3_2_2:S[6]-3_3:S[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_3_2  449_30444_1  451_22633_2  1.5411  0.0000  1  1.5411  0.0000  1  
466  643  SP2_SP3  N  3:2:2:4:  3:4:2:  C-3_0_0_0:C[6a]-3_2_2:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6]-3_3_3_2:N[6a]-2_2  449_30567_1  451_19241_1  1.5362  0.0000  1  1.5362  0.0000  1  
466  643  SP2_SP3  N  3:2:2:4:  4:3:3:  C-3_0_0_0:C[6a]-3_2_2:N[6]-3_2:O[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_2_2_2  449_30273_1  451_7039_1  1.5328  0.0000  1  1.5328  0.0000  1  
466  643  SP2_SP3  N  3:2:3:1:  3:3:4:  C[6a]-3_2_2:H-3:N[6]-3_2:N[6]-3_3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_0  449_30264_1  451_22629_1  1.5299  0.0000  1  1.5299  0.0000  1  
466  643  SP2_SP3  N  3:2:3:1:  4:3:3:  C[6,6a]-3_2_2:C[6a]-3_2_2:H-3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_2_2_0  449_13147_1  451_6784_1  1.5175  0.0065  2  1.5175  0.0065  2  
466  643  SP2_SP3  N  3:2:3:1:  4:3:3:  C[6a]-3_2_2:C[6]-3_2_0:H-3:O[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_0  449_30386_1  451_6948_1  1.5203  0.0000  1  1.5114  0.0126  2  
466  643  SP2_SP3  N  3:2:3:1:  4:3:3:  C[6a]-3_2_2:C[6]-3_2_0:H-3:O[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_0  449_30386_2  451_6948_1  1.5025  0.0000  1  1.5114  0.0126  2  
466  643  SP2_SP3  N  3:2:3:1:  4:3:3:  C[6a]-3_2_2:C[6]-3_2_0:H-3:S[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_0  449_30436_1  451_6969_1  1.5174  0.0000  1  1.5125  0.0078  5  
466  643  SP2_SP3  N  3:2:3:1:  4:3:3:  C[6a]-3_2_2:C[6]-3_2_0:H-3:S[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_0  449_30436_2  451_6969_2  1.5171  0.0000  1  1.5125  0.0078  5  
466  643  SP2_SP3  N  3:2:3:1:  4:3:3:  C[6a]-3_2_2:C[6]-3_2_0:H-3:S[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_0  449_30436_2  451_6969_1  1.5094  0.0093  3  1.5125  0.0078  5  
466  643  SP2_SP3  N  3:2:3:1:  4:3:3:  C[6a]-3_2_2:C[6]-3_2_2:H-3:N[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_0  449_30234_1  451_6919_1  1.5280  0.0000  1  1.5280  0.0000  1  
466  643  SP2_SP3  N  3:2:3:1:  4:3:3:  C[6a]-3_2_2:C[6]-3_2_2:H-3:O[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_0  449_30379_1  451_6940_1  1.5453  0.0748  2  1.5453  0.0748  2  
466  643  SP2_SP3  N  3:2:3:1:  4:3:3:  C[6a]-3_2_2:C[6]-3_2_2:H-3:O[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_0  449_30379_2  451_6948_2  1.5169  0.0000  1  1.5216  0.0062  9  
466  643  SP2_SP3  N  3:2:3:1:  4:3:3:  C[6a]-3_2_2:C[6]-3_2_2:H-3:O[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_0  449_30379_3  451_6948_2  1.5238  0.0050  7  1.5216  0.0062  9  
466  643  SP2_SP3  N  3:2:3:1:  4:3:3:  C[6a]-3_2_2:C[6]-3_2_2:H-3:O[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_0  449_30379_4  451_6948_2  1.5115  0.0000  1  1.5216  0.0062  9  
466  643  SP2_SP3  N  3:2:3:1:  4:3:3:  C[6a]-3_2_2:C[6]-3_2_2:H-3:O[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_0  449_30397_1  451_6948_3  1.5043  0.0000  1  1.5043  0.0000  1  
466  643  SP2_SP3  N  3:2:3:1:  4:3:3:  C[6a]-3_2_2:C[6]-3_2_2:H-3:O[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_0  449_30400_2  451_6948_4  1.5097  0.0061  2  1.5097  0.0061  2  
466  643  SP2_SP3  N  3:2:3:1:  4:3:3:  C[6a]-3_2_2:C[6]-3_2_2:H-3:O[6]-3_2  C[6a]-2_2_2:C[6a]-2_2_2:C[6]-2_2_2_0  449_30400_1  451_6950_1  1.5040  0.0000  1  1.5040  0.0000  1  
466  643  SP2_SP3  N  3:2:3:1:  4:3:3:  C[6a]-3_2_2:C[6]-3_2_2:H-3:S[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_0  449_30431_1  451_6969_3  1.5195  0.0000  1  1.5195  0.0000  1  
466  643  SP2_SP3  N  3:2:3:1:  4:3:3:  C[6a]-3_2_2:C[6]-3_2_2:H-3:S[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_0  449_30433_1  451_6969_3  1.5128  0.0000  1  1.5128  0.0000  1  
466  643  SP2_SP3  N  3:2:3:1:  4:3:3:  C[6a]-3_2_2:C[6]-3_2_2:H-3:S[6]-3_2  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-2_2_2_0  449_30439_1  451_6968_1  1.5086  0.0106  2  1.5086  0.0106  2  
