762    930     2:3:3:    3:2:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:O-2:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]N[6a]C)(COO)    C(C[6a]C[6a]N[6a])(OH)(O)     C[6a](N[6a]C[6a,6a])(C[6a]N[6a]C)(COO){2|C<3>}    C(C[6a]C[6a]N[6a])(OH)(O)   1.4842    0.0000    1     1.4842     0.0000    1
762    930     2:3:3:    3:2:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:O-2:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]N[6a]H)(COO)    C(C[6a]C[6a]N[6a])(OC)(O)     C[6a](N[6a]C[6a,6a])(C[6a]N[6a]H)(COO){1|C<3>,1|N<2>}    C(C[6a]C[6a]N[6a])(OC)(O)   1.5074    0.0000    1     1.5074     0.0000    1
762    930     2:3:3:    3:2:1:    O[6]-2:C[6]-3:C-3:     C[6]-3:O-2:O-1:     N    C[6](O[6]C[6,6])(C[6]C[6]H)(COO)    C(C[6]C[6]O[6])(OC)(O)     C[6](O[6]C[6,6])(C[6]C[6]H)(COO){1|C<3>,1|H<1>,1|O<2>,2|C<4>}    C(C[6]C[6]O[6])(OC)(O)   1.4877    0.0000    1     1.4872     0.0006    2
762    930     2:3:3:    3:2:1:    O[6]-2:C[6]-3:C-3:     C[6]-3:O-2:O-1:     N    C[6](O[6]C[6,6])(C[6]C[6]H)(COO)    C(C[6]C[6]O[6])(OC)(O)     C[6](O[6]C[6,6])(C[6]C[6]H)(COO){1|H<1>,2|C<4>,2|O<2>}    C(C[6]C[6]O[6])(OC)(O)   1.4868    0.0000    1     1.4872     0.0006    2
762    930     2:3:3:    3:2:1:    O[6]-2:C[6]-3:C-3:     C[6]-3:O-2:O-1:     N    C[6](O[6]C[6,6a])(C[6]C[6]H)(COO)    C(C[6]C[6]O[6])(OC)(O)     C[6](O[6]C[6,6a])(C[6]C[6]H)(COO){1|H<1>,3|C<3>}    C(C[6]C[6]O[6])(OC)(O)   1.4957    0.0000    1     1.4922     0.0049    2
762    930     2:3:3:    3:2:1:    O[6]-2:C[6]-3:C-3:     C[6]-3:O-2:O-1:     N    C[6](O[6]C[6,6a])(C[6]C[6]H)(COO)    C(C[6]C[6]O[6])(OC)(O)     C[6](O[6]C[6,6a])(C[6]C[6]H)(COO){2|C<3>,2|H<1>}    C(C[6]C[6]O[6])(OC)(O)   1.4888    0.0000    1     1.4922     0.0049    2
762    930     2:3:3:    3:2:1:    O[6a]-2:C[6a]-3:C-3:     C[6a]-3:O-2:O-1:     N    C[6a](O[6a]C[6a,6a])(C[6a]C[6a]H)(COO)    C(C[6a]C[6a]O[6a])(OC)(O)     C[6a](O[6a]C[6a,6a])(C[6a]C[6a]H)(COO){1|O<1>,2|C<3>}    C(C[6a]C[6a]O[6a])(OC)(O)   1.4973    0.0068    2     1.4973     0.0068    2
762    930     2:3:3:    3:2:1:    S[6]-2:C[6]-3:C-3:     C[6]-3:O-2:O-1:     N    C[6](S[6]C[6,6a])(C[6]C[6]C)(COO)    C(C[6]C[6]S[6])(OC)(O)     C[6](S[6]C[6,6a])(C[6]C[6]C)(COO){1|O<1>,2|C<3>}    C(C[6]C[6]S[6])(OC)(O)   1.5045    0.0000    1     1.5045     0.0000    1
762    930     2:3:3:    3:2:4:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:N-2:C-4:     N    C[6a](N[6a]C[6a,6a])(C[6a]N[6a]H)(CCN)    C(C[6a]C[6a]N[6a])(NN[5])(CH3)     C[6a](N[6a]C[6a,6a])(C[6a]N[6a]H)(CCN){2|C<3>}    C(C[6a]C[6a]N[6a])(NN[5])(CH3)   1.4845    0.0000    1     1.4845     0.0000    1
762    930     2:3:3:    3:3:1:    N[6]-2:C[6]-3:C-3:     C[6]-3:N-3:O-1:     N    C[6](N[6]C[6,6a])(C[6]N[6]H)(CNO)    C(C[6]C[6]N[6])(NHH)(O)     C[6](N[6]C[6,6a])(C[6]N[6]H)(CNO){1|H<1>,2|C<3>}    C(C[6]C[6]N[6])(NHH)(O)   1.5067    0.0000    1     1.5067     0.0000    1
762    930     2:3:3:    3:3:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:C-3:Cl-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CClC)    C(C[6a]C[6a]N[6a])(CCC)(Cl)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CClC){1|H<1>,2|C<3>}    C(C[6a]C[6a]N[6a])(CCC)(Cl)   1.4821    0.0000    1     1.4821     0.0000    1
762    930     2:3:3:    3:3:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:C-3:Cl-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]N[6a]Cl)(CClC)    C(C[6a]C[6a]N[6a])(CC[6a]Cl)(Cl)     C[6a](N[6a]C[6a,6a])(C[6a]N[6a]Cl)(CClC){2|C<3>}    C(C[6a]C[6a]N[6a])(CC[6a]Cl)(Cl)   1.4855    0.0050    2     1.4855     0.0050    2
762    930     2:3:3:    3:3:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:C-3:H-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CCH)    C(C[6a]C[6a]N[6a])(CC[6a]H)(H)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CCH){1|C<3>,1|C<4>,1|N<3>}    C(C[6a]C[6a]N[6a])(CC[6a]H)(H)   1.4610    0.0000    1     1.4610     0.0000    2
762    930     2:3:3:    3:3:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:C-3:H-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CCH)    C(C[6a]C[6a]N[6a])(CC[6a]H)(H)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CCH){1|H<1>,2|C<3>}    C(C[6a]C[6a]N[6a])(CC[6a]H)(H)   1.4610    0.0000    1     1.4610     0.0000    2
762    930     2:3:3:    3:3:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:C-3:H-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]O[6a]O)(CCH)    C(C[6a]C[6a]N[6a])(CC[6a]H)(H)     C[6a](N[6a]C[6a,6a])(C[6a]O[6a]O)(CCH){2|C<3>}    C(C[6a]C[6a]N[6a])(CC[6a]H)(H)   1.4402    0.0000    1     1.4402     0.0000    1
762    930     2:3:3:    3:3:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:C-3:O-1:     N    C[6a](N[6a]C[6,6a])(C[6a]C[6a]H)(CCO)    C(C[6a]C[6a]N[6a])(CCH)(O)     C[6a](N[6a]C[6,6a])(C[6a]C[6a]H)(CCO){1|H<1>,2|C<3>}    C(C[6a]C[6a]N[6a])(CCH)(O)   1.5016    0.0000    1     1.5016     0.0000    1
762    930     2:3:3:    3:3:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:C-3:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CCO)    C(C[6a]C[6a]N[6a])(CCH)(O)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CCO){1|H<1>,2|C<3>}    C(C[6a]C[6a]N[6a])(CCH)(O)   1.5016    0.0000    1     1.5016     0.0000    1
762    930     2:3:3:    3:3:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:C[6a]-3:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]C)(CC[6a]O)    C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]C)(CC[6a]O){1|C<3>,1|N<3>,1|O<1>}    C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)   1.5208    0.0000    2     1.5208     0.0000    2
762    930     2:3:3:    3:3:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:C[6a]-3:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CC[6a]O)    C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CC[6a]O){3|C<3>}    C(C[6a]C[6a]N[6a])(C[6a]C[6a]2)(O)   1.5084    0.0000    1     1.5084     0.0000    1
762    930     2:3:3:    3:3:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:N-3:O-1:     N    C[6a](N[6a]C[6,6a])(C[6a]C[6a]H)(CNO)    C(C[6a]C[6a]N[6a])(NHH)(O)     C[6a](N[6a]C[6,6a])(C[6a]C[6a]H)(CNO){3|C<3>}    C(C[6a]C[6a]N[6a])(NHH)(O)   1.5044    0.0000    1     1.5044     0.0000    1
762    930     2:3:3:    3:3:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:N-3:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CNO)    C(C[6a]C[6a]N[6a])(NCH)(O)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CNO){1|H<1>,2|C<3>}    C(C[6a]C[6a]N[6a])(NCH)(O)   1.5074    0.0071    3     1.5074     0.0071    3
762    930     2:3:3:    3:3:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:N-3:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CNO)    C(C[6a]C[6a]N[6a])(NC[5a]H)(O)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CNO){1|H<1>,2|C<3>}    C(C[6a]C[6a]N[6a])(NC[5a]H)(O)   1.5043    0.0015    2     1.5043     0.0015    2
762    930     2:3:3:    3:3:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:N-3:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CNO)    C(C[6a]C[6a]N[6a])(NC[6a]H)(O)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CNO){1|H<1>,2|C<3>}    C(C[6a]C[6a]N[6a])(NC[6a]H)(O)   1.5059    0.0055    5     1.5086     0.0068    7
762    930     2:3:3:    3:3:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:N-3:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CNO)    C(C[6a]C[6a]N[6a])(NC[6a]H)(O)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CNO){1|O<2>,2|C<3>}    C(C[6a]C[6a]N[6a])(NC[6a]H)(O)   1.5154    0.0055    2     1.5086     0.0068    7
762    930     2:3:3:    3:3:1:    N[6a]-2:C[6a]-3:C-3:     C[6a]-3:N-3:O-1:     N    C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CNO)    C(C[6a]C[6a]N[6a])(NHN)(O)     C[6a](N[6a]C[6a,6a])(C[6a]C[6a]H)(CNO){1|H<1>,2|C<3>}    C(C[6a]C[6a]N[6a])(NHN)(O)   1.4934    0.0000    1     1.4934     0.0000    1
